"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","iter_val","iter_var"
"33","8.2","2",0.923076923076923,"a",0.923076923076923,0.252813047255365,0.100000000000001,22.6,13,0.0786203689154736,0,"N"
"34","8.8","2",0.666666666666667,"a",0.666666666666667,0.155321754782881,1.1,22.5,18,0.0873248968312143,0,"N"
"35","9.4","2",0.705882352941177,"a",0.705882352941177,0.173859600605168,0.9,24.4,17,0.101598148942839,0,"N"
"36","10","2",0.75,"a",0.75,0.194247847617525,0.699999999999999,25.7,16,0.112729240671452,0,"N"
"37","7.1","0",0.882352941176471,"n",0.76271186440678,0.00742072250654325,14.5,0,59,0.0367879579001669,0.25,"N"
"38","7.6","0",0.882352941176471,"n",0.76271186440678,0.00774078457034566,15.4,0,59,0.0415013637172435,0.25,"N"
"39","8.2","0",0.882352941176471,"n",0.76271186440678,0.00807000460862019,16.3,0,59,0.0470886013779075,0.25,"N"
"40","8.8","0",0.882352941176471,"n",0.76271186440678,0.00840016961203765,17.3,0,59,0.0536864019714559,0.25,"N"
"41","9.4","0",0.882352941176471,"n",0.76271186440678,0.00873426233403479,18.5,0,59,0.0609610677654568,0.25,"N"
"42","10","0",0.882352941176471,"n",0.76271186440678,0.0094726998140848,19,0,59,0.0663541490840469,0.25,"N"
"43","7.1","1",0.0392156862745098,"n",0.0338983050847458,0.00742072250654325,14.5,0,59,0.0367879579001669,0.25,"N"
"44","7.6","1",0.0392156862745098,"n",0.0338983050847458,0.00774078457034566,15.4,0,59,0.0415013637172435,0.25,"N"
"45","8.2","1",0.0392156862745098,"n",0.0338983050847458,0.00807000460862019,16.3,0,59,0.0470886013779075,0.25,"N"
"46","8.8","1",0.0392156862745098,"n",0.0338983050847458,0.00840016961203765,17.3,0,59,0.0536864019714559,0.25,"N"
"47","9.4","1",0.0392156862745098,"n",0.0338983050847458,0.00873426233403479,18.5,0,59,0.0609610677654568,0.25,"N"
"48","10","1",0.0196078431372549,"n",0.0169491525423729,0.0094726998140848,19,0,59,0.0663541490840469,0.25,"N"
"49","7.1","2",0.0784313725490196,"n",0.0677966101694915,0.00742072250654325,14.5,0,59,0.0367879579001669,0.25,"N"
"50","7.6","2",0.0784313725490196,"n",0.0677966101694915,0.00774078457034566,15.4,0,59,0.0415013637172435,0.25,"N"
"51","8.2","2",0.0784313725490196,"n",0.0677966101694915,0.00807000460862019,16.3,0,59,0.0470886013779075,0.25,"N"
"52","8.8","2",0.0784313725490196,"n",0.0677966101694915,0.00840016961203765,17.3,0,59,0.0536864019714559,0.25,"N"
"53","9.4","2",0.0784313725490196,"n",0.0677966101694915,0.00873426233403479,18.5,0,59,0.0609610677654568,0.25,"N"
"54","10","2",0.0980392156862745,"n",0.0847457627118644,0.0094726998140848,19,0,59,0.0663541490840469,0.25,"N"
