"","Time","Wstart","A","h","S.day","Fit","Beh","S.cum","W","iter_index","seeds"
"86",26,"7.6",26,"o",0.902905311302148,0.00260101186696841,0,0.0793544124653712,10.2,1,1
"87",27,"7.6",26,"o",0.903233353029144,0.00288071388484501,0,0.0716755520487549,10.5,1,1
"88",28,"7.6",26,"o",0.903548906277751,0.00318933515373858,0,0.0647623666605065,10.8,1,1
"89",29,"7.6",26,"o",0.90385277302424,0.0035297869673456,0,0.0585356446937114,11.1,1,1
"90",30,"7.6",26,"o",0.904241003182327,0.003905267619565,0,0.0529303300797659,11.5,1,1
"91",31,"7.6",26,"o",0.904611308720388,0.00431883491881153,0,0.0478813751644591,11.9,1,1
"92",32,"7.6",26,"o",0.904965077525625,0.00477424378534545,0,0.0433309723877382,12.3,1,1
"93",33,"7.6",26,"o",0.905303549355658,0.00527561107484865,0,0.0392276830996514,12.7,1,1
"94",34,"7.6",26,"o",0.905627835723606,0.00582744989633977,0,0.0355256817459888,13.1,1,1
"95",35,"7.6",26,"o",0.905938936599268,0.00643470713517057,0,0.0321840983429251,13.5,1,1
"96",36,"7.6",26,"o",0.906310637255117,0.00710280447744668,0,0.0291687906786578,14,1,1
"97",37,"7.6",26,"o",0.906664717340745,0.00783705297662453,0,0.0264463133558366,14.5,1,1
"98",38,"7.6",26,"o",0.907002576277466,0.008643827014258,0,0.023986874346785,15,1,1
"99",39,"7.6",26,"o",0.9073254604215,0.00953010194274655,0,0.0217639018107693,15.5,1,1
"100",40,"7.6",26,"o",0.907634484104337,0.0105035098853275,0,0.0197536677921151,16,1,1
"101",41,"7.6",26,"o",0.907930647225932,0.0115724006406527,0,0.0179349603835811,16.5,1,1
"102",42,"7.6",26,"o",0.908270328344957,0.0127459081550014,0,0.016289792356449,17.1,1,1
"103",43,"7.6",26,"o",0.908594174150538,0.0140331658507736,0,0.0148008104331915,17.7,1,1
"104",44,"7.6",26,"o",0.908903421918614,0.0154449216713209,0,0.0134525072498965,18.3,1,1
"105",45,"7.6",26,"o",0.909199175725054,0.0169929183880924,0,0.0122310085030412,18.9,1,1
"106",46,"7.6",26,"o",0.90948242447536,0.0186899843750311,0,0.0111238872671247,19.5,1,1
"107",47,"7.6",26,"o",0.909754057024378,0.0205501325501837,0,0.0101200015711485,20.1,1,1
"108",48,"7.6",26,"o",0.910014874927059,0.0225886682136918,0,0.00920935196403033,20.7,1,1
"109",49,"7.6",26,"o",0.910265603248176,0.0248223065754858,0,0.00838295632106284,21.3,1,1
"110",50,"7.6",26,"o",0.910506899771985,0.0272693008358333,0,0.00763273957081489,21.9,1,1
"111",51,"7.6",26,"o",0.910739362885267,0.0299495817578782,0,0.00695143637379312,22.5,1,1
"112",52,"7.6",26,"o",0.910963538354615,0.0328849097539789,0,0.00633250507571756,23.1,1,1
"113",53,"7.6",26,"o",0.911179925177304,0.0360990405975805,0,0.00577005150107722,23.7,1,1
"114",54,"7.6",26,"o",0.911388980652266,0.0396179059701695,0,0.00525876135587784,24.3,1,1
"115",55,"7.6",26,"o",0.911591124791551,0.0434698101592315,0,0.00479384017941502,24.9,1,1
"116",56,"7.6",26,"o",0.911786744171629,0.0476856443388165,0,0.00437095992926796,25.5,1,1
"117",57,"7.6",26,"o",0.911976195306975,0.052299119990102,0,0.00398621140613304,26.1,1,1
"118",58,"7.6",26,"o",0.912159807614681,0.057347023156123,0,0.00363606182932976,26.7,1,1
"119",59,"7.6",26,"o",0.912337886027595,0.062869491373542,0,0.00331731696283634,27.3,1,1
"120",60,"7.6",26,"o",NA,NA,NA,NA,27.9,1,1
"121",1,"8.2",1,"a",0.900323087417982,0.000274154127847024,2,0.900323087417982,8.2,1,1
"122",2,"8.2",3,"n",0.911093312996945,0.000304506384072928,0,0.820278344483287,8.1,1,1
"123",3,"8.2",3,"n",0.911396761568301,0.000334220852824928,0,0.747599026746675,8.3,1,1
"124",4,"8.2",3,"n",0.911690446028205,0.000366712793942577,0,0.681578890144927,8.5,1,1
"125",5,"8.2",3,"n",0.911974898685877,0.000402233889298903,0,0.621582839286353,8.7,1,1
"126",6,"8.2",3,"n",0.912250611464856,0.000441058070653598,0,0.567039325215037,8.9,1,1
"127",7,"8.2",3,"n",0.912518039791641,0.000483483447542298,0,0.51743361353,9.1,1,1
"128",8,"8.2",3,"n",0.901836957959405,0.000529834399386442,1,0.466640755971838,9.3,1,1
"129",9,"8.2",4,"n",0.912904564581137,0.000587505751134111,2,0.425998476146283,9.4,1,1
"130",10,"8.2",6,"n",0.901962470425049,0.000643556592800775,1,0.384234637942208,9.4,1,1
"131",11,"8.2",7,"n",0.913029702549071,0.00071350706254718,2,0.350817637189424,9.5,1,1
"132",12,"8.2",9,"n",0.913029702549071,0.00078147190672456,2,0.320306922932028,9.5,1,1
"133",13,"8.2",11,"a",0.902086183057953,0.00085591071631381,2,0.288944449514791,9.5,1,1
"134",14,"8.2",13,"n",0.912904564581137,0.00094881257732203,2,0.263778706872437,9.4,1,1
"135",15,"8.2",15,"n",0.912904564581137,0.00103933380786344,2,0.240804785543157,9.4,1,1
"136",16,"8.2",17,"n",0.901962470425049,0.00113849119413738,1,0.21719687925868,9.4,1,1
"137",17,"8.2",18,"n",0.913029702549071,0.00126223787737074,2,0.198307202064139,9.5,1,1
"138",18,"8.2",20,"n",0.902086183057953,0.00138247186684805,1,0.178890186982942,9.5,1,1
"139",19,"8.2",21,"n",0.913153064737767,0.00153252748219871,2,0.163354122494985,9.6,1,1
"140",20,"8.2",23,"n",0.902208140147447,0.00167828104770016,1,0.147379419041619,9.6,1,1
"141",21,"8.2",24,"a",0.902328384447243,0.00186019275710135,2,0.132984633084597,9.7,1,1
"142",22,"8.2",26,"o",0.902208140147447,0.00206154742460073,0,0.119979818483445,9.6,1,1
"143",23,"8.2",26,"o",0.902563898421186,0.00228500202210968,0,0.108289452702284,9.9,1,1
"144",24,"8.2",26,"o",0.902905311302148,0.00253167894938711,0,0.0977751220028953,10.2,1,1
"145",25,"8.2",26,"o",0.903233353029144,0.00280392519314787,0,0.0883137512895087,10.5,1,1
"146",26,"8.2",26,"o",0.903548906277751,0.00310431981253176,0,0.0797957933869209,10.8,1,1
"147",27,"8.2",26,"o",0.90385277302424,0.00343569649740408,0,0.0721236491284378,11.1,1,1
"148",28,"8.2",26,"o",0.904145683866642,0.00380116828751705,0,0.0652102860641891,11.4,1,1
"149",29,"8.2",26,"o",0.90452033416949,0.00420415465709142,0,0.0589840297420684,11.8,1,1
"150",30,"8.2",26,"o",0.904878115511478,0.00464793824779138,0,0.0533733576782758,12.2,1,1
"151",31,"8.2",26,"o",0.905220302679012,0.00513653515110614,0,0.048314646992524,12.6,1,1
"152",32,"8.2",26,"o",0.905548037567351,0.00567434815138866,0,0.0437512337698394,13,1,1
"153",33,"8.2",26,"o",0.905862346617165,0.00626620335529867,0,0.0396325952901429,13.4,1,1
"154",34,"8.2",26,"o",0.906164155520456,0.00691739024002826,0,0.0359136372421763,13.8,1,1
"155",35,"8.2",26,"o",0.906525106533149,0.00763370543613618,0,0.0325566138269568,14.3,1,1
"156",36,"8.2",26,"o",0.906869296308001,0.00842084282180555,0,0.0295245934714236,14.8,1,1
"157",37,"8.2",26,"o",0.907198029683709,0.00928561905898463,0,0.026784653024488,15.3,1,1
"158",38,"8.2",26,"o",0.907512471513711,0.0102354929741437,0,0.0243074066648903,15.8,1,1
"159",39,"8.2",26,"o",0.907813665551181,0.0112786251378685,0,0.0220665959444973,16.3,1,1
"160",40,"8.2",26,"o",0.908102550295741,0.0124239428925325,0,0.0200387320535436,16.8,1,1
"161",41,"8.2",26,"o",0.908434149976338,0.0136812113218782,0,0.0182038685196645,17.4,1,1
"162",42,"8.2",26,"o",0.908750550889645,0.0150602124790603,0,0.0165427755455678,18,1,1
"163",43,"8.2",26,"o",0.909052921251075,0.016572438348804,0,0.0150382584352992,18.6,1,1
"164",44,"8.2",26,"o",0.9093423054937,0.0182304439723887,0,0.0136749245961651,19.2,1,1
"165",45,"8.2",26,"o",0.909619640766994,0.0200479443904141,0,0.0124389799986794,19.8,1,1
"166",46,"8.2",26,"o",0.90988577081223,0.0220399203050515,0,0.0113180509042163,20.4,1,1
"167",47,"8.2",26,"o",0.910141457695178,0.0242227332397748,0,0.0103010273482317,21,1,1
"168",48,"8.2",26,"o",0.910387391777786,0.0266142510430366,0,0.0093779254201883,21.6,1,1
"169",49,"8.2",26,"o",0.910662821966688,0.0292339846568666,0,0.00854012802734182,22.3,1,1
"170",50,"8.2",26,"o",0.910926729589099,0.03210187563574,0,0.00777943089421868,23,1,1
"171",51,"8.2",26,"o",0.911179925177304,0.035240897640824,0,0.00708846126011619,23.7,1,1
"172",52,"8.2",26,"o",0.911423140461421,0.0386761128807426,0,0.00646058762273421,24.4,1,1
"173",53,"8.2",26,"o",0.911657038030695,0.0424348594673186,0,0.00588984017607964,25.1,1,1
"174",54,"8.2",26,"o",0.911882219578442,0.0465469553758766,0,0.00537084053272579,25.8,1,1
"175",55,"8.2",26,"o",0.912099232970478,0.0510449204694384,0,0.00489873953030595,26.5,1,1
"176",56,"8.2",26,"o",0.912308578331078,0.0559642181730577,0,0.00446916209650767,27.2,1,1
"177",57,"8.2",26,"o",0.912510713304388,0.0613435185224666,0,0.00407815829255715,27.9,1,1
"178",58,"8.2",26,"o",0.912706057620617,0.0672249844610911,0,0.00372215977755266,28.6,1,1
"179",59,"8.2",26,"o",0.912894997073336,0.0736545834223382,0,0.00339794103923543,29.3,1,1
"180",60,"8.2",26,"o",NA,NA,NA,NA,30,1,1
"181",1,"8.8",1,"a",0.901180731037745,0.000316195788947024,2,0.901180731037745,8.8,1,1
"182",2,"8.8",3,"n",0.911974898685877,0.000350868342006062,0,0.821854205885812,8.7,1,1
"183",3,"8.8",3,"n",0.912250611464856,0.000384734648411541,0,0.749737001854295,8.9,1,1
"184",4,"8.8",3,"n",0.912518039791641,0.000421742275177815,0,0.684148539291344,9.1,1,1
"185",5,"8.8",3,"n",0.912777606033941,0.000462174178248699,0,0.624475465865971,9.3,1,1
"186",6,"8.8",3,"n",0.913029702549071,0.000506338208993608,0,0.5701646488488,9.5,1,1
"187",7,"8.8",3,"n",0.913274694393924,0.000554569262730414,0,0.520716945431606,9.7,1,1
"188",8,"8.8",3,"n",0.913512921740136,0.000607231609651073,0,0.475681658220826,9.9,1,1
"189",9,"8.8",3,"n",0.913744702031809,0.000664721423419351,0,0.434651595052985,10.1,1,1
"190",10,"8.8",3,"n",0.913970331917663,0.000727469523972365,0,0.397258662599118,10.3,1,1
"191",11,"8.8",3,"n",0.903233353029144,0.000795944352423357,1,0.358817273839275,10.5,1,1
"192",12,"8.8",4,"n",0.914297847133009,0.00088121674177999,2,0.328065860985384,10.6,1,1
"193",13,"8.8",6,"n",0.903339883885334,0.000963818021165912,1,0.296354976769279,10.6,1,1
"194",14,"8.8",7,"n",0.914404233319945,0.00106694948198286,2,0.270988245323263,10.7,1,1
"195",15,"8.8",9,"n",0.914404233319945,0.00116682474020168,2,0.247792798703535,10.7,1,1
"196",16,"8.8",11,"a",0.90344505841333,0.00127604914509775,2,0.223867179499118,10.7,1,1
"197",17,"8.8",13,"n",0.914297847133009,0.00141242583952897,2,0.204681280259782,10.6,1,1
"198",18,"8.8",15,"n",0.914297847133009,0.00154482026175382,2,0.187139653889947,10.6,1,1
"199",19,"8.8",17,"n",0.903339883885334,0.00168962473946314,1,0.169050713215286,10.6,1,1
"200",20,"8.8",18,"n",0.914404233319945,0.00187041972750714,2,0.154580687809814,10.7,1,1
"201",21,"8.8",20,"n",0.90344505841333,0.00204550641756784,1,0.13965515852791,10.7,1,1
"202",22,"8.8",21,"n",0.914509277552573,0.00226411822005009,2,0.127715938131849,10.8,1,1
"203",23,"8.8",23,"n",0.914509277552573,0.00247577392118904,2,0.116797410312906,10.8,1,1
"204",24,"8.8",25,"a",0.892713401699674,0.00270721575161572,1,0.104266613470147,10.8,1,1
"205",25,"8.8",26,"o",0.903651456228047,0.00303256985552288,0,0.0942206770982654,10.9,1,1
"206",26,"8.8",26,"o",0.903951593111238,0.00335590656621216,0,0.0851709311669965,11.2,1,1
"207",27,"8.8",26,"o",0.904241003182327,0.00371248481864138,0,0.0770150482404179,11.5,1,1
"208",28,"8.8",26,"o",0.904611308720388,0.0041056364460093,0,0.0696686835799282,11.9,1,1
"209",29,"8.8",26,"o",0.904965077525625,0.00453856413957162,0,0.063047725637018,12.3,1,1
"210",30,"8.8",26,"o",0.905303549355658,0.00501518152720441,0,0.057077329797994,12.7,1,1
"211",31,"8.8",26,"o",0.905627835723606,0.00553977892914915,0,0.0516908186538398,13.1,1,1
"212",32,"8.8",26,"o",0.905938936599268,0.0061170590286934,0,0.0468287252832053,13.5,1,1
"213",33,"8.8",26,"o",0.906237754513756,0.00675217587142875,0,0.0424379588473935,13.9,1,1
"214",34,"8.8",26,"o",0.906595241446381,0.0074507775004934,0,0.0384740515477443,14.4,1,1
"215",35,"8.8",26,"o",0.906936240333652,0.00821841673093986,0,0.0348935116611143,14.9,1,1
"216",36,"8.8",26,"o",0.907262026337961,0.00906173594729922,0,0.0316575580957099,15.4,1,1
"217",37,"8.8",26,"o",0.907573738688342,0.00998800311733058,0,0.0287315683586668,15.9,1,1
"218",38,"8.8",26,"o",0.907872398905995,0.0110051698187803,0,0.0260845978901144,16.4,1,1
"219",39,"8.8",26,"o",0.908158926115141,0.0121219345714682,0,0.0236889604080316,16.9,1,1
"220",40,"8.8",26,"o",0.908487905721416,0.0133478119554719,0,0.0215211340298102,17.5,1,1
"221",41,"8.8",26,"o",0.908801890651369,0.0146923386336911,0,0.019558447295253,18.1,1,1
"222",42,"8.8",26,"o",0.909102027215682,0.0161667122227933,0,0.0177806240853056,18.7,1,1
"223",43,"8.8",26,"o",0.909389340898689,0.0177831659580688,0,0.0161695100177034,19.3,1,1
"224",44,"8.8",26,"o",0.909664752381486,0.0195550631157551,0,0.0147088333263841,19.9,1,1
"225",45,"8.8",26,"o",0.909929091029807,0.0214969999272372,0,0.0133839953387856,20.5,1,1
"226",46,"8.8",26,"o",0.910183106309049,0.0236249177426651,0,0.0121818864522817,21.1,1,1
"227",47,"8.8",26,"o",0.910467312590964,0.0259562252681972,0,0.0110912094204972,21.8,1,1
"228",48,"8.8",26,"o",0.910739362885267,0.0285086843967327,0,0.0101012010012507,22.5,1,1
"229",49,"8.8",26,"o",0.911000130862483,0.0313027915104227,0,0.00920219543400765,23.2,1,1
"230",50,"8.8",26,"o",0.911250403460448,0.0343609078088573,0,0.00838550430196137,23.9,1,1
"231",51,"8.8",26,"o",0.911490891735878,0.0377074267164905,0,0.00764331079384981,24.6,1,1
"232",52,"8.8",26,"o",0.911722240093362,0.041368956133702,0,0.00696857643869852,25.3,1,1
"233",53,"8.8",26,"o",0.911945034171927,0.0453745168369105,0,0.00635495867851861,26,1,1
"234",54,"8.8",26,"o",0.912159807614681,0.0497557584466831,0,0.00579673788559678,26.7,1,1
"235",55,"8.8",26,"o",0.912367047904446,0.0545471945061858,0,0.0052887526321578,27.4,1,1
"236",56,"8.8",26,"o",0.912567201414458,0.0597864583464205,0,0.00482634218850159,28.1,1,1
"237",57,"8.8",26,"o",0.912760677796302,0.0655145815604078,0,0.0044052953672536,28.8,1,1
"238",58,"8.8",26,"o",0.912947853805869,0.0717762970668073,0,0.00402180495091511,29.5,1,1
"239",59,"8.8",26,"o",0.913129076650707,0.0786203689154736,0,0.00367242704129836,30.2,1,1
"240",60,"8.8",26,"o",NA,NA,NA,NA,30.9,1,1
"241",1,"9.4",1,"a",0.901962470425049,0.000358942100531042,2,0.901962470425049,9.4,1,1
"242",2,"9.4",3,"n",0.912777606033941,0.000397956802306742,0,0.823291144487036,9.3,1,1
"243",3,"9.4",3,"n",0.913029702549071,0.000435984405923237,0,0.751689268762282,9.5,1,1
"244",4,"9.4",3,"n",0.913274694393924,0.000477513934876401,0,0.686498787208065,9.7,1,1
"245",5,"9.4",3,"n",0.913512921740136,0.000522859045375492,0,0.6271255128735,9.9,1,1
"246",6,"9.4",3,"n",0.913744702031809,0.000572360864233323,0,0.573032614897141,10.1,1,1
"247",7,"9.4",3,"n",0.913970331917663,0.000626390350565773,0,0.523734809237187,10.3,1,1
"248",8,"9.4",3,"n",0.914190088985125,0.000685350857342931,0,0.478793171861151,10.5,1,1
"249",9,"9.4",3,"n",0.914404233319945,0.000749680909474487,0,0.43781050323452,10.7,1,1
"250",10,"9.4",3,"n",0.914613008911809,0.000819857216487949,0,0.400427181696518,10.9,1,1
"251",11,"9.4",3,"n",0.90385277302424,0.000896397939346392,1,0.361927218570679,11.1,1,1
"252",12,"9.4",4,"n",0.91491660343126,0.000991752159311406,2,0.331133221504009,11.2,1,1
"253",13,"9.4",6,"n",0.903951593111238,0.00108398093945611,1,0.299328403110605,11.2,1,1
"254",14,"9.4",7,"n",0.91501535684027,0.00119915817142956,2,0.273890085584679,11.3,1,1
"255",15,"9.4",9,"n",0.91501535684027,0.00131053338336363,2,0.250613634396277,11.3,1,1
"256",16,"9.4",11,"a",0.90404922183053,0.00143225288359002,2,0.226567061156075,11.3,1,1
"257",17,"9.4",13,"n",0.91491660343126,0.00158426427345402,2,0.207289966042319,11.2,1,1
"258",18,"9.4",15,"n",0.91491660343126,0.00173159418848939,2,0.18965303165682,11.2,1,1
"259",19,"9.4",17,"n",0.903951593111238,0.00189262516604825,1,0.171437160104558,11.2,1,1
"260",20,"9.4",18,"n",0.91501535684027,0.00209372402291386,2,0.156867634228755,11.3,1,1
"261",21,"9.4",20,"n",0.90404922183053,0.00228818457227199,1,0.141816062654902,11.3,1,1
"262",22,"9.4",21,"n",0.915112930119827,0.00253103981179127,2,0.129777712634184,11.4,1,1
"263",23,"9.4",23,"n",0.915112930119827,0.00276582236845878,2,0.118761262872917,11.4,1,1
"264",24,"9.4",25,"a",0.893303378532631,0.00302238366154067,1,0.106089837363179,11.4,1,1
"265",25,"9.4",26,"o",0.904241003182327,0.00338337874251113,0,0.0959307809647309,11.5,1,1
"266",26,"9.4",26,"o",0.90452033416949,0.00374167808206427,0,0.0867713420553585,11.8,1,1
"267",27,"9.4",26,"o",0.904878115511478,0.00413664341277612,0,0.0785174884794547,12.2,1,1
"268",28,"9.4",26,"o",0.905220302679012,0.00457149238319008,0,0.0710756246869678,12.6,1,1
"269",29,"9.4",26,"o",0.905548037567351,0.00505014345089332,0,0.0643623924541572,13,1,1
"270",30,"9.4",26,"o",0.905862346617165,0.00557689182835617,0,0.0583034678624178,13.4,1,1
"271",31,"9.4",26,"o",0.906164155520456,0.00615644512566662,0,0.0528325127194619,13.8,1,1
"272",32,"9.4",26,"o",0.906454301688849,0.00679396231704912,0,0.047890258423587,14.2,1,1
"273",33,"9.4",26,"o",0.906801734472765,0.00749509633788602,0,0.0434269694028577,14.7,1,1
"274",34,"9.4",26,"o",0.907133461753876,0.00826541905794196,0,0.0393940570878939,15.2,1,1
"275",35,"9.4",26,"o",0.907450674763154,0.00911157994542653,0,0.0357481636860675,15.7,1,1
"276",36,"9.4",26,"o",0.907754440117825,0.0100408542291345,0,0.0324505543120866,16.2,1,1
"277",37,"9.4",26,"o",0.908045716226358,0.0110612008990352,0,0.029466586832261,16.7,1,1
