"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","iter_val","iter_var"
"74","7.6","0",0.529411764705882,"n",0.409090909090909,0.119678501930024,1.9,18.6,22,0.062869491373542,0.5,"N"
"75","8.2","0",0.333333333333333,"n",0.285714285714286,0.132984633084597,1.6,20.4,21,0.0736545834223382,0.5,"N"
"76","8.8","0",0.428571428571429,"n",0.375,0.104266613470147,2.1,20,24,0.0786203689154736,0.5,"N"
"77","9.4","0",0.428571428571429,"n",0.375,0.106089837363179,2.1,20.7,24,0.0861347362791,0.5,"N"
"78","10","0",0.25,"n",0.210526315789474,0.165770478707071,1.1,24.1,19,0.104828335740565,0.5,"N"
"79","7.1","1",0.0526315789473684,"n",0.0416666666666667,0.0989203269419862,2.3,17.6,24,0.0581388249819421,0.5,"N"
"80","7.6","1",0.0588235294117647,"n",0.0454545454545455,0.119678501930024,1.9,18.6,22,0.062869491373542,0.5,"N"
"81","8.2","1",0.277777777777778,"n",0.238095238095238,0.132984633084597,1.6,20.4,21,0.0736545834223382,0.5,"N"
"82","8.8","1",0.19047619047619,"n",0.166666666666667,0.104266613470147,2.1,20,24,0.0786203689154736,0.5,"N"
"83","9.4","1",0.19047619047619,"n",0.166666666666667,0.106089837363179,2.1,20.7,24,0.0861347362791,0.5,"N"
"84","10","1",0.25,"n",0.210526315789474,0.165770478707071,1.1,24.1,19,0.104828335740565,0.5,"N"
"85","7.1","2",0.368421052631579,"n",0.291666666666667,0.0989203269419862,2.3,17.6,24,0.0581388249819421,0.5,"N"
"86","7.6","2",0.411764705882353,"n",0.318181818181818,0.119678501930024,1.9,18.6,22,0.062869491373542,0.5,"N"
"87","8.2","2",0.388888888888889,"n",0.333333333333333,0.132984633084597,1.6,20.4,21,0.0736545834223382,0.5,"N"
"88","8.8","2",0.380952380952381,"n",0.333333333333333,0.104266613470147,2.1,20,24,0.0786203689154736,0.5,"N"
"89","9.4","2",0.380952380952381,"n",0.333333333333333,0.106089837363179,2.1,20.7,24,0.0861347362791,0.5,"N"
"90","10","2",0.5,"n",0.421052631578947,0.165770478707071,1.1,24.1,19,0.104828335740565,0.5,"N"
"91","7.1","0",0,"a",0,0.0989203269419862,2.3,17.6,24,0.0581388249819421,0.5,"N"
"92","7.6","0",0,"a",0,0.119678501930024,1.9,18.6,22,0.062869491373542,0.5,"N"
"93","8.2","0",0,"a",0,0.132984633084597,1.6,20.4,21,0.0736545834223382,0.5,"N"
"94","8.8","0",0,"a",0,0.104266613470147,2.1,20,24,0.0786203689154736,0.5,"N"
"95","9.4","0",0,"a",0,0.106089837363179,2.1,20.7,24,0.0861347362791,0.5,"N"
"96","10","0",0,"a",0,0.165770478707071,1.1,24.1,19,0.104828335740565,0.5,"N"
"97","7.1","1",0,"a",0,0.0989203269419862,2.3,17.6,24,0.0581388249819421,0.5,"N"
"98","7.6","1",0,"a",0,0.119678501930024,1.9,18.6,22,0.062869491373542,0.5,"N"
"99","8.2","1",0,"a",0,0.132984633084597,1.6,20.4,21,0.0736545834223382,0.5,"N"
"100","8.8","1",0.333333333333333,"a",0.0416666666666667,0.104266613470147,2.1,20,24,0.0786203689154736,0.5,"N"
"101","9.4","1",0.333333333333333,"a",0.0416666666666667,0.106089837363179,2.1,20.7,24,0.0861347362791,0.5,"N"
"102","10","1",0.333333333333333,"a",0.0526315789473684,0.165770478707071,1.1,24.1,19,0.104828335740565,0.5,"N"
"103","7.1","2",1,"a",0.208333333333333,0.0989203269419862,2.3,17.6,24,0.0581388249819421,0.5,"N"
"104","7.6","2",1,"a",0.227272727272727,0.119678501930024,1.9,18.6,22,0.062869491373542,0.5,"N"
"105","8.2","2",1,"a",0.142857142857143,0.132984633084597,1.6,20.4,21,0.0736545834223382,0.5,"N"
"106","8.8","2",0.666666666666667,"a",0.0833333333333333,0.104266613470147,2.1,20,24,0.0786203689154736,0.5,"N"
"107","9.4","2",0.666666666666667,"a",0.0833333333333333,0.106089837363179,2.1,20.7,24,0.0861347362791,0.5,"N"
"108","10","2",0.666666666666667,"a",0.105263157894737,0.165770478707071,1.1,24.1,19,0.104828335740565,0.5,"N"
"109","7.1","0",0.545454545454545,"n",0.48,0.0923497602771199,2.5,17.3,25,0.0581388249819421,0.75,"N"
"110","7.6","0",0.454545454545455,"n",0.416666666666667,0.104741807970888,2.2,17.9,24,0.0614224861024591,0.75,"N"
"111","8.2","0",0.333333333333333,"n",0.3,0.151372578381253,1.4,20.9,20,0.0758369562434244,0.75,"N"
"112","8.8","0",0.454545454545455,"n",0.416666666666667,0.108932344528959,2.3,20.2,24,0.0808905333153078,0.75,"N"
"113","9.4","0",0.5,"n",0.461538461538462,0.0932105407884717,2.8,20,26,0.0861347362791,0.75,"N"
"114","10","0",0.478260869565217,"n",0.44,0.102980875056012,2.8,21.9,25,0.101598148942839,0.75,"N"
"115","7.1","1",0.0454545454545455,"n",0.04,0.0923497602771199,2.5,17.3,25,0.0581388249819421,0.75,"N"
"116","7.6","1",0.136363636363636,"n",0.125,0.104741807970888,2.2,17.9,24,0.0614224861024591,0.75,"N"
"117","8.2","1",0.166666666666667,"n",0.15,0.151372578381253,1.4,20.9,20,0.0758369562434244,0.75,"N"
"118","8.8","1",0.0454545454545455,"n",0.0416666666666667,0.108932344528959,2.3,20.2,24,0.0808905333153078,0.75,"N"
"119","9.4","1",0.0416666666666667,"n",0.0384615384615385,0.0932105407884717,2.8,20,26,0.0861347362791,0.75,"N"
"120","10","1",0.0434782608695652,"n",0.04,0.102980875056012,2.8,21.9,25,0.101598148942839,0.75,"N"
"121","7.1","2",0.409090909090909,"n",0.36,0.0923497602771199,2.5,17.3,25,0.0581388249819421,0.75,"N"
"122","7.6","2",0.409090909090909,"n",0.375,0.104741807970888,2.2,17.9,24,0.0614224861024591,0.75,"N"
"123","8.2","2",0.5,"n",0.45,0.151372578381253,1.4,20.9,20,0.0758369562434244,0.75,"N"
"124","8.8","2",0.5,"n",0.458333333333333,0.108932344528959,2.3,20.2,24,0.0808905333153078,0.75,"N"
"125","9.4","2",0.458333333333333,"n",0.423076923076923,0.0932105407884717,2.8,20,26,0.0861347362791,0.75,"N"
"126","10","2",0.478260869565217,"n",0.44,0.102980875056012,2.8,21.9,25,0.101598148942839,0.75,"N"
"127","7.1","0",0,"a",0,0.0923497602771199,2.5,17.3,25,0.0581388249819421,0.75,"N"
"128","7.6","0",0,"a",0,0.104741807970888,2.2,17.9,24,0.0614224861024591,0.75,"N"
"129","8.2","0",0,"a",0,0.151372578381253,1.4,20.9,20,0.0758369562434244,0.75,"N"
"130","8.8","0",0,"a",0,0.108932344528959,2.3,20.2,24,0.0808905333153078,0.75,"N"
"131","9.4","0",0,"a",0,0.0932105407884717,2.8,20,26,0.0861347362791,0.75,"N"
"132","10","0",0,"a",0,0.102980875056012,2.8,21.9,25,0.101598148942839,0.75,"N"
"133","7.1","1",0,"a",0,0.0923497602771199,2.5,17.3,25,0.0581388249819421,0.75,"N"
"134","7.6","1",0,"a",0,0.104741807970888,2.2,17.9,24,0.0614224861024591,0.75,"N"
"135","8.2","1",0,"a",0,0.151372578381253,1.4,20.9,20,0.0758369562434244,0.75,"N"
"136","8.8","1",1,"a",0.0833333333333333,0.108932344528959,2.3,20.2,24,0.0808905333153078,0.75,"N"
"137","9.4","1",1,"a",0.0769230769230769,0.0932105407884717,2.8,20,26,0.0861347362791,0.75,"N"
"138","10","1",1,"a",0.08,0.102980875056012,2.8,21.9,25,0.101598148942839,0.75,"N"
"139","7.1","2",1,"a",0.12,0.0923497602771199,2.5,17.3,25,0.0581388249819421,0.75,"N"
"140","7.6","2",1,"a",0.0833333333333333,0.104741807970888,2.2,17.9,24,0.0614224861024591,0.75,"N"
"141","8.2","2",1,"a",0.1,0.151372578381253,1.4,20.9,20,0.0758369562434244,0.75,"N"
"142","8.8","2",0,"a",0,0.108932344528959,2.3,20.2,24,0.0808905333153078,0.75,"N"
"143","9.4","2",0,"a",0,0.0932105407884717,2.8,20,26,0.0861347362791,0.75,"N"
"144","10","2",0,"a",0,0.102980875056012,2.8,21.9,25,0.101598148942839,0.75,"N"
"145","7.1","0",0.48,"n",0.48,0.0993234245631586,2.5,17.3,25,0.0581388249819421,1,"N"
