"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","iter_index","Bn","ka","dn0","more_nat_preds_cat"
"63","8.2","1",0.0185185185185185,"a",0.0169491525423729,0.0159308455849914,13.3,0,59,0.0381679630716228,2,0.7,1.3,1,1
"64","8.8","1",0.0185185185185185,"a",0.0169491525423729,0.016383579344257,13.9,0,59,0.0423166738783245,2,0.7,1.3,1,1
"65","9.4","1",0.0555555555555556,"a",0.0508474576271186,0.0165643046973621,14.7,0,59,0.0476171100417174,2,0.7,1.3,1,1
"66","10","1",0.0185185185185185,"a",0.0169491525423729,0.017294974015839,15.4,0,59,0.052999514185488,2,0.7,1.3,1,1
"67","7.1","2",0.12962962962963,"a",0.11864406779661,0.015057982097687,12.1,0,59,0.0311725499148007,2,0.7,1.3,1,1
"68","7.6","2",0.12962962962963,"a",0.11864406779661,0.0154688464611225,12.7,0,59,0.0343668304006612,2,0.7,1.3,1,1
"69","8.2","2",0.12962962962963,"a",0.11864406779661,0.0159308455849914,13.3,0,59,0.0381679630716228,2,0.7,1.3,1,1
"70","8.8","2",0.12962962962963,"a",0.11864406779661,0.016383579344257,13.9,0,59,0.0423166738783245,2,0.7,1.3,1,1
"71","9.4","2",0.111111111111111,"a",0.101694915254237,0.0165643046973621,14.7,0,59,0.0476171100417174,2,0.7,1.3,1,1
"72","10","2",0.12962962962963,"a",0.11864406779661,0.017294974015839,15.4,0,59,0.052999514185488,2,0.7,1.3,1,1
"73","7.1","0",0,"n",0,0.0156749902281586,12.1,0,59,0.0311725499148007,3,0.5,1.3,1,1
"74","7.6","0",0,"n",0,0.0161026722048928,12.7,0,59,0.0343668304006612,3,0.5,1.3,1,1
"75","8.2","0",0,"n",0,0.0165835829797206,13.3,0,59,0.0381679630716228,3,0.5,1.3,1,1
"76","8.8","0",0,"n",0,0.017054849098179,13.9,0,59,0.0423166738783245,3,0.5,1.3,1,1
"77","9.4","0",0,"n",0,0.0172429607678469,14.7,0,59,0.0476171100417174,3,0.5,1.3,1,1
"78","10","0",0,"n",0,0.0180035482903741,15.4,0,59,0.052999514185488,3,0.5,1.3,1,1
"79","7.1","1",0,"n",0,0.0156749902281586,12.1,0,59,0.0311725499148007,3,0.5,1.3,1,1
"80","7.6","1",0,"n",0,0.0161026722048928,12.7,0,59,0.0343668304006612,3,0.5,1.3,1,1
"81","8.2","1",0,"n",0,0.0165835829797206,13.3,0,59,0.0381679630716228,3,0.5,1.3,1,1
"82","8.8","1",0,"n",0,0.017054849098179,13.9,0,59,0.0423166738783245,3,0.5,1.3,1,1
"83","9.4","1",0,"n",0,0.0172429607678469,14.7,0,59,0.0476171100417174,3,0.5,1.3,1,1
"84","10","1",0,"n",0,0.0180035482903741,15.4,0,59,0.052999514185488,3,0.5,1.3,1,1
"85","7.1","2",1,"n",0.0847457627118644,0.0156749902281586,12.1,0,59,0.0311725499148007,3,0.5,1.3,1,1
"86","7.6","2",1,"n",0.0847457627118644,0.0161026722048928,12.7,0,59,0.0343668304006612,3,0.5,1.3,1,1
"87","8.2","2",1,"n",0.0847457627118644,0.0165835829797206,13.3,0,59,0.0381679630716228,3,0.5,1.3,1,1
"88","8.8","2",1,"n",0.0847457627118644,0.017054849098179,13.9,0,59,0.0423166738783245,3,0.5,1.3,1,1
"89","9.4","2",1,"n",0.0847457627118644,0.0172429607678469,14.7,0,59,0.0476171100417174,3,0.5,1.3,1,1
"90","10","2",1,"n",0.0847457627118644,0.0180035482903741,15.4,0,59,0.052999514185488,3,0.5,1.3,1,1
"91","7.1","0",0.851851851851852,"a",0.779661016949153,0.0156749902281586,12.1,0,59,0.0311725499148007,3,0.5,1.3,1,1
"92","7.6","0",0.851851851851852,"a",0.779661016949153,0.0161026722048928,12.7,0,59,0.0343668304006612,3,0.5,1.3,1,1
"93","8.2","0",0.851851851851852,"a",0.779661016949153,0.0165835829797206,13.3,0,59,0.0381679630716228,3,0.5,1.3,1,1
"94","8.8","0",0.851851851851852,"a",0.779661016949153,0.017054849098179,13.9,0,59,0.0423166738783245,3,0.5,1.3,1,1
"95","9.4","0",0.833333333333333,"a",0.76271186440678,0.0172429607678469,14.7,0,59,0.0476171100417174,3,0.5,1.3,1,1
"96","10","0",0.851851851851852,"a",0.779661016949153,0.0180035482903741,15.4,0,59,0.052999514185488,3,0.5,1.3,1,1
"97","7.1","1",0.0185185185185185,"a",0.0169491525423729,0.0156749902281586,12.1,0,59,0.0311725499148007,3,0.5,1.3,1,1
"98","7.6","1",0.0185185185185185,"a",0.0169491525423729,0.0161026722048928,12.7,0,59,0.0343668304006612,3,0.5,1.3,1,1
"99","8.2","1",0.0185185185185185,"a",0.0169491525423729,0.0165835829797206,13.3,0,59,0.0381679630716228,3,0.5,1.3,1,1
"100","8.8","1",0.0185185185185185,"a",0.0169491525423729,0.017054849098179,13.9,0,59,0.0423166738783245,3,0.5,1.3,1,1
"101","9.4","1",0.0555555555555556,"a",0.0508474576271186,0.0172429607678469,14.7,0,59,0.0476171100417174,3,0.5,1.3,1,1
"102","10","1",0.0185185185185185,"a",0.0169491525423729,0.0180035482903741,15.4,0,59,0.052999514185488,3,0.5,1.3,1,1
"103","7.1","2",0.12962962962963,"a",0.11864406779661,0.0156749902281586,12.1,0,59,0.0311725499148007,3,0.5,1.3,1,1
"104","7.6","2",0.12962962962963,"a",0.11864406779661,0.0161026722048928,12.7,0,59,0.0343668304006612,3,0.5,1.3,1,1
"105","8.2","2",0.12962962962963,"a",0.11864406779661,0.0165835829797206,13.3,0,59,0.0381679630716228,3,0.5,1.3,1,1
"106","8.8","2",0.12962962962963,"a",0.11864406779661,0.017054849098179,13.9,0,59,0.0423166738783245,3,0.5,1.3,1,1
"107","9.4","2",0.111111111111111,"a",0.101694915254237,0.0172429607678469,14.7,0,59,0.0476171100417174,3,0.5,1.3,1,1
"108","10","2",0.12962962962963,"a",0.11864406779661,0.0180035482903741,15.4,0,59,0.052999514185488,3,0.5,1.3,1,1
"109","7.1","0",0,"n",0,0.0163170175280009,12.1,0,59,0.0311725499148007,4,0.3,1.3,1,1
"110","7.6","0",0,"n",0,0.0167621983387647,12.7,0,59,0.0343668304006612,4,0.3,1.3,1,1
"111","8.2","0",0,"n",0,0.0172627868468038,13.3,0,59,0.0381679630716228,4,0.3,1.3,1,1
"112","8.8","0",0,"n",0,0.0177533360414113,13.9,0,59,0.0423166738783245,4,0.3,1.3,1,1
"113","9.4","0",0,"n",0,0.0179491327669952,14.7,0,59,0.0476171100417174,4,0.3,1.3,1,1
"114","10","0",0.272727272727273,"n",0.0508474576271186,0.0184550855233583,15.3,0,59,0.0534109833298757,4,0.3,1.3,1,1
