"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","param_value","param_name","baseline"
"61","7.1","0",0.846153846153846,"n",0.745762711864407,0.0180767366376232,12.1,0,59,0.0311725499148007,0.2,"Bn","null"
"62","8.5","0",0.851851851851852,"n",0.779661016949153,0.0200509022386523,13.2,0,59,0.0391768702577432,0.2,"Bn","null"
"63","10","0",0.818181818181818,"n",0.76271186440678,0.0216009508540558,15.3,0,59,0.0534109833298757,0.2,"Bn","null"
"64","11.4","0",0.818181818181818,"n",0.76271186440678,0.0233917069731949,17.4,0,59,0.0702178326029635,0.2,"Bn","null"
"65","12.8","0",0.884615384615385,"n",0.779661016949153,0.0249110977294489,18.8,0,59,0.0849075506403212,0.2,"Bn","null"
"66","14.3","0",0.851851851851852,"n",0.779661016949153,0.026569258057205,19.8,0,59,0.101553180517264,0.2,"Bn","null"
"67","15.7","0",0.851851851851852,"n",0.779661016949153,0.0276918412364849,21.3,0,59,0.120981149073455,0.2,"Bn","null"
"68","17.1","0",0.849056603773585,"n",0.76271186440678,0.0282624263088255,23.3,0,59,0.144688410653727,0.2,"Bn","null"
"69","18.6","0",0.851851851851852,"n",0.779661016949153,0.0296848185020543,24.4,0,59,0.162710335913654,0.2,"Bn","null"
"70","20","0",0.851851851851852,"n",0.779661016949153,0.0304433875250816,25.5,0,59,0.179350092612305,0.2,"Bn","null"
"71","7.1","1",0.0192307692307692,"n",0.0169491525423729,0.0180767366376232,12.1,0,59,0.0311725499148007,0.2,"Bn","null"
"72","8.5","1",0,"n",0,0.0200509022386523,13.2,0,59,0.0391768702577432,0.2,"Bn","null"
"73","10","1",0.0363636363636364,"n",0.0338983050847458,0.0216009508540558,15.3,0,59,0.0534109833298757,0.2,"Bn","null"
"74","11.4","1",0.0363636363636364,"n",0.0338983050847458,0.0233917069731949,17.4,0,59,0.0702178326029635,0.2,"Bn","null"
"75","12.8","1",0.0192307692307692,"n",0.0169491525423729,0.0249110977294489,18.8,0,59,0.0849075506403212,0.2,"Bn","null"
"76","14.3","1",0,"n",0,0.026569258057205,19.8,0,59,0.101553180517264,0.2,"Bn","null"
"77","15.7","1",0,"n",0,0.0276918412364849,21.3,0,59,0.120981149073455,0.2,"Bn","null"
"78","17.1","1",0,"n",0,0.0282624263088255,23.3,0,59,0.144688410653727,0.2,"Bn","null"
"79","18.6","1",0,"n",0,0.0296848185020543,24.4,0,59,0.162710335913654,0.2,"Bn","null"
"80","20","1",0,"n",0,0.0304433875250816,25.5,0,59,0.179350092612305,0.2,"Bn","null"
"81","7.1","2",0.134615384615385,"n",0.11864406779661,0.0180767366376232,12.1,0,59,0.0311725499148007,0.2,"Bn","null"
"82","8.5","2",0.148148148148148,"n",0.135593220338983,0.0200509022386523,13.2,0,59,0.0391768702577432,0.2,"Bn","null"
"83","10","2",0.145454545454545,"n",0.135593220338983,0.0216009508540558,15.3,0,59,0.0534109833298757,0.2,"Bn","null"
"84","11.4","2",0.145454545454545,"n",0.135593220338983,0.0233917069731949,17.4,0,59,0.0702178326029635,0.2,"Bn","null"
"85","12.8","2",0.0961538461538462,"n",0.0847457627118644,0.0249110977294489,18.8,0,59,0.0849075506403212,0.2,"Bn","null"
"86","14.3","2",0.148148148148148,"n",0.135593220338983,0.026569258057205,19.8,0,59,0.101553180517264,0.2,"Bn","null"
"87","15.7","2",0.148148148148148,"n",0.135593220338983,0.0276918412364849,21.3,0,59,0.120981149073455,0.2,"Bn","null"
"88","17.1","2",0.150943396226415,"n",0.135593220338983,0.0282624263088255,23.3,0,59,0.144688410653727,0.2,"Bn","null"
"89","18.6","2",0.148148148148148,"n",0.135593220338983,0.0296848185020543,24.4,0,59,0.162710335913654,0.2,"Bn","null"
"90","20","2",0.148148148148148,"n",0.135593220338983,0.0304433875250816,25.5,0,59,0.179350092612305,0.2,"Bn","null"
"91","7.1","0",0.285714285714286,"a",0.0338983050847458,0.0180767366376232,12.1,0,59,0.0311725499148007,0.2,"Bn","null"
"92","8.5","0",0,"a",0,0.0200509022386523,13.2,0,59,0.0391768702577432,0.2,"Bn","null"
"93","10","0",0,"a",0,0.0216009508540558,15.3,0,59,0.0534109833298757,0.2,"Bn","null"
"94","11.4","0",0,"a",0,0.0233917069731949,17.4,0,59,0.0702178326029635,0.2,"Bn","null"
"95","12.8","0",0,"a",0,0.0249110977294489,18.8,0,59,0.0849075506403212,0.2,"Bn","null"
"96","14.3","0",0,"a",0,0.026569258057205,19.8,0,59,0.101553180517264,0.2,"Bn","null"
"97","15.7","0",0,"a",0,0.0276918412364849,21.3,0,59,0.120981149073455,0.2,"Bn","null"
"98","17.1","0",0,"a",0,0.0282624263088255,23.3,0,59,0.144688410653727,0.2,"Bn","null"
"99","18.6","0",0,"a",0,0.0296848185020543,24.4,0,59,0.162710335913654,0.2,"Bn","null"
"100","20","0",0,"a",0,0.0304433875250816,25.5,0,59,0.179350092612305,0.2,"Bn","null"
"101","7.1","1",0,"a",0,0.0180767366376232,12.1,0,59,0.0311725499148007,0.2,"Bn","null"
"102","8.5","1",0.2,"a",0.0169491525423729,0.0200509022386523,13.2,0,59,0.0391768702577432,0.2,"Bn","null"
"103","10","1",0.25,"a",0.0169491525423729,0.0216009508540558,15.3,0,59,0.0534109833298757,0.2,"Bn","null"
"104","11.4","1",0.25,"a",0.0169491525423729,0.0233917069731949,17.4,0,59,0.0702178326029635,0.2,"Bn","null"
"105","12.8","1",0,"a",0,0.0249110977294489,18.8,0,59,0.0849075506403212,0.2,"Bn","null"
"106","14.3","1",0.2,"a",0.0169491525423729,0.026569258057205,19.8,0,59,0.101553180517264,0.2,"Bn","null"
"107","15.7","1",0.2,"a",0.0169491525423729,0.0276918412364849,21.3,0,59,0.120981149073455,0.2,"Bn","null"
"108","17.1","1",0.5,"a",0.0508474576271186,0.0282624263088255,23.3,0,59,0.144688410653727,0.2,"Bn","null"
"109","18.6","1",0.2,"a",0.0169491525423729,0.0296848185020543,24.4,0,59,0.162710335913654,0.2,"Bn","null"
"110","20","1",0.2,"a",0.0169491525423729,0.0304433875250816,25.5,0,59,0.179350092612305,0.2,"Bn","null"
"111","7.1","2",0.714285714285714,"a",0.0847457627118644,0.0180767366376232,12.1,0,59,0.0311725499148007,0.2,"Bn","null"
"112","8.5","2",0.8,"a",0.0677966101694915,0.0200509022386523,13.2,0,59,0.0391768702577432,0.2,"Bn","null"
"113","10","2",0.75,"a",0.0508474576271186,0.0216009508540558,15.3,0,59,0.0534109833298757,0.2,"Bn","null"
"114","11.4","2",0.75,"a",0.0508474576271186,0.0233917069731949,17.4,0,59,0.0702178326029635,0.2,"Bn","null"
"115","12.8","2",1,"a",0.11864406779661,0.0249110977294489,18.8,0,59,0.0849075506403212,0.2,"Bn","null"
"116","14.3","2",0.8,"a",0.0677966101694915,0.026569258057205,19.8,0,59,0.101553180517264,0.2,"Bn","null"
"117","15.7","2",0.8,"a",0.0677966101694915,0.0276918412364849,21.3,0,59,0.120981149073455,0.2,"Bn","null"
"118","17.1","2",0.5,"a",0.0508474576271186,0.0282624263088255,23.3,0,59,0.144688410653727,0.2,"Bn","null"
"119","18.6","2",0.8,"a",0.0677966101694915,0.0296848185020543,24.4,0,59,0.162710335913654,0.2,"Bn","null"
"120","20","2",0.8,"a",0.0677966101694915,0.0304433875250816,25.5,0,59,0.179350092612305,0.2,"Bn","null"
"121","7.1","0",0,"n",0,0.0163170175280009,12.1,0,59,0.0311725499148007,0.3,"Bn","null"
"122","8.5","0",0,"n",0,0.0174860879808068,13.5,0,59,0.0398533891126368,0.3,"Bn","null"
"123","10","0",0.272727272727273,"n",0.0508474576271186,0.0184550855233583,15.3,0,59,0.0534109833298757,0.3,"Bn","null"
"124","11.4","0",0.555555555555556,"n",0.169491525423729,0.0196711532893229,17.4,0,59,0.0702178326029635,0.3,"Bn","null"
"125","12.8","0",0.761904761904762,"n",0.271186440677966,0.0208402645339476,18.8,0,59,0.0849075506403212,0.3,"Bn","null"
"126","14.3","0",0.807692307692308,"n",0.355932203389831,0.0217431432148353,20.3,0,59,0.103729602914384,0.3,"Bn","null"
"127","15.7","0",0.733333333333333,"n",0.372881355932203,0.0224383392371511,21.3,0,59,0.121669483062769,0.3,"Bn","null"
