"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","param_value","param_name","baseline"
"69","18.6","0",0.901960784313726,"n",0.779661016949153,0.0290876884688438,24.7,0,59,0.16202948953152,0.2,"Bn","null"
"70","20","0",0.901960784313726,"n",0.779661016949153,0.0299015927244554,25.9,0,59,0.179574072133448,0.2,"Bn","null"
"71","7.1","1",0,"n",0,0.0179815480370387,12.1,0,59,0.0311725499148007,0.2,"Bn","null"
"72","8.5","1",0,"n",0,0.0197431975837992,13.5,0,59,0.0398533891126368,0.2,"Bn","null"
"73","10","1",0,"n",0,0.0214178744275327,15.4,0,59,0.052999514185488,0.2,"Bn","null"
"74","11.4","1",0,"n",0,0.0234330243191646,17.5,0,59,0.0697598688278359,0.2,"Bn","null"
"75","12.8","1",0,"n",0,0.0247764987369401,18.8,0,59,0.0849075506403212,0.2,"Bn","null"
"76","14.3","1",0,"n",0,0.0260677272422338,20.3,0,59,0.103729602914384,0.2,"Bn","null"
"77","15.7","1",0.0196078431372549,"n",0.0169491525423729,0.0266807338470929,21.9,0,59,0.12201553628296,0.2,"Bn","null"
"78","17.1","1",0,"n",0,0.0281680417133996,23.4,0,59,0.142392131379764,0.2,"Bn","null"
"79","18.6","1",0,"n",0,0.0290876884688438,24.7,0,59,0.16202948953152,0.2,"Bn","null"
"80","20","1",0,"n",0,0.0299015927244554,25.9,0,59,0.179574072133448,0.2,"Bn","null"
"81","7.1","2",0.104166666666667,"n",0.0847457627118644,0.0179815480370387,12.1,0,59,0.0311725499148007,0.2,"Bn","null"
"82","8.5","2",0.0980392156862745,"n",0.0847457627118644,0.0197431975837992,13.5,0,59,0.0398533891126368,0.2,"Bn","null"
"83","10","2",0.116279069767442,"n",0.0847457627118644,0.0214178744275327,15.4,0,59,0.052999514185488,0.2,"Bn","null"
"84","11.4","2",0.1,"n",0.0847457627118644,0.0234330243191646,17.5,0,59,0.0697598688278359,0.2,"Bn","null"
"85","12.8","2",0.0980392156862745,"n",0.0847457627118644,0.0247764987369401,18.8,0,59,0.0849075506403212,0.2,"Bn","null"
"86","14.3","2",0.0980392156862745,"n",0.0847457627118644,0.0260677272422338,20.3,0,59,0.103729602914384,0.2,"Bn","null"
"87","15.7","2",0.0980392156862745,"n",0.0847457627118644,0.0266807338470929,21.9,0,59,0.12201553628296,0.2,"Bn","null"
"88","17.1","2",0.0980392156862745,"n",0.0847457627118644,0.0281680417133996,23.4,0,59,0.142392131379764,0.2,"Bn","null"
"89","18.6","2",0.0980392156862745,"n",0.0847457627118644,0.0290876884688438,24.7,0,59,0.16202948953152,0.2,"Bn","null"
"90","20","2",0.0980392156862745,"n",0.0847457627118644,0.0299015927244554,25.9,0,59,0.179574072133448,0.2,"Bn","null"
"91","7.1","0",0.272727272727273,"a",0.0508474576271186,0.0179815480370387,12.1,0,59,0.0311725499148007,0.2,"Bn","null"
"92","8.5","0",0,"a",0,0.0197431975837992,13.5,0,59,0.0398533891126368,0.2,"Bn","null"
"93","10","0",0.5,"a",0.135593220338983,0.0214178744275327,15.4,0,59,0.052999514185488,0.2,"Bn","null"
"94","11.4","0",0.111111111111111,"a",0.0169491525423729,0.0234330243191646,17.5,0,59,0.0697598688278359,0.2,"Bn","null"
"95","12.8","0",0,"a",0,0.0247764987369401,18.8,0,59,0.0849075506403212,0.2,"Bn","null"
"96","14.3","0",0,"a",0,0.0260677272422338,20.3,0,59,0.103729602914384,0.2,"Bn","null"
"97","15.7","0",0,"a",0,0.0266807338470929,21.9,0,59,0.12201553628296,0.2,"Bn","null"
"98","17.1","0",0,"a",0,0.0281680417133996,23.4,0,59,0.142392131379764,0.2,"Bn","null"
"99","18.6","0",0,"a",0,0.0290876884688438,24.7,0,59,0.16202948953152,0.2,"Bn","null"
"100","20","0",0,"a",0,0.0299015927244554,25.9,0,59,0.179574072133448,0.2,"Bn","null"
"101","7.1","1",0.0909090909090909,"a",0.0169491525423729,0.0179815480370387,12.1,0,59,0.0311725499148007,0.2,"Bn","null"
"102","8.5","1",0.125,"a",0.0169491525423729,0.0197431975837992,13.5,0,59,0.0398533891126368,0.2,"Bn","null"
