"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","param_value","param_name","baseline"
"140","20","1",0.0892857142857143,"n",0.0847457627118644,0.0579445315291612,26.6,0,59,0.180589371227661,0.5,"yn","null"
"141","7.1","2",0.125,"n",0.11864406779661,0.0440739646877798,12.3,0,59,0.0308423858115958,0.5,"yn","null"
"142","8.5","2",0.125,"n",0.11864406779661,0.0465130170948685,13.6,0,59,0.0390839774090343,0.5,"yn","null"
"143","10","2",0.125,"n",0.11864406779661,0.0488823000945947,15.8,0,59,0.0532525310736428,0.5,"yn","null"
"144","11.4","2",0.107142857142857,"n",0.101694915254237,0.0504930395057498,18,0,59,0.0704709989736106,0.5,"yn","null"
"145","12.8","2",0.107142857142857,"n",0.101694915254237,0.0519098141830725,19.3,0,59,0.0855585724608011,0.5,"yn","null"
"146","14.3","2",0.142857142857143,"n",0.135593220338983,0.0535484615648827,20.3,0,59,0.101661764021184,0.5,"yn","null"
"147","15.7","2",0.107142857142857,"n",0.101694915254237,0.0543763884399373,22.3,0,59,0.12286802119634,0.5,"yn","null"
"148","17.1","2",0.107142857142857,"n",0.101694915254237,0.055547620368586,24.1,0,59,0.144852779089959,0.5,"yn","null"
"149","18.6","2",0.125,"n",0.11864406779661,0.0574977579141475,25.1,0,59,0.16183123953904,0.5,"yn","null"
"150","20","2",0.125,"n",0.11864406779661,0.0579445315291612,26.6,0,59,0.180589371227661,0.5,"yn","null"
"151","7.1","0",0,"a",0,0.0440739646877798,12.3,0,59,0.0308423858115958,0.5,"yn","null"
"152","8.5","0",0,"a",0,0.0465130170948685,13.6,0,59,0.0390839774090343,0.5,"yn","null"
"153","10","0",0,"a",0,0.0488823000945947,15.8,0,59,0.0532525310736428,0.5,"yn","null"
"154","11.4","0",0,"a",0,0.0504930395057498,18,0,59,0.0704709989736106,0.5,"yn","null"
"155","12.8","0",0,"a",0,0.0519098141830725,19.3,0,59,0.0855585724608011,0.5,"yn","null"
"156","14.3","0",0,"a",0,0.0535484615648827,20.3,0,59,0.101661764021184,0.5,"yn","null"
"157","15.7","0",0,"a",0,0.0543763884399373,22.3,0,59,0.12286802119634,0.5,"yn","null"
"158","17.1","0",0,"a",0,0.055547620368586,24.1,0,59,0.144852779089959,0.5,"yn","null"
"159","18.6","0",0,"a",0,0.0574977579141475,25.1,0,59,0.16183123953904,0.5,"yn","null"
"160","20","0",0,"a",0,0.0579445315291612,26.6,0,59,0.180589371227661,0.5,"yn","null"
"161","7.1","1",0,"a",0,0.0440739646877798,12.3,0,59,0.0308423858115958,0.5,"yn","null"
