"","Time","Wstart","A","h","S.day","Fit","Beh","S.cum","W","yn","Bn","ka","dn0"
"695",35,"10",26,"o",0.908953623256024,0.0129149997449165,0,0.0307704832911742,18.4,1,1,1.3,0.28
"696",36,"10",26,"o",0.909247227087651,0.0142086454297336,0,0.027977976608647,19,1,1,1.3,0.28
"697",37,"10",26,"o",0.909528480582457,0.0156268229436832,0,0.0254467665546342,19.6,1,1,1.3,0.28
"698",38,"10",26,"o",0.909798257217029,0.0171812354173625,0,0.0231514238632148,20.2,1,1,1.3,0.28
"699",39,"10",26,"o",0.910099538312034,0.0188846651233626,0,0.021070100169178,20.9,1,1,1.3,0.28
"700",40,"10",26,"o",0.910387391777786,0.0207501095521794,0,0.0191819535375147,21.6,1,1,1.3,0.28
"701",41,"10",26,"o",0.910662821966688,0.0227926152532264,0,0.017468291939307,22.3,1,1,1.3,0.28
"702",42,"10",26,"o",0.910926729589099,0.0250285997225657,0,0.0159123340477805,23,1,1,1.3,0.28
"703",43,"10",26,"o",0.911179925177304,0.027475974641622,0,0.0144989993470529,23.7,1,1,1.3,0.28
"704",44,"10",26,"o",0.911423140461421,0.0301542800520715,0,0.0132147235184391,24.4,1,1,1.3,0.28
"705",45,"10",26,"o",0.911689727126345,0.0330848304299203,0,0.0120477276785758,25.2,1,1,1.3,0.28
"706",46,"10",26,"o",0.911945034171927,0.0362895724779131,0,0.0109868654295329,26,1,1,1.3,0.28
"707",47,"10",26,"o",0.912189863749323,0.0397935962345198,0,0.0100221072791978,26.8,1,1,1.3,0.28
"708",48,"10",26,"o",0.912424939194141,0.0436242473370165,0,0.00914442062481918,27.6,1,1,1.3,0.28
"709",49,"10",26,"o",0.912650914788882,0.0478113272260463,0,0.00834566384845554,28.4,1,1,1.3,0.28
"710",50,"10",26,"o",0.912868384079884,0.0523873109107728,0,0.00761849267141351,29.2,1,1,1.3,0.28
"711",51,"10",26,"o",0.913077886995944,0.0573875838230239,0,0.00695627719050834,30,1,1,1.3,0.28
"712",52,"10",26,"o",0.913279915968085,0.0628506994204305,0,0.00635302824799816,30.8,1,1,1.3,0.28
"713",53,"10",26,"o",0.91347492121256,0.0688186593414881,0,0.00580333197830129,31.6,1,1,1.3,0.28
"714",54,"10",26,"o",0.913663315309481,0.0753372180706803,0,0.00530229153513629,32.4,1,1,1.3,0.28
"715",55,"10",26,"o",0.913845477185767,0.0824562142403207,0,0.00484547513810467,33.2,1,1,1.3,0.28
"716",56,"10",26,"o",0.914021755592225,0.0902299308787397,0,0.00442886969240891,34,1,1,1.3,0.28
"717",57,"10",26,"o",0.914192472149215,0.0987174871130685,0,0.00404883933293004,34.8,1,1,1.3,0.28
"718",58,"10",26,"o",0.914357924022987,0.107983264050501,0,0.00370208832716052,35.6,1,1,1.3,0.28
"719",59,"10",26,"o",0.914518386284642,0.118097367795968,0,0.00338562784283805,36.4,1,1,1.3,0.28
