"","Time","Wstart","A","h","S.day","Fit","Beh","S.cum","W","yn","Bn","ka","dn0","iter_id"
"108",48,"7.6",26,"o",0.91034705269752,0.0260132887908365,0,0.00804924600704606,21.5,1,1,1.3,0.1,16
"109",49,"7.6",26,"o",0.910585340992123,0.0285751337511936,0,0.00732952542005552,22.1,1,1,1.3,0.1,16
"110",50,"7.6",26,"o",0.910852454354861,0.0313810605824817,0,0.00667611621811391,22.8,1,1,1.3,0.1,16
"111",51,"7.6",26,"o",0.911108632606258,0.0344524082165518,0,0.00608266711860623,23.5,1,1,1.3,0.1,16
"112",52,"7.6",26,"o",0.911354628936667,0.037813721639317,0,0.00554346683482264,24.2,1,1,1.3,0.1,16
"113",53,"7.6",26,"o",0.911591124791551,0.0414917754721195,0,0.00505337516720063,24.9,1,1,1.3,0.1,16
"114",54,"7.6",26,"o",0.911818738494325,0.045515773841707,0,0.00460776217009543,25.6,1,1,1.3,0.1,16
"115",55,"7.6",26,"o",0.912038032629352,0.0499175679553006,0,0.00420245434443779,26.3,1,1,1.3,0.1,16
"116",56,"7.6",26,"o",0.912249520391051,0.0547318929358584,0,0.00383368696017866,27,1,1,1.3,0.1,16
"117",57,"7.6",26,"o",0.912453671066577,0.0599966256078673,0,0.00349806174053509,27.7,1,1,1.3,0.1,16
"118",58,"7.6",26,"o",0.912650914788882,0.0657530650709494,0,0.00319250924748733,28.4,1,1,1.3,0.1,16
"119",59,"7.6",26,"o",0.912841646672563,0.0720462380582391,0,0.00291425539849372,29.1,1,1,1.3,0.1,16
"120",60,"7.6",26,"o",NA,NA,NA,NA,29.7,1,1,1.3,0.1,16
"121",1,"8.2",1,"a",0.900323087417982,0.000278535083162947,0,0.900323087417982,8.2,1,1,1.3,0.1,16
"122",2,"8.2",1,"a",0.900618184497426,0.000309372365382468,0,0.8108473444515,8.4,1,1,1.3,0.1,16
"123",3,"8.2",1,"a",0.900903897115042,0.000343511124589504,0,0.73049553258174,8.6,1,1,1.3,0.1,16
"124",4,"8.2",1,"a",0.901180731037745,0.000381296080180724,0,0.658308498071819,8.8,1,1,1.3,0.1,16
"125",5,"8.2",1,"a",0.901449154089272,0.000423107227050501,2,0.59343163871662,9,1,1,1.3,0.1,16
"126",6,"8.2",3,"n",0.901449154089272,0.000469363385756309,0,0.534948448730908,9,1,1,1.3,0.1,16
"127",7,"8.2",3,"n",0.901836957959405,0.00052067649476082,0,0.482436281668585,9.3,1,1,1.3,0.1,16
"128",8,"8.2",3,"n",0.902208140147447,0.000577351027993973,0,0.435257940423864,9.6,1,1,1.3,0.1,16
"129",9,"8.2",3,"n",0.902563898421186,0.000639931078320372,0,0.392848103527739,9.9,1,1,1.3,0.1,16
"130",10,"8.2",3,"n",0.902905311302148,0.000709014707368392,0,0.354704639210171,10.2,1,1,1.3,0.1,16
"131",11,"8.2",3,"n",0.903233353029144,0.000785259205470691,0,0.320381060608796,10.5,1,1,1.3,0.1,16
"132",12,"8.2",3,"n",0.903548906277751,0.000869386856494165,0,0.289479956905183,10.8,1,1,1.3,0.1,16
"133",13,"8.2",3,"n",0.90385277302424,0.000962191255452546,0,0.261647261783687,11.1,1,1,1.3,0.1,16
"134",14,"8.2",3,"n",0.904145683866642,0.0010645442312835,0,0.236567242437246,11.4,1,1,1.3,0.1,16
"135",15,"8.2",3,"n",0.893582780095244,0.00117740343207844,1,0.21139241417654,11.7,1,1,1.3,0.1,16
"136",16,"8.2",4,"n",0.904611308720388,0.00131762099528479,2,0.191227968441802,11.9,1,1,1.3,0.1,16
"137",17,"8.2",6,"n",0.904611308720388,0.00145656038409317,2,0.17298698279608,11.9,1,1,1.3,0.1,16
"138",18,"8.2",8,"n",0.904611308720388,0.00161015053653655,2,0.156485980898753,11.9,1,1,1.3,0.1,16
"139",19,"8.2",10,"a",0.904611308720388,0.00177993633399762,2,0.141558987977214,11.9,1,1,1.3,0.1,16
"140",20,"8.2",12,"a",0.904611308720388,0.00196762556120973,2,0.128055861375202,11.9,1,1,1.3,0.1,16
"141",21,"8.2",14,"a",0.904611308720388,0.00217510608395225,2,0.115840780347938,11.9,1,1,1.3,0.1,16
"142",22,"8.2",16,"a",0.904611308720388,0.00240446483808503,2,0.104790879913739,11.9,1,1,1.3,0.1,16
"143",23,"8.2",18,"n",0.904611308720388,0.00265800882092249,2,0.0947950150207282,11.9,1,1,1.3,0.1,16
"144",24,"8.2",20,"n",0.904611308720388,0.00293828829608858,2,0.0857526425980698,11.9,1,1,1.3,0.1,16
"145",25,"8.2",22,"a",0.904611308720388,0.00324812244525765,2,0.0775728102468715,11.9,1,1,1.3,0.1,16
"146",26,"8.2",24,"a",0.904611308720388,0.00359062772479846,2,0.0701732413985408,11.9,1,1,1.3,0.1,16
"147",27,"8.2",26,"o",0.904611308720388,0.00396924921254584,0,0.0634795077386856,11.9,1,1,1.3,0.1,16
"148",28,"8.2",26,"o",0.904965077525625,0.00438779526000014,0,0.0574467376420282,12.3,1,1,1.3,0.1,16
"149",29,"8.2",26,"o",0.905303549355658,0.00484857965126936,0,0.0520067354862314,12.7,1,1,1.3,0.1,16
"150",30,"8.2",26,"o",0.905627835723606,0.00535575018425621,0,0.0470987473014457,13.1,1,1,1.3,0.1,16
"151",31,"8.2",26,"o",0.905938936599268,0.00591385332141089,0,0.0426685890454294,13.5,1,1,1.3,0.1,16
"152",32,"8.2",26,"o",0.906237754513756,0.00652787189345281,0,0.0386678863248002,13.9,1,1,1.3,0.1,16
"153",33,"8.2",26,"o",0.906595241446381,0.00720326631829123,0,0.0350561217388534,14.4,1,1,1.3,0.1,16
"154",34,"8.2",26,"o",0.906936240333652,0.00794540494918013,0,0.0317936672505146,14.9,1,1,1.3,0.1,16
"155",35,"8.2",26,"o",0.907262026337961,0.00876070951388722,0,0.0288451869744167,15.4,1,1,1.3,0.1,16
"156",36,"8.2",26,"o",0.907573738688342,0.00965620654183954,0,0.0261791341855356,15.9,1,1,1.3,0.1,16
"157",37,"8.2",26,"o",0.907872398905995,0.0106395834632622,0,0.0237673133543042,16.4,1,1,1.3,0.1,16
"158",38,"8.2",26,"o",0.908158926115141,0.0117192498374035,0,0.0215844977724869,16.9,1,1,1.3,0.1,16
"159",39,"8.2",26,"o",0.908487905721416,0.0129044041746474,0,0.0196092551773752,17.5,1,1,1.3,0.1,16
"160",40,"8.2",26,"o",0.908801890651369,0.0142042663346191,0,0.0178209281794638,18.1,1,1,1.3,0.1,16
"161",41,"8.2",26,"o",0.909102027215682,0.0156296619546406,0,0.0162010419348156,18.7,1,1,1.3,0.1,16
"162",42,"8.2",26,"o",0.909389340898689,0.0171924178879127,0,0.014733054846974,19.3,1,1,1.3,0.1,16
"163",43,"8.2",26,"o",0.909664752381486,0.0189054534891761,0,0.0134021406891954,19.9,1,1,1.3,0.1,16
"164",44,"8.2",26,"o",0.909929091029807,0.0207828801101526,0,0.0121949976951732,20.5,1,1,1.3,0.1,16
