"","Time","Wstart","A","h","S.day","Fit","Beh","S.cum","W","N","yn","ya","iter_id"
"2789",29,"9.4",3,"n",0.948456669730523,0.012115797031694,0,0.191138249737651,18,0.5,0.7,1,8
"2790",30,"9.4",3,"n",0.94860487748644,0.012774223028171,0,0.181314675975357,18.4,0.5,0.7,1,8
"2791",31,"9.4",3,"n",0.948748756310028,0.0134663265299873,0,0.172022073332375,18.8,0.5,0.7,1,8
"2792",32,"9.4",3,"n",0.948888520634189,0.0141937751595712,0,0.163229770680783,19.2,0.5,0.7,1,8
"2793",33,"9.4",3,"n",0.949024370087992,0.0149583168632757,0,0.154909030299938,19.6,0.5,0.7,1,8
"2794",34,"9.4",3,"n",0.949156490795865,0.0157617837167752,0,0.147032911592079,20,0.5,0.7,1,8
"2795",35,"9.4",3,"n",0.949316661787279,0.0166060959068604,0,0.139580792805457,20.5,0.5,0.7,1,8
"2796",36,"9.4",3,"n",0.949471592163552,0.0174926835009891,0,0.132527997580448,21,0.5,0.7,1,8
"2797",37,"9.4",3,"n",0.949621571973978,0.0184235986051238,0,0.125851445392909,21.5,0.5,0.7,1,8
"2798",38,"9.4",3,"n",0.949766868948518,0.0194009899825956,0,0.119529533243468,22,0.5,0.7,1,8
"2799",39,"9.4",3,"n",0.949907730676029,0.0204271075533244,0,0.113542027672068,22.5,0.5,0.7,1,8
"2800",40,"9.4",3,"n",0.950044386526886,0.0215043070960028,0,0.107869966024728,23,0.5,0.7,1,8
"2801",41,"9.4",3,"n",0.950177049354865,0.0226350551626508,0,0.102495566031386,23.5,0.5,0.7,1,8
"2802",42,"9.4",3,"n",0.950305917007679,0.023821934215333,0,0.0974021428666774,24,0.5,0.7,1,8
"2803",43,"9.4",3,"n",0.942449795087063,0.0250676479952302,1,0.0917966295857409,24.5,0.5,0.7,1,8
"2804",44,"9.4",4,"n",0.950504666316861,0.0265983908383306,2,0.0872531247734071,24.8,0.5,0.7,1,8
"2805",45,"9.4",6,"n",0.942522714480329,0.0279834405667859,1,0.0822380520083225,24.8,0.5,0.7,1,8
"2806",46,"9.4",7,"n",0.950576956134871,0.0296899375865068,2,0.0781735971565325,25.1,0.5,0.7,1,8
"2807",47,"9.4",9,"n",0.950576956134871,0.0312335970222008,2,0.0743100200351703,25.1,0.5,0.7,1,8
"2808",48,"9.4",11,"a",0.911657038030695,0.0328575154495637,2,0.0677452527612649,25.1,0.5,0.7,1,8
"2809",49,"9.4",13,"n",0.950552991068703,0.0360415310570524,2,0.0643954526429257,25,0.5,0.7,1,8
"2810",50,"9.4",15,"n",0.950552991068703,0.0379163827747583,2,0.0612112901209561,25,0.5,0.7,1,8
"2811",51,"9.4",17,"n",0.942570662294419,0.0398887627844178,1,0.0576959662692054,25,0.5,0.7,1,8
"2812",52,"9.4",18,"n",0.950624497802338,0.042319121929087,0,0.054847198959884,25.3,0.5,0.7,1,8
"2813",53,"9.4",18,"n",0.950764100536055,0.0445171800505044,0,0.0521467477860161,25.9,0.5,0.7,1,8
"2814",54,"9.4",18,"n",0.950899359711967,0.0468225294007262,0,0.0495863090807842,26.5,0.5,0.7,1,8
"2815",55,"9.4",18,"n",0.951030504176595,0.0492402575756377,2,0.0471580925253547,27.1,0.5,0.7,1,8
"2816",56,"9.4",20,"n",0.943044450827053,0.0517756868569321,1,0.0444721774676244,27.1,0.5,0.7,1,8
"2817",57,"9.4",21,"n",0.95109460027418,0.0549027003038135,2,0.0422972478518927,27.4,0.5,0.7,1,8
"2818",58,"9.4",23,"n",0.95109460027418,0.0577258038138228,2,0.0402286840383938,27.4,0.5,0.7,1,8
"2819",59,"9.4",25,"a",0.901431076232133,0.0606940716487946,1,0.0362633859481318,27.4,0.5,0.7,1,8
"2820",60,"9.4",26,"o",NA,NA,NA,NA,27.6,0.5,0.7,1,8
"2821",1,"10",1,"a",0.902679246521921,0.0028746850882554,2,0.902679246521921,10,0.5,0.7,1,8
"2822",2,"10",3,"n",0.944021054009895,0.0031846141354548,0,0.852148213734481,10,0.5,0.7,1,8
"2823",3,"10",3,"n",0.944267388472028,0.00337345668502582,0,0.804655768374162,10.3,0.5,0.7,1,8
"2824",4,"10",3,"n",0.944504140978848,0.00357256506600806,0,0.760000705291912,10.6,0.5,0.7,1,8
"2825",5,"10",3,"n",0.944731939456425,0.0037824768690856,0,0.717996940298679,10.9,0.5,0.7,1,8
"2826",6,"10",3,"n",0.944951354849157,0.0040037567389348,0,0.678472181512786,11.2,0.5,0.7,1,8
"2827",7,"10",3,"n",0.945162907652335,0.00423699772309858,0,0.641266739839848,11.5,0.5,0.7,1,8
"2828",8,"10",3,"n",0.945367073547638,0.00448282268463406,0,0.606232461205832,11.8,0.5,0.7,1,8
"2829",9,"10",3,"n",0.945564288284082,0.00474188578179645,0,0.5732317657148,12.1,0.5,0.7,1,8
"2830",10,"10",3,"n",0.945754951921378,0.00501487401813954,0,0.542136781023407,12.4,0.5,0.7,1,8
"2831",11,"10",3,"n",0.945939432532175,0.00530250886654245,0,0.512828558996101,12.7,0.5,0.7,1,8
"2832",12,"10",3,"n",0.946118069443146,0.0056055479708127,0,0.485196366192702,13,0.5,0.7,1,8
"2833",13,"10",3,"n",0.946291176081568,0.00592478692866731,0,0.459137039994995,13.3,0.5,0.7,1,8
"2834",14,"10",3,"n",0.946459042483044,0.00626106116005525,0,0.434554403242162,13.6,0.5,0.7,1,8
"2835",15,"10",3,"n",0.946621937507264,0.00661524786495705,0,0.411358731149408,13.9,0.5,0.7,1,8
"2836",16,"10",3,"n",0.946780110801216,0.00698826807497929,0,0.389466265056685,14.2,0.5,0.7,1,8
"2837",17,"10",3,"n",0.946933794543335,0.0073810888032549,0,0.368798768216747,14.5,0.5,0.7,1,8
"2838",18,"10",3,"n",0.947083204996972,0.00779472529736303,0,0.349283119401652,14.8,0.5,0.7,1,8
"2839",19,"10",3,"n",0.947276118340117,0.00823024340019624,0,0.330867557548524,15.2,0.5,0.7,1,8
"2840",20,"10",3,"n",0.947462233796753,0.00868832565378914,0,0.313484515165801,15.6,0.5,0.7,1,8
"2841",21,"10",3,"n",0.947641955901329,0.00917010234695321,0,0.297071079096499,16,0.5,0.7,1,8
"2842",22,"10",3,"n",0.947815655773272,0.00967675849496477,0,0.281568619645122,16.4,0.5,0.7,1,8
"2843",23,"10",3,"n",0.947983674611988,0.0102095364599881,0,0.266922454706608,16.8,0.5,0.7,1,8
"2844",24,"10",3,"n",0.948146326753019,0.0107697386921425,0,0.253081544957969,17.2,0.5,0.7,1,8
"2845",25,"10",3,"n",0.948303902349248,0.0113587305970209,0,0.239998216696219,17.6,0.5,0.7,1,8
"2846",26,"10",3,"n",0.948456669730523,0.0119779435356975,0,0.22762790934896,18,0.5,0.7,1,8
"2847",27,"10",3,"n",0.94860487748644,0.0126288779635033,0,0.215928945060465,18.4,0.5,0.7,1,8
"2848",28,"10",3,"n",0.948748756310028,0.0133131067141111,0,0.204862318077452,18.8,0.5,0.7,1,8
"2849",29,"10",3,"n",0.948888520634189,0.0140322784357471,0,0.194391501934204,19.2,0.5,0.7,1,8
"2850",30,"10",3,"n",0.949024370087992,0.014788121186637,0,0.184482272673567,19.6,0.5,0.7,1,8
"2851",31,"10",3,"n",0.949156490795865,0.0155824461971044,0,0.175102546544889,20,0.5,0.7,1,8
"2852",32,"10",3,"n",0.949316661787279,0.0164171518060616,0,0.166227764956445,20.5,0.5,0.7,1,8
"2853",33,"10",3,"n",0.949471592163552,0.0172936518096638,0,0.157828540654985,21,0.5,0.7,1,8
"2854",34,"10",3,"n",0.949621571973978,0.0182139749650191,0,0.149877386879146,21.5,0.5,0.7,1,8
"2855",35,"10",3,"n",0.949766868948518,0.019180245586837,0,0.142348576462392,22,0.5,0.7,1,8
"2856",36,"10",3,"n",0.949907730676029,0.0201946879954566,0,0.135218013232354,22.5,0.5,0.7,1,8
"2857",37,"10",3,"n",0.950044386526886,0.0212596311655285,0,0.128463114428716,23,0.5,0.7,1,8
"2858",38,"10",3,"n",0.950177049354865,0.0223775135846528,0,0.122062703018814,23.5,0.5,0.7,1,8
"2859",39,"10",3,"n",0.950305917007679,0.0235508883316497,0,0.11599690892473,24,0.5,0.7,1,8
"2860",40,"10",3,"n",0.942449795087063,0.0247824283845424,1,0.109321263046844,24.5,0.5,0.7,1,8
"2861",41,"10",4,"n",0.950504666316861,0.0262957544409599,2,0.103910370653678,24.8,0.5,0.7,1,8
"2862",42,"10",6,"n",0.942522714480329,0.0276650450784783,1,0.0979378846111621,24.8,0.5,0.7,1,8
"2863",43,"10",7,"n",0.950576956134871,0.0293521255811132,2,0.0930974962439667,25.1,0.5,0.7,1,8
"2864",44,"10",9,"n",0.950576956134871,0.0308782212651793,2,0.0884963346033675,25.1,0.5,0.7,1,8
"2865",45,"10",11,"a",0.911657038030695,0.0324836627543895,2,0.0806783062810793,25.1,0.5,0.7,1,8
"2866",46,"10",13,"n",0.950552991068703,0.0356314506434993,2,0.0766890053498369,25,0.5,0.7,1,8
"2867",47,"10",15,"n",0.950552991068703,0.037484970304958,2,0.0728969634173713,25,0.5,0.7,1,8
"2868",48,"10",17,"n",0.942570662294419,0.0394349085818075,1,0.0687105390875636,25,0.5,0.7,1,8
"2869",49,"10",18,"n",0.950624497802338,0.04183761510868,0,0.0653179217138431,25.3,0.5,0.7,1,8
"2870",50,"10",18,"n",0.950764100536055,0.0440106637325259,0,0.0621019350871465,25.9,0.5,0.7,1,8
"2871",51,"10",18,"n",0.950899359711967,0.0462897828259523,0,0.0590526903112417,26.5,0.5,0.7,1,8
"2872",52,"10",18,"n",0.951030504176595,0.0486800020981966,0,0.0561609098396846,27.1,0.5,0.7,1,8
"2873",53,"10",18,"n",0.951157745995438,0.0511865832740495,0,0.0534178844161674,27.7,0.5,0.7,1,8
"2874",54,"10",18,"n",0.951281282015211,0.0538150306713635,0,0.0508154335699521,28.3,0.5,0.7,1,8
"2875",55,"10",18,"n",0.951401295251057,0.056571102247866,2,0.0483458693171964,28.9,0.5,0.7,1,8
"2876",56,"10",20,"n",0.943412349843891,0.059460821138506,1,0.0456100901777819,28.9,0.5,0.7,1,8
"2877",57,"10",21,"n",0.951460034541881,0.0630273932160684,2,0.0433961779760107,29.2,0.5,0.7,1,8
"2878",58,"10",23,"n",0.951460034541881,0.0662428172786211,2,0.0412897289960408,29.2,0.5,0.7,1,8
"2879",59,"10",25,"a",0.901926702025441,0.0696222803625339,1,0.0372403091009233,29.2,0.5,0.7,1,8
"2880",60,"10",26,"o",NA,NA,NA,NA,29.4,0.5,0.7,1,8
"2881",1,"7.1",1,"n",0.940966406013412,0.00139176856381323,0,0.940966406013412,7.1,0.75,0.7,1,11
"2882",2,"7.1",1,"n",0.941228488138784,0.00147908422119948,0,0.885664387721389,7.3,0.75,0.7,1,11
"2883",3,"7.1",1,"n",0.941480977616474,0.0015714401336537,0,0.833836173592029,7.5,0.75,0.7,1,11
"2884",4,"7.1",1,"n",0.941724467046545,0.00166911511864221,0,0.785243926180084,7.7,0.75,0.7,1,11
