"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","yn","Bn","ka","dn0"
"675","8.2","1",0,"a",0,0.0209246837771161,13.5,0,59,0.0377567767012637,0.64,1,1.3,1
"676","8.8","1",0,"a",0,0.0214134170732599,14.1,0,59,0.0418545754388353,0.64,1,1.3,1
"677","9.4","1",0,"a",0,0.0222697772486448,14.9,0,59,0.047086836514185,0.64,1,1.3,1
"678","10","1",0,"a",0,0.0227565816938177,15.8,0,59,0.0532525310736428,0.64,1,1.3,1
"679","7.1","2",1,"a",0.0508474576271186,0.0199895733753579,12.3,0,59,0.0308423858115958,0.64,1,1.3,1
"680","7.6","2",1,"a",0.0508474576271186,0.0204244390423715,12.9,0,59,0.0340004172000557,0.64,1,1.3,1
"681","8.2","2",1,"a",0.0508474576271186,0.0209246837771161,13.5,0,59,0.0377567767012637,0.64,1,1.3,1
"682","8.8","2",1,"a",0.0508474576271186,0.0214134170732599,14.1,0,59,0.0418545754388353,0.64,1,1.3,1
"683","9.4","2",1,"a",0.0508474576271186,0.0222697772486448,14.9,0,59,0.047086836514185,0.64,1,1.3,1
"684","10","2",1,"a",0.0508474576271186,0.0227565816938177,15.8,0,59,0.0532525310736428,0.64,1,1.3,1
"685","7.1","0",0.68,"n",0.566666666666667,0.0709739836998682,3.5,15.3,30,0.0536732860357246,0.82,1,1.3,1
"686","7.6","0",0.647058823529412,"n",0.594594594594595,0.0411523464039972,5.6,12.4,37,0.0523852108857954,0.82,1,1.3,1
"687","8.2","0",0.619047619047619,"n",0.5,0.101666259347033,2.7,18.7,26,0.0715144725738188,0.82,1,1.3,1
"688","8.8","0",0.6,"n",0.545454545454545,0.0591114559088285,5,16.2,33,0.0736545834223382,0.82,1,1.3,1
"689","9.4","0",0.571428571428571,"n",0.516129032258065,0.0706005165332198,4.7,17.9,31,0.0849534336062737,0.82,1,1.3,1
"690","10","0",0.538461538461538,"n",0.482758620689655,0.0841528851697387,4.4,20.3,29,0.101598148942839,0.82,1,1.3,1
"691","7.1","1",0.04,"n",0.0333333333333333,0.0709739836998682,3.5,15.3,30,0.0536732860357246,0.82,1,1.3,1
"692","7.6","1",0.147058823529412,"n",0.135135135135135,0.0411523464039972,5.6,12.4,37,0.0523852108857954,0.82,1,1.3,1
"693","8.2","1",0.0476190476190476,"n",0.0384615384615385,0.101666259347033,2.7,18.7,26,0.0715144725738188,0.82,1,1.3,1
"694","8.8","1",0.166666666666667,"n",0.151515151515152,0.0591114559088285,5,16.2,33,0.0736545834223382,0.82,1,1.3,1
"695","9.4","1",0.178571428571429,"n",0.161290322580645,0.0706005165332198,4.7,17.9,31,0.0849534336062737,0.82,1,1.3,1
"696","10","1",0.192307692307692,"n",0.172413793103448,0.0841528851697387,4.4,20.3,29,0.101598148942839,0.82,1,1.3,1
"697","7.1","2",0.28,"n",0.233333333333333,0.0709739836998682,3.5,15.3,30,0.0536732860357246,0.82,1,1.3,1
"698","7.6","2",0.205882352941176,"n",0.189189189189189,0.0411523464039972,5.6,12.4,37,0.0523852108857954,0.82,1,1.3,1
"699","8.2","2",0.333333333333333,"n",0.269230769230769,0.101666259347033,2.7,18.7,26,0.0715144725738188,0.82,1,1.3,1
"700","8.8","2",0.233333333333333,"n",0.212121212121212,0.0591114559088285,5,16.2,33,0.0736545834223382,0.82,1,1.3,1
"701","9.4","2",0.25,"n",0.225806451612903,0.0706005165332198,4.7,17.9,31,0.0849534336062737,0.82,1,1.3,1
"702","10","2",0.269230769230769,"n",0.241379310344828,0.0841528851697387,4.4,20.3,29,0.101598148942839,0.82,1,1.3,1
"703","7.1","0",0,"a",0,0.0709739836998682,3.5,15.3,30,0.0536732860357246,0.82,1,1.3,1
