"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","yn","Bn","ka","dn0","iter_id"
"143","9.4","2",0.583333333333333,"a",0.291666666666667,0.0879586362259677,3,22.3,24,0.101598148942839,1,1,1.3,0.64,19
"144","10","2",0.777777777777778,"a",0.304347826086957,0.0987487923246611,3,23.7,23,0.114734110056427,1,1,1.3,0.64,19
"145","7.1","0",0,"n",0,0.0991639744872323,1.9,18.2,22,0.0595301993804354,1,1,1.3,0.82,20
"146","7.6","0",0,"n",0,0.11143585015981,1.7,18.9,21,0.0643402457574889,1,1,1.3,0.82,20
"147","8.2","0",0,"n",0,0.125333748668099,1.5,21.2,20,0.0786203689154736,1,1,1.3,0.82,20
"148","8.8","0",0,"n",0,0.155321754782881,1.1,22.5,18,0.0873248968312143,1,1,1.3,0.82,20
"149","9.4","0",0,"n",0,0.173859600605168,0.9,24.4,17,0.101598148942839,1,1,1.3,0.82,20
"150","10","0",0.454545454545455,"n",0.217391304347826,0.0983129361237073,2.7,23.6,23,0.112063315447455,1,1,1.3,0.82,20
"151","7.1","1",0,"n",0,0.0991639744872323,1.9,18.2,22,0.0595301993804354,1,1,1.3,0.82,20
"152","7.6","1",0,"n",0,0.11143585015981,1.7,18.9,21,0.0643402457574889,1,1,1.3,0.82,20
"153","8.2","1",0,"n",0,0.125333748668099,1.5,21.2,20,0.0786203689154736,1,1,1.3,0.82,20
"154","8.8","1",0,"n",0,0.155321754782881,1.1,22.5,18,0.0873248968312143,1,1,1.3,0.82,20
"155","9.4","1",0,"n",0,0.173859600605168,0.9,24.4,17,0.101598148942839,1,1,1.3,0.82,20
"156","10","1",0.0909090909090909,"n",0.0434782608695652,0.0983129361237073,2.7,23.6,23,0.112063315447455,1,1,1.3,0.82,20
"157","7.1","2",1,"n",0.227272727272727,0.0991639744872323,1.9,18.2,22,0.0595301993804354,1,1,1.3,0.82,20
"158","7.6","2",1,"n",0.238095238095238,0.11143585015981,1.7,18.9,21,0.0643402457574889,1,1,1.3,0.82,20
"159","8.2","2",1,"n",0.25,0.125333748668099,1.5,21.2,20,0.0786203689154736,1,1,1.3,0.82,20
"160","8.8","2",1,"n",0.277777777777778,0.155321754782881,1.1,22.5,18,0.0873248968312143,1,1,1.3,0.82,20
"161","9.4","2",1,"n",0.294117647058824,0.173859600605168,0.9,24.4,17,0.101598148942839,1,1,1.3,0.82,20
"162","10","2",0.454545454545455,"n",0.217391304347826,0.0983129361237073,2.7,23.6,23,0.112063315447455,1,1,1.3,0.82,20
"163","7.1","0",0.529411764705882,"a",0.409090909090909,0.0991639744872323,1.9,18.2,22,0.0595301993804354,1,1,1.3,0.82,20
"164","7.6","0",0.5,"a",0.380952380952381,0.11143585015981,1.7,18.9,21,0.0643402457574889,1,1,1.3,0.82,20
"165","8.2","0",0.466666666666667,"a",0.35,0.125333748668099,1.5,21.2,20,0.0786203689154736,1,1,1.3,0.82,20
"166","8.8","0",0.384615384615385,"a",0.277777777777778,0.155321754782881,1.1,22.5,18,0.0873248968312143,1,1,1.3,0.82,20
"167","9.4","0",0.333333333333333,"a",0.235294117647059,0.173859600605168,0.9,24.4,17,0.101598148942839,1,1,1.3,0.82,20
"168","10","0",0.416666666666667,"a",0.217391304347826,0.0983129361237073,2.7,23.6,23,0.112063315447455,1,1,1.3,0.82,20
"169","7.1","1",0.0588235294117647,"a",0.0454545454545455,0.0991639744872323,1.9,18.2,22,0.0595301993804354,1,1,1.3,0.82,20
"170","7.6","1",0.0625,"a",0.0476190476190476,0.11143585015981,1.7,18.9,21,0.0643402457574889,1,1,1.3,0.82,20
"171","8.2","1",0.0666666666666667,"a",0.05,0.125333748668099,1.5,21.2,20,0.0786203689154736,1,1,1.3,0.82,20
"172","8.8","1",0.0769230769230769,"a",0.0555555555555556,0.155321754782881,1.1,22.5,18,0.0873248968312143,1,1,1.3,0.82,20
"173","9.4","1",0.0833333333333333,"a",0.0588235294117647,0.173859600605168,0.9,24.4,17,0.101598148942839,1,1,1.3,0.82,20
"174","10","1",0,"a",0,0.0983129361237073,2.7,23.6,23,0.112063315447455,1,1,1.3,0.82,20
"175","7.1","2",0.411764705882353,"a",0.318181818181818,0.0991639744872323,1.9,18.2,22,0.0595301993804354,1,1,1.3,0.82,20
"176","7.6","2",0.4375,"a",0.333333333333333,0.11143585015981,1.7,18.9,21,0.0643402457574889,1,1,1.3,0.82,20
"177","8.2","2",0.466666666666667,"a",0.35,0.125333748668099,1.5,21.2,20,0.0786203689154736,1,1,1.3,0.82,20
"178","8.8","2",0.538461538461538,"a",0.388888888888889,0.155321754782881,1.1,22.5,18,0.0873248968312143,1,1,1.3,0.82,20
"179","9.4","2",0.583333333333333,"a",0.411764705882353,0.173859600605168,0.9,24.4,17,0.101598148942839,1,1,1.3,0.82,20
"180","10","2",0.583333333333333,"a",0.304347826086957,0.0983129361237073,2.7,23.6,23,0.112063315447455,1,1,1.3,0.82,20
"181","7.1","0",0.2,"n",0.133333333333333,0.202794793464586,0.4,19.6,15,0.0590637549557212,1,1,0.9,1,11
"182","7.6","0",0,"n",0,0.251340879661293,0.0999999999999996,20.5,13,0.0633571079826131,1,1,0.9,1,11
"183","8.2","0",0.375,"n",0.3,0.121466935623447,1.4,20.7,20,0.0736545834223382,1,1,0.9,1,11
"184","8.8","0",0.428571428571429,"n",0.315789473684211,0.139599647909229,1.2,21.7,19,0.0808905333153078,1,1,0.9,1,11
"185","9.4","0",0.384615384615385,"n",0.277777777777778,0.156441696290062,1,22.6,18,0.0885237743244743,1,1,0.9,1,11
"186","10","0",0.230769230769231,"n",0.176470588235294,0.170959652848917,0.799999999999999,24.7,17,0.104828335740565,1,1,0.9,1,11
"187","7.1","1",0,"n",0,0.202794793464586,0.4,19.6,15,0.0590637549557212,1,1,0.9,1,11
"188","7.6","1",0,"n",0,0.251340879661293,0.0999999999999996,20.5,13,0.0633571079826131,1,1,0.9,1,11
"189","8.2","1",0.1875,"n",0.15,0.121466935623447,1.4,20.7,20,0.0736545834223382,1,1,0.9,1,11
"190","8.8","1",0.0714285714285714,"n",0.0526315789473684,0.139599647909229,1.2,21.7,19,0.0808905333153078,1,1,0.9,1,11
"191","9.4","1",0.0769230769230769,"n",0.0555555555555556,0.156441696290062,1,22.6,18,0.0885237743244743,1,1,0.9,1,11
"192","10","1",0.230769230769231,"n",0.176470588235294,0.170959652848917,0.799999999999999,24.7,17,0.104828335740565,1,1,0.9,1,11
"193","7.1","2",0.8,"n",0.533333333333333,0.202794793464586,0.4,19.6,15,0.0590637549557212,1,1,0.9,1,11
"194","7.6","2",1,"n",0.615384615384615,0.251340879661293,0.0999999999999996,20.5,13,0.0633571079826131,1,1,0.9,1,11
"195","8.2","2",0.4375,"n",0.35,0.121466935623447,1.4,20.7,20,0.0736545834223382,1,1,0.9,1,11
"196","8.8","2",0.5,"n",0.368421052631579,0.139599647909229,1.2,21.7,19,0.0808905333153078,1,1,0.9,1,11
"197","9.4","2",0.538461538461538,"n",0.388888888888889,0.156441696290062,1,22.6,18,0.0885237743244743,1,1,0.9,1,11
"198","10","2",0.538461538461538,"n",0.411764705882353,0.170959652848917,0.799999999999999,24.7,17,0.104828335740565,1,1,0.9,1,11
"199","7.1","0",0,"a",0,0.202794793464586,0.4,19.6,15,0.0590637549557212,1,1,0.9,1,11
"200","7.6","0",0,"a",0,0.251340879661293,0.0999999999999996,20.5,13,0.0633571079826131,1,1,0.9,1,11
"201","8.2","0",0,"a",0,0.121466935623447,1.4,20.7,20,0.0736545834223382,1,1,0.9,1,11
"202","8.8","0",0,"a",0,0.139599647909229,1.2,21.7,19,0.0808905333153078,1,1,0.9,1,11
"203","9.4","0",0,"a",0,0.156441696290062,1,22.6,18,0.0885237743244743,1,1,0.9,1,11
"204","10","0",0,"a",0,0.170959652848917,0.799999999999999,24.7,17,0.104828335740565,1,1,0.9,1,11
"205","7.1","1",0,"a",0,0.202794793464586,0.4,19.6,15,0.0590637549557212,1,1,0.9,1,11
"206","7.6","1",0,"a",0,0.251340879661293,0.0999999999999996,20.5,13,0.0633571079826131,1,1,0.9,1,11
