"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","ya","yn","yn_ya"
"47","15.7","1",0.0555555555555556,"a",0.0508474576271186,0.376374600130889,11.5,0,59,0.0650977066945609,0.1,1,10
"48","17.1","1",0.0185185185185185,"a",0.0169491525423729,0.378739537377655,13.1,0,59,0.0799525220353256,0.1,1,10
"49","18.6","1",0.0185185185185185,"a",0.0169491525423729,0.380164925569786,14.1,0,59,0.0953819835275463,0.1,1,10
"50","20","1",0.0185185185185185,"a",0.0169491525423729,0.381029324435353,14.6,0,59,0.108089654732809,0.1,1,10
"51","7.1","2",0.0555555555555556,"a",0.0508474576271186,0.338831828573999,7.6,0,59,0.0220962203614248,0.1,1,10
"52","8.5","2",0.0555555555555556,"a",0.0508474576271186,0.343131628967681,9,0,59,0.028554501382263,0.1,1,10
"53","10","2",0.111111111111111,"a",0.101694915254237,0.350806909474229,9.8,0,59,0.035070570142235,0.1,1,10
"54","11.4","2",0.12962962962963,"a",0.11864406779661,0.370598733731429,10.6,0,59,0.0379988247240986,0.1,1,10
"55","12.8","2",0.12962962962963,"a",0.11864406779661,0.3740924079405,10.9,0,59,0.0455224359084534,0.1,1,10
"56","14.3","2",0.111111111111111,"a",0.101694915254237,0.374881071789242,10.8,0,59,0.0550496586942713,0.1,1,10
"57","15.7","2",0.111111111111111,"a",0.101694915254237,0.376374600130889,11.5,0,59,0.0650977066945609,0.1,1,10
"58","17.1","2",0.12962962962963,"a",0.11864406779661,0.378739537377655,13.1,0,59,0.0799525220353256,0.1,1,10
"59","18.6","2",0.12962962962963,"a",0.11864406779661,0.380164925569786,14.1,0,59,0.0953819835275463,0.1,1,10
"60","20","2",0.12962962962963,"a",0.11864406779661,0.381029324435353,14.6,0,59,0.108089654732809,0.1,1,10
"61","7.1","0",0,"n",0,0.109597471547848,7.6,0,59,0.0216158703667106,0.3,1,3.33333333333333
"62","8.5","0",0,"n",0,0.113823043075968,9,0,59,0.027944141685453,0.3,1,3.33333333333333
"63","10","0",0,"n",0,0.120039008327843,9.8,0,59,0.0343294796796141,0.3,1,3.33333333333333
"64","11.4","0",0,"n",0,0.13018810637217,10.6,0,59,0.0372896187566574,0.3,1,3.33333333333333
"65","12.8","0",0,"n",0,0.132843133884232,10.9,0,59,0.044680927763512,0.3,1,3.33333333333333
"66","14.3","0",0,"n",0,0.133663676408938,10.8,0,59,0.0539105142619496,0.3,1,3.33333333333333
"67","15.7","0",0,"n",0,0.13526760007375,11.5,0,59,0.0637597527817888,0.3,1,3.33333333333333
"68","17.1","0",0,"n",0,0.137833503879063,13.1,0,59,0.0785124630805026,0.3,1,3.33333333333333
"69","18.6","0",0,"n",0,0.13935170352546,14.1,0,59,0.0936763905556062,0.3,1,3.33333333333333
"70","20","0",0,"n",0,0.140337516360671,14.6,0,59,0.10616653677517,0.3,1,3.33333333333333
"71","7.1","1",0,"n",0,0.109597471547848,7.6,0,59,0.0216158703667106,0.3,1,3.33333333333333
"72","8.5","1",0,"n",0,0.113823043075968,9,0,59,0.027944141685453,0.3,1,3.33333333333333
"73","10","1",0,"n",0,0.120039008327843,9.8,0,59,0.0343294796796141,0.3,1,3.33333333333333
"74","11.4","1",0,"n",0,0.13018810637217,10.6,0,59,0.0372896187566574,0.3,1,3.33333333333333
"75","12.8","1",0,"n",0,0.132843133884232,10.9,0,59,0.044680927763512,0.3,1,3.33333333333333
"76","14.3","1",0,"n",0,0.133663676408938,10.8,0,59,0.0539105142619496,0.3,1,3.33333333333333
"77","15.7","1",0,"n",0,0.13526760007375,11.5,0,59,0.0637597527817888,0.3,1,3.33333333333333
"78","17.1","1",0,"n",0,0.137833503879063,13.1,0,59,0.0785124630805026,0.3,1,3.33333333333333
"79","18.6","1",0,"n",0,0.13935170352546,14.1,0,59,0.0936763905556062,0.3,1,3.33333333333333
"80","20","1",0,"n",0,0.140337516360671,14.6,0,59,0.10616653677517,0.3,1,3.33333333333333
"81","7.1","2",1,"n",0.0847457627118644,0.109597471547848,7.6,0,59,0.0216158703667106,0.3,1,3.33333333333333
"82","8.5","2",1,"n",0.0847457627118644,0.113823043075968,9,0,59,0.027944141685453,0.3,1,3.33333333333333
"83","10","2",1,"n",0.0847457627118644,0.120039008327843,9.8,0,59,0.0343294796796141,0.3,1,3.33333333333333
"84","11.4","2",1,"n",0.0847457627118644,0.13018810637217,10.6,0,59,0.0372896187566574,0.3,1,3.33333333333333
"85","12.8","2",1,"n",0.0847457627118644,0.132843133884232,10.9,0,59,0.044680927763512,0.3,1,3.33333333333333
"86","14.3","2",1,"n",0.0847457627118644,0.133663676408938,10.8,0,59,0.0539105142619496,0.3,1,3.33333333333333
"87","15.7","2",1,"n",0.0847457627118644,0.13526760007375,11.5,0,59,0.0637597527817888,0.3,1,3.33333333333333
"88","17.1","2",1,"n",0.0847457627118644,0.137833503879063,13.1,0,59,0.0785124630805026,0.3,1,3.33333333333333
"89","18.6","2",1,"n",0.0847457627118644,0.13935170352546,14.1,0,59,0.0936763905556062,0.3,1,3.33333333333333
"90","20","2",1,"n",0.0847457627118644,0.140337516360671,14.6,0,59,0.10616653677517,0.3,1,3.33333333333333
"91","7.1","0",0.777777777777778,"a",0.711864406779661,0.109597471547848,7.6,0,59,0.0216158703667106,0.3,1,3.33333333333333
"92","8.5","0",0.777777777777778,"a",0.711864406779661,0.113823043075968,9,0,59,0.027944141685453,0.3,1,3.33333333333333
"93","10","0",0.833333333333333,"a",0.76271186440678,0.120039008327843,9.8,0,59,0.0343294796796141,0.3,1,3.33333333333333
"94","11.4","0",0.851851851851852,"a",0.779661016949153,0.13018810637217,10.6,0,59,0.0372896187566574,0.3,1,3.33333333333333
"95","12.8","0",0.851851851851852,"a",0.779661016949153,0.132843133884232,10.9,0,59,0.044680927763512,0.3,1,3.33333333333333
"96","14.3","0",0.833333333333333,"a",0.76271186440678,0.133663676408938,10.8,0,59,0.0539105142619496,0.3,1,3.33333333333333
"97","15.7","0",0.833333333333333,"a",0.76271186440678,0.13526760007375,11.5,0,59,0.0637597527817888,0.3,1,3.33333333333333
"98","17.1","0",0.851851851851852,"a",0.779661016949153,0.137833503879063,13.1,0,59,0.0785124630805026,0.3,1,3.33333333333333
"99","18.6","0",0.851851851851852,"a",0.779661016949153,0.13935170352546,14.1,0,59,0.0936763905556062,0.3,1,3.33333333333333
"100","20","0",0.851851851851852,"a",0.779661016949153,0.140337516360671,14.6,0,59,0.10616653677517,0.3,1,3.33333333333333
"101","7.1","1",0.166666666666667,"a",0.152542372881356,0.109597471547848,7.6,0,59,0.0216158703667106,0.3,1,3.33333333333333
