"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","qa"
"37","15.7","0",0,"a",0,0.0955652587144869,3.5,15.1,24,0.5
"38","17.1","0",0,"a",0,0.0874000858591923,3.7,15,25,0.5
"39","18.6","0",0,"a",0,0.0963869011273017,3.5,15.3,24,0.5
"40","20","0",0,"a",0,0.0881693572914608,3.7,15,25,0.5
"41","7.1","1",0,"a",0,0.0797136571941524,3.4,13.8,26,0.5
"42","8.5","1",0,"a",0,0.0880958824485456,3.2,14.3,25,0.5
"43","10","1",0,"a",0,0.0885311075984768,3.2,14.3,25,0.5
"44","11.4","1",0,"a",0,0.0889603268756604,3.2,14.4,25,0.5
"45","12.8","1",0,"a",0,0.0883121747025667,3.2,14.6,25,0.5
"46","14.3","1",0,"a",0,0.0807651592159544,3.4,14.4,26,0.5
"47","15.7","1",0,"a",0,0.0955652587144869,3.5,15.1,24,0.5
"48","17.1","1",0,"a",0,0.0874000858591923,3.7,15,25,0.5
"49","18.6","1",0,"a",0,0.0963869011273017,3.5,15.3,24,0.5
"50","20","1",0,"a",0,0.0881693572914608,3.7,15,25,0.5
"51","7.1","2",1,"a",0.192307692307692,0.0797136571941524,3.4,13.8,26,0.5
"52","8.5","2",1,"a",0.2,0.0880958824485456,3.2,14.3,25,0.5
"53","10","2",1,"a",0.2,0.0885311075984768,3.2,14.3,25,0.5
"54","11.4","2",1,"a",0.2,0.0889603268756604,3.2,14.4,25,0.5
"55","12.8","2",1,"a",0.2,0.0883121747025667,3.2,14.6,25,0.5
"56","14.3","2",1,"a",0.153846153846154,0.0807651592159544,3.4,14.4,26,0.5
"57","15.7","2",1,"a",0.125,0.0955652587144869,3.5,15.1,24,0.5
"58","17.1","2",1,"a",0.12,0.0874000858591923,3.7,15,25,0.5
"59","18.6","2",1,"a",0.125,0.0963869011273017,3.5,15.3,24,0.5
"60","20","2",1,"a",0.12,0.0881693572914608,3.7,15,25,0.5
"61","7.1","0",0.6,"n",0.48,0.0876544933811112,3.2,14.1,25,0.6
"62","8.5","0",0.6,"n",0.48,0.0870391389081885,3.2,14.3,25,0.6
"63","10","0",0.6,"n",0.48,0.0874691537794986,3.2,14.3,25,0.6
"64","11.4","0",0.6,"n",0.48,0.0878932347270126,3.2,14.4,25,0.6
"65","12.8","0",0.6,"n",0.48,0.0883121747025667,3.2,14.6,25,0.6
"66","14.3","0",0.545454545454545,"n",0.461538461538462,0.0797963874394652,3.4,14.4,26,0.6
"67","15.7","0",0.428571428571429,"n",0.375,0.0955652587144869,3.5,15.1,24,0.6
"68","17.1","0",0.454545454545455,"n",0.4,0.0874000858591923,3.7,15,25,0.6
"69","18.6","0",0.428571428571429,"n",0.375,0.0963869011273017,3.5,15.3,24,0.6
"70","20","0",0.454545454545455,"n",0.4,0.0881693572914608,3.7,15,25,0.6
"71","7.1","1",0,"n",0,0.0876544933811112,3.2,14.1,25,0.6
"72","8.5","1",0,"n",0,0.0870391389081885,3.2,14.3,25,0.6
"73","10","1",0,"n",0,0.0874691537794986,3.2,14.3,25,0.6
"74","11.4","1",0,"n",0,0.0878932347270126,3.2,14.4,25,0.6
"75","12.8","1",0.05,"n",0.04,0.0883121747025667,3.2,14.6,25,0.6
"76","14.3","1",0.0909090909090909,"n",0.0769230769230769,0.0797963874394652,3.4,14.4,26,0.6
"77","15.7","1",0.238095238095238,"n",0.208333333333333,0.0955652587144869,3.5,15.1,24,0.6
"78","17.1","1",0.227272727272727,"n",0.2,0.0874000858591923,3.7,15,25,0.6
"79","18.6","1",0.238095238095238,"n",0.208333333333333,0.0963869011273017,3.5,15.3,24,0.6
"80","20","1",0.227272727272727,"n",0.2,0.0881693572914608,3.7,15,25,0.6
"81","7.1","2",0.4,"n",0.32,0.0876544933811112,3.2,14.1,25,0.6
"82","8.5","2",0.4,"n",0.32,0.0870391389081885,3.2,14.3,25,0.6
"83","10","2",0.4,"n",0.32,0.0874691537794986,3.2,14.3,25,0.6
"84","11.4","2",0.4,"n",0.32,0.0878932347270126,3.2,14.4,25,0.6
"85","12.8","2",0.35,"n",0.28,0.0883121747025667,3.2,14.6,25,0.6
"86","14.3","2",0.363636363636364,"n",0.307692307692308,0.0797963874394652,3.4,14.4,26,0.6
"87","15.7","2",0.333333333333333,"n",0.291666666666667,0.0955652587144869,3.5,15.1,24,0.6
"88","17.1","2",0.318181818181818,"n",0.28,0.0874000858591923,3.7,15,25,0.6
"89","18.6","2",0.333333333333333,"n",0.291666666666667,0.0963869011273017,3.5,15.3,24,0.6
"90","20","2",0.318181818181818,"n",0.28,0.0881693572914608,3.7,15,25,0.6
"91","7.1","0",0,"a",0,0.0876544933811112,3.2,14.1,25,0.6
"92","8.5","0",0,"a",0,0.0870391389081885,3.2,14.3,25,0.6
"93","10","0",0,"a",0,0.0874691537794986,3.2,14.3,25,0.6
"94","11.4","0",0,"a",0,0.0878932347270126,3.2,14.4,25,0.6
"95","12.8","0",0,"a",0,0.0883121747025667,3.2,14.6,25,0.6
"96","14.3","0",0,"a",0,0.0797963874394652,3.4,14.4,26,0.6
"97","15.7","0",0,"a",0,0.0955652587144869,3.5,15.1,24,0.6
"98","17.1","0",0,"a",0,0.0874000858591923,3.7,15,25,0.6
"99","18.6","0",0,"a",0,0.0963869011273017,3.5,15.3,24,0.6
"100","20","0",0,"a",0,0.0881693572914608,3.7,15,25,0.6
"101","7.1","1",0,"a",0,0.0876544933811112,3.2,14.1,25,0.6
"102","8.5","1",0.2,"a",0.04,0.0870391389081885,3.2,14.3,25,0.6
"103","10","1",0.2,"a",0.04,0.0874691537794986,3.2,14.3,25,0.6
"104","11.4","1",0.2,"a",0.04,0.0878932347270126,3.2,14.4,25,0.6
"105","12.8","1",0,"a",0,0.0883121747025667,3.2,14.6,25,0.6
"106","14.3","1",0.25,"a",0.0384615384615385,0.0797963874394652,3.4,14.4,26,0.6
"107","15.7","1",0,"a",0,0.0955652587144869,3.5,15.1,24,0.6
"108","17.1","1",0,"a",0,0.0874000858591923,3.7,15,25,0.6
"109","18.6","1",0,"a",0,0.0963869011273017,3.5,15.3,24,0.6
"110","20","1",0,"a",0,0.0881693572914608,3.7,15,25,0.6
"111","7.1","2",1,"a",0.2,0.0876544933811112,3.2,14.1,25,0.6
"112","8.5","2",0.8,"a",0.16,0.0870391389081885,3.2,14.3,25,0.6
"113","10","2",0.8,"a",0.16,0.0874691537794986,3.2,14.3,25,0.6
"114","11.4","2",0.8,"a",0.16,0.0878932347270126,3.2,14.4,25,0.6
"115","12.8","2",1,"a",0.2,0.0883121747025667,3.2,14.6,25,0.6
"116","14.3","2",0.75,"a",0.115384615384615,0.0797963874394652,3.4,14.4,26,0.6
"117","15.7","2",1,"a",0.125,0.0955652587144869,3.5,15.1,24,0.6
"118","17.1","2",1,"a",0.12,0.0874000858591923,3.7,15,25,0.6
"119","18.6","2",1,"a",0.125,0.0963869011273017,3.5,15.3,24,0.6
"120","20","2",1,"a",0.12,0.0881693572914608,3.7,15,25,0.6
"121","7.1","0",0.6,"n",0.48,0.0876544933811112,3.2,14.1,25,0.7
"122","8.5","0",0.6,"n",0.48,0.0870391389081885,3.2,14.3,25,0.7
"123","10","0",0.6,"n",0.48,0.0874691537794986,3.2,14.3,25,0.7
"124","11.4","0",0.6,"n",0.48,0.0878932347270126,3.2,14.4,25,0.7
"125","12.8","0",0.6,"n",0.48,0.0883121747025667,3.2,14.6,25,0.7
"126","14.3","0",0.545454545454545,"n",0.461538461538462,0.0797963874394652,3.4,14.4,26,0.7
"127","15.7","0",0.428571428571429,"n",0.375,0.0955652587144869,3.5,15.1,24,0.7
"128","17.1","0",0.454545454545455,"n",0.4,0.0874000858591923,3.7,15,25,0.7
"129","18.6","0",0.428571428571429,"n",0.375,0.0963869011273017,3.5,15.3,24,0.7
"130","20","0",0.454545454545455,"n",0.4,0.0881693572914608,3.7,15,25,0.7
"131","7.1","1",0,"n",0,0.0876544933811112,3.2,14.1,25,0.7
"132","8.5","1",0,"n",0,0.0870391389081885,3.2,14.3,25,0.7
"133","10","1",0,"n",0,0.0874691537794986,3.2,14.3,25,0.7
"134","11.4","1",0,"n",0,0.0878932347270126,3.2,14.4,25,0.7
"135","12.8","1",0.05,"n",0.04,0.0883121747025667,3.2,14.6,25,0.7
"136","14.3","1",0.0909090909090909,"n",0.0769230769230769,0.0797963874394652,3.4,14.4,26,0.7
"137","15.7","1",0.238095238095238,"n",0.208333333333333,0.0955652587144869,3.5,15.1,24,0.7
"138","17.1","1",0.227272727272727,"n",0.2,0.0874000858591923,3.7,15,25,0.7
"139","18.6","1",0.238095238095238,"n",0.208333333333333,0.0963869011273017,3.5,15.3,24,0.7
"140","20","1",0.227272727272727,"n",0.2,0.0881693572914608,3.7,15,25,0.7
"141","7.1","2",0.4,"n",0.32,0.0876544933811112,3.2,14.1,25,0.7
"142","8.5","2",0.4,"n",0.32,0.0870391389081885,3.2,14.3,25,0.7
"143","10","2",0.4,"n",0.32,0.0874691537794986,3.2,14.3,25,0.7
"144","11.4","2",0.4,"n",0.32,0.0878932347270126,3.2,14.4,25,0.7
"145","12.8","2",0.35,"n",0.28,0.0883121747025667,3.2,14.6,25,0.7
"146","14.3","2",0.363636363636364,"n",0.307692307692308,0.0797963874394652,3.4,14.4,26,0.7
"147","15.7","2",0.333333333333333,"n",0.291666666666667,0.0955652587144869,3.5,15.1,24,0.7
"148","17.1","2",0.318181818181818,"n",0.28,0.0874000858591923,3.7,15,25,0.7
"149","18.6","2",0.333333333333333,"n",0.291666666666667,0.0963869011273017,3.5,15.3,24,0.7
"150","20","2",0.318181818181818,"n",0.28,0.0881693572914608,3.7,15,25,0.7
"151","7.1","0",0,"a",0,0.0876544933811112,3.2,14.1,25,0.7
"152","8.5","0",0,"a",0,0.0870391389081885,3.2,14.3,25,0.7
"153","10","0",0,"a",0,0.0874691537794986,3.2,14.3,25,0.7
"154","11.4","0",0,"a",0,0.0878932347270126,3.2,14.4,25,0.7
"155","12.8","0",0,"a",0,0.0883121747025667,3.2,14.6,25,0.7
"156","14.3","0",0,"a",0,0.0797963874394652,3.4,14.4,26,0.7
"157","15.7","0",0,"a",0,0.0955652587144869,3.5,15.1,24,0.7
"158","17.1","0",0,"a",0,0.0874000858591923,3.7,15,25,0.7
"159","18.6","0",0,"a",0,0.0963869011273017,3.5,15.3,24,0.7
"160","20","0",0,"a",0,0.0881693572914608,3.7,15,25,0.7
"161","7.1","1",0,"a",0,0.0876544933811112,3.2,14.1,25,0.7
"162","8.5","1",0.2,"a",0.04,0.0870391389081885,3.2,14.3,25,0.7
"163","10","1",0.2,"a",0.04,0.0874691537794986,3.2,14.3,25,0.7
"164","11.4","1",0.2,"a",0.04,0.0878932347270126,3.2,14.4,25,0.7
"165","12.8","1",0,"a",0,0.0883121747025667,3.2,14.6,25,0.7
"166","14.3","1",0.25,"a",0.0384615384615385,0.0797963874394652,3.4,14.4,26,0.7
"167","15.7","1",0,"a",0,0.0955652587144869,3.5,15.1,24,0.7
"168","17.1","1",0,"a",0,0.0874000858591923,3.7,15,25,0.7
"169","18.6","1",0,"a",0,0.0963869011273017,3.5,15.3,24,0.7
"170","20","1",0,"a",0,0.0881693572914608,3.7,15,25,0.7
"171","7.1","2",1,"a",0.2,0.0876544933811112,3.2,14.1,25,0.7
"172","8.5","2",0.8,"a",0.16,0.0870391389081885,3.2,14.3,25,0.7
"173","10","2",0.8,"a",0.16,0.0874691537794986,3.2,14.3,25,0.7
"174","11.4","2",0.8,"a",0.16,0.0878932347270126,3.2,14.4,25,0.7
"175","12.8","2",1,"a",0.2,0.0883121747025667,3.2,14.6,25,0.7
"176","14.3","2",0.75,"a",0.115384615384615,0.0797963874394652,3.4,14.4,26,0.7
"177","15.7","2",1,"a",0.125,0.0955652587144869,3.5,15.1,24,0.7
"178","17.1","2",1,"a",0.12,0.0874000858591923,3.7,15,25,0.7
"179","18.6","2",1,"a",0.125,0.0963869011273017,3.5,15.3,24,0.7
"180","20","2",1,"a",0.12,0.0881693572914608,3.7,15,25,0.7
"181","7.1","0",0.6,"n",0.48,0.0876544933811112,3.2,14.1,25,0.8
"182","8.5","0",0.6,"n",0.48,0.0870391389081885,3.2,14.3,25,0.8
"183","10","0",0.619047619047619,"n",0.5,0.0805429061914457,3.4,14,26,0.8
"184","11.4","0",0.619047619047619,"n",0.5,0.0809490538749275,3.4,14.1,26,0.8
"185","12.8","0",0.67741935483871,"n",0.6,0.034021890894395,5.2,10.3,35,0.8
"186","14.3","0",0.67741935483871,"n",0.6,0.0342446598365634,5.2,10.4,35,0.8
"187","15.7","0",0.52,"n",0.464285714285714,0.0656644593717872,4.2,13.6,28,0.8
"188","17.1","0",0.52,"n",0.464285714285714,0.0659965673792545,4.3,13.8,28,0.8
"189","18.6","0",0.62962962962963,"n",0.548387096774194,0.0507163914112669,4.7,12.5,31,0.8
"190","20","0",0.52,"n",0.464285714285714,0.0666470012062819,4.2,13.8,28,0.8
"191","7.1","1",0,"n",0,0.0876544933811112,3.2,14.1,25,0.8
"192","8.5","1",0,"n",0,0.0870391389081885,3.2,14.3,25,0.8
"193","10","1",0,"n",0,0.0805429061914457,3.4,14,26,0.8
"194","11.4","1",0,"n",0,0.0809490538749275,3.4,14.1,26,0.8
"195","12.8","1",0.0645161290322581,"n",0.0571428571428571,0.034021890894395,5.2,10.3,35,0.8
"196","14.3","1",0.0645161290322581,"n",0.0571428571428571,0.0342446598365634,5.2,10.4,35,0.8
"197","15.7","1",0.16,"n",0.142857142857143,0.0656644593717872,4.2,13.6,28,0.8
"198","17.1","1",0.2,"n",0.178571428571429,0.0659965673792545,4.3,13.8,28,0.8
"199","18.6","1",0.111111111111111,"n",0.0967741935483871,0.0507163914112669,4.7,12.5,31,0.8
"200","20","1",0.16,"n",0.142857142857143,0.0666470012062819,4.2,13.8,28,0.8
"201","7.1","2",0.4,"n",0.32,0.0876544933811112,3.2,14.1,25,0.8
"202","8.5","2",0.4,"n",0.32,0.0870391389081885,3.2,14.3,25,0.8
"203","10","2",0.380952380952381,"n",0.307692307692308,0.0805429061914457,3.4,14,26,0.8
"204","11.4","2",0.380952380952381,"n",0.307692307692308,0.0809490538749275,3.4,14.1,26,0.8
"205","12.8","2",0.258064516129032,"n",0.228571428571429,0.034021890894395,5.2,10.3,35,0.8
"206","14.3","2",0.258064516129032,"n",0.228571428571429,0.0342446598365634,5.2,10.4,35,0.8
"207","15.7","2",0.32,"n",0.285714285714286,0.0656644593717872,4.2,13.6,28,0.8
"208","17.1","2",0.28,"n",0.25,0.0659965673792545,4.3,13.8,28,0.8
"209","18.6","2",0.259259259259259,"n",0.225806451612903,0.0507163914112669,4.7,12.5,31,0.8
"210","20","2",0.32,"n",0.285714285714286,0.0666470012062819,4.2,13.8,28,0.8
"211","7.1","0",0,"a",0,0.0876544933811112,3.2,14.1,25,0.8
"212","8.5","0",0,"a",0,0.0870391389081885,3.2,14.3,25,0.8
"213","10","0",0,"a",0,0.0805429061914457,3.4,14,26,0.8
"214","11.4","0",0,"a",0,0.0809490538749275,3.4,14.1,26,0.8
"215","12.8","0",0,"a",0,0.034021890894395,5.2,10.3,35,0.8
"216","14.3","0",0,"a",0,0.0342446598365634,5.2,10.4,35,0.8
"217","15.7","0",0,"a",0,0.0656644593717872,4.2,13.6,28,0.8
"218","17.1","0",0,"a",0,0.0659965673792545,4.3,13.8,28,0.8
"219","18.6","0",0,"a",0,0.0507163914112669,4.7,12.5,31,0.8
"220","20","0",0,"a",0,0.0666470012062819,4.2,13.8,28,0.8
"221","7.1","1",0,"a",0,0.0876544933811112,3.2,14.1,25,0.8
"222","8.5","1",0.2,"a",0.04,0.0870391389081885,3.2,14.3,25,0.8
"223","10","1",0,"a",0,0.0805429061914457,3.4,14,26,0.8
"224","11.4","1",0,"a",0,0.0809490538749275,3.4,14.1,26,0.8
"225","12.8","1",0.25,"a",0.0285714285714286,0.034021890894395,5.2,10.3,35,0.8
"226","14.3","1",0.25,"a",0.0285714285714286,0.0342446598365634,5.2,10.4,35,0.8
"227","15.7","1",0.333333333333333,"a",0.0357142857142857,0.0656644593717872,4.2,13.6,28,0.8
"228","17.1","1",0,"a",0,0.0659965673792545,4.3,13.8,28,0.8
"229","18.6","1",0,"a",0,0.0507163914112669,4.7,12.5,31,0.8
"230","20","1",0.333333333333333,"a",0.0357142857142857,0.0666470012062819,4.2,13.8,28,0.8
"231","7.1","2",1,"a",0.2,0.0876544933811112,3.2,14.1,25,0.8
"232","8.5","2",0.8,"a",0.16,0.0870391389081885,3.2,14.3,25,0.8
"233","10","2",1,"a",0.192307692307692,0.0805429061914457,3.4,14,26,0.8
"234","11.4","2",1,"a",0.192307692307692,0.0809490538749275,3.4,14.1,26,0.8
"235","12.8","2",0.75,"a",0.0857142857142857,0.034021890894395,5.2,10.3,35,0.8
"236","14.3","2",0.75,"a",0.0857142857142857,0.0342446598365634,5.2,10.4,35,0.8
"237","15.7","2",0.666666666666667,"a",0.0714285714285714,0.0656644593717872,4.2,13.6,28,0.8
"238","17.1","2",1,"a",0.107142857142857,0.0659965673792545,4.3,13.8,28,0.8
"239","18.6","2",1,"a",0.129032258064516,0.0507163914112669,4.7,12.5,31,0.8
"240","20","2",0.666666666666667,"a",0.0714285714285714,0.0666470012062819,4.2,13.8,28,0.8
"241","7.1","0",0.6,"n",0.48,0.0876544933811112,3.6,14.1,25,0.9
"242","8.5","0",0.6,"n",0.48,0.0880958824485456,3.6,14.3,25,0.9
"243","10","0",0.6,"n",0.48,0.0885311075984768,3.6,14.3,25,0.9
"244","11.4","0",0.6,"n",0.48,0.0889603268756604,3.6,14.4,25,0.9
"245","12.8","0",0.6,"n",0.48,0.089383692418775,3.6,14.6,25,0.9
"246","14.3","0",0.6,"n",0.48,0.0898013507496545,3.6,14.8,25,0.9
"247","15.7","0",0.454545454545455,"n",0.4,0.0870078451919822,3.9,14.8,25,0.9
"248","17.1","0",0.578947368421053,"n",0.458333333333333,0.0983219535568187,3.5,15.3,24,0.9
"249","18.6","0",0.578947368421053,"n",0.458333333333333,0.0987399859185669,3.5,15.3,24,0.9
"250","20","0",0.578947368421053,"n",0.458333333333333,0.0991525591308881,3.5,15.3,24,0.9
"251","7.1","1",0,"n",0,0.0876544933811112,3.6,14.1,25,0.9
"252","8.5","1",0,"n",0,0.0880958824485456,3.6,14.3,25,0.9
"253","10","1",0,"n",0,0.0885311075984768,3.6,14.3,25,0.9
"254","11.4","1",0,"n",0,0.0889603268756604,3.6,14.4,25,0.9
"255","12.8","1",0,"n",0,0.089383692418775,3.6,14.6,25,0.9
"256","14.3","1",0,"n",0,0.0898013507496545,3.6,14.8,25,0.9
"257","15.7","1",0.227272727272727,"n",0.2,0.0870078451919822,3.9,14.8,25,0.9
"258","17.1","1",0.0526315789473684,"n",0.0416666666666667,0.0983219535568187,3.5,15.3,24,0.9
"259","18.6","1",0.0526315789473684,"n",0.0416666666666667,0.0987399859185669,3.5,15.3,24,0.9
"260","20","1",0.0526315789473684,"n",0.0416666666666667,0.0991525591308881,3.5,15.3,24,0.9
"261","7.1","2",0.4,"n",0.32,0.0876544933811112,3.6,14.1,25,0.9
"262","8.5","2",0.4,"n",0.32,0.0880958824485456,3.6,14.3,25,0.9
"263","10","2",0.4,"n",0.32,0.0885311075984768,3.6,14.3,25,0.9
"264","11.4","2",0.4,"n",0.32,0.0889603268756604,3.6,14.4,25,0.9
"265","12.8","2",0.4,"n",0.32,0.089383692418775,3.6,14.6,25,0.9
"266","14.3","2",0.4,"n",0.32,0.0898013507496545,3.6,14.8,25,0.9
"267","15.7","2",0.318181818181818,"n",0.28,0.0870078451919822,3.9,14.8,25,0.9
"268","17.1","2",0.368421052631579,"n",0.291666666666667,0.0983219535568187,3.5,15.3,24,0.9
"269","18.6","2",0.368421052631579,"n",0.291666666666667,0.0987399859185669,3.5,15.3,24,0.9
"270","20","2",0.368421052631579,"n",0.291666666666667,0.0991525591308881,3.5,15.3,24,0.9
"271","7.1","0",0,"a",0,0.0876544933811112,3.6,14.1,25,0.9
"272","8.5","0",0,"a",0,0.0880958824485456,3.6,14.3,25,0.9
"273","10","0",0,"a",0,0.0885311075984768,3.6,14.3,25,0.9
"274","11.4","0",0,"a",0,0.0889603268756604,3.6,14.4,25,0.9
"275","12.8","0",0,"a",0,0.089383692418775,3.6,14.6,25,0.9
"276","14.3","0",0,"a",0,0.0898013507496545,3.6,14.8,25,0.9
"277","15.7","0",0,"a",0,0.0870078451919822,3.9,14.8,25,0.9
"278","17.1","0",0,"a",0,0.0983219535568187,3.5,15.3,24,0.9
"279","18.6","0",0,"a",0,0.0987399859185669,3.5,15.3,24,0.9
"280","20","0",0,"a",0,0.0991525591308881,3.5,15.3,24,0.9
"281","7.1","1",0,"a",0,0.0876544933811112,3.6,14.1,25,0.9
"282","8.5","1",0,"a",0,0.0880958824485456,3.6,14.3,25,0.9
"283","10","1",0,"a",0,0.0885311075984768,3.6,14.3,25,0.9
"284","11.4","1",0,"a",0,0.0889603268756604,3.6,14.4,25,0.9
"285","12.8","1",0,"a",0,0.089383692418775,3.6,14.6,25,0.9
"286","14.3","1",0,"a",0,0.0898013507496545,3.6,14.8,25,0.9
"287","15.7","1",0,"a",0,0.0870078451919822,3.9,14.8,25,0.9
"288","17.1","1",0,"a",0,0.0983219535568187,3.5,15.3,24,0.9
"289","18.6","1",0,"a",0,0.0987399859185669,3.5,15.3,24,0.9
"290","20","1",0,"a",0,0.0991525591308881,3.5,15.3,24,0.9
"291","7.1","2",1,"a",0.2,0.0876544933811112,3.6,14.1,25,0.9
"292","8.5","2",1,"a",0.2,0.0880958824485456,3.6,14.3,25,0.9
"293","10","2",1,"a",0.2,0.0885311075984768,3.6,14.3,25,0.9
"294","11.4","2",1,"a",0.2,0.0889603268756604,3.6,14.4,25,0.9
"295","12.8","2",1,"a",0.2,0.089383692418775,3.6,14.6,25,0.9
"296","14.3","2",1,"a",0.2,0.0898013507496545,3.6,14.8,25,0.9
"297","15.7","2",1,"a",0.12,0.0870078451919822,3.9,14.8,25,0.9
"298","17.1","2",1,"a",0.208333333333333,0.0983219535568187,3.5,15.3,24,0.9
"299","18.6","2",1,"a",0.208333333333333,0.0987399859185669,3.5,15.3,24,0.9
"300","20","2",1,"a",0.208333333333333,0.0991525591308881,3.5,15.3,24,0.9
"301","7.1","0",0.6,"n",0.48,0.0876544933811112,3.6,14.1,25,1
"302","8.5","0",0.6,"n",0.48,0.0880958824485456,3.6,14.3,25,1
"303","10","0",0.6,"n",0.48,0.0885311075984768,3.6,14.3,25,1
"304","11.4","0",0.6,"n",0.48,0.0889603268756604,3.6,14.4,25,1
"305","12.8","0",0.6,"n",0.48,0.089383692418775,3.6,14.6,25,1
"306","14.3","0",0.578947368421053,"n",0.458333333333333,0.0986515746662332,3.4,15.1,24,1
"307","15.7","0",0.454545454545455,"n",0.4,0.0870078451919822,3.9,14.8,25,1
"308","17.1","0",0.578947368421053,"n",0.458333333333333,0.0983219535568187,3.5,15.3,24,1
"309","18.6","0",0.578947368421053,"n",0.458333333333333,0.0987399859185669,3.5,15.3,24,1
"310","20","0",0.578947368421053,"n",0.458333333333333,0.0991525591308881,3.5,15.3,24,1
"311","7.1","1",0,"n",0,0.0876544933811112,3.6,14.1,25,1
"312","8.5","1",0,"n",0,0.0880958824485456,3.6,14.3,25,1
"313","10","1",0,"n",0,0.0885311075984768,3.6,14.3,25,1
"314","11.4","1",0,"n",0,0.0889603268756604,3.6,14.4,25,1
"315","12.8","1",0,"n",0,0.089383692418775,3.6,14.6,25,1
"316","14.3","1",0,"n",0,0.0986515746662332,3.4,15.1,24,1
"317","15.7","1",0.227272727272727,"n",0.2,0.0870078451919822,3.9,14.8,25,1
"318","17.1","1",0.0526315789473684,"n",0.0416666666666667,0.0983219535568187,3.5,15.3,24,1
"319","18.6","1",0.0526315789473684,"n",0.0416666666666667,0.0987399859185669,3.5,15.3,24,1
"320","20","1",0.0526315789473684,"n",0.0416666666666667,0.0991525591308881,3.5,15.3,24,1
"321","7.1","2",0.4,"n",0.32,0.0876544933811112,3.6,14.1,25,1
"322","8.5","2",0.4,"n",0.32,0.0880958824485456,3.6,14.3,25,1
"323","10","2",0.4,"n",0.32,0.0885311075984768,3.6,14.3,25,1
"324","11.4","2",0.4,"n",0.32,0.0889603268756604,3.6,14.4,25,1
"325","12.8","2",0.4,"n",0.32,0.089383692418775,3.6,14.6,25,1
"326","14.3","2",0.421052631578947,"n",0.333333333333333,0.0986515746662332,3.4,15.1,24,1
