"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","dn0","d","dn0_d"
"105","12.8","1",0.25,"a",0.1,0.134818961330442,2.1,27.4,20,0.145515543798503,0.3,1,0.3
"106","14.3","1",0,"a",0,0.155344590940257,1.9,30,19,0.171024081496852,0.3,1,0.3
"107","15.7","1",0,"a",0,0.19084284389106,1.3,32.9,17,0.193742425366959,0.3,1,0.3
"108","17.1","1",0,"a",0,0.21496492782398,1.1,35.4,16,0.211866187738025,0.3,1,0.3
"109","18.6","1",0.0909090909090909,"a",0.0526315789473684,0.163447509683563,2.1,36.8,19,0.230483447571069,0.3,1,0.3
"110","20","1",0,"a",0,0.183763903013859,2,39.2,18,0.242195078873512,0.3,1,0.3
"111","7.1","2",0.875,"a",0.318181818181818,0.0987068874323008,1.9,18.2,22,0.0595301993804354,0.3,1,0.3
"112","8.5","2",1,"a",0.368421052631579,0.139311428537956,1.3,21.9,19,0.0831983826400026,0.3,1,0.3
"113","10","2",0.5,"a",0.25,0.192859815546751,0.6,25.7,16,0.112729240671452,0.3,1,0.3
"114","11.4","2",0.636363636363636,"a",0.4375,0.19764975457947,1.1,25.8,16,0.114734110056427,0.3,1,0.3
"115","12.8","2",0.75,"a",0.3,0.134818961330442,2.1,27.4,20,0.145515543798503,0.3,1,0.3
"116","14.3","2",1,"a",0.368421052631579,0.155344590940257,1.9,30,19,0.171024081496852,0.3,1,0.3
"117","15.7","2",1,"a",0.411764705882353,0.19084284389106,1.3,32.9,17,0.193742425366959,0.3,1,0.3
"118","17.1","2",1,"a",0.3125,0.21496492782398,1.1,35.4,16,0.211866187738025,0.3,1,0.3
"119","18.6","2",0.636363636363636,"a",0.368421052631579,0.163447509683563,2.1,36.8,19,0.230483447571069,0.3,1,0.3
"120","20","2",1,"a",0.277777777777778,0.183763903013859,2,39.2,18,0.242195078873512,0.3,1,0.3
"121","7.1","0",0,"n",0,0.246362587518595,0.100000000000001,20,13,0.0595301993804354,0.5,1,0.5
