"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","seeds"
"275","12.8","0",0,"a",0,0.100136177018528,4,25.3,26,0.148256093072167,5
"276","14.3","0",0,"a",0,0.0949156362893064,4.6,26.3,27,0.169071565339806,5
"277","15.7","0",0,"a",0,0.0964740125492659,4.6,28.2,27,0.191424223305194,5
"278","17.1","0",0,"a",0,0.11539967699602,4.3,31.8,25,0.216165370515567,5
"279","18.6","0",0,"a",0,0.0665426245002226,7.9,27.5,32,0.21890984291903,5
"280","20","0",0,"a",0,0.0554128423855536,9.3,25,35,0.218007493025617,5
"281","7.1","1",0,"a",0,0.0980559853272442,2.3,17.6,24,0.0581388249819421,5
"282","8.5","1",0.166666666666667,"a",0.0476190476190476,0.136124243800693,1.6,20.4,21,0.0736545834223382,5
"283","10","1",0.166666666666667,"a",0.0555555555555556,0.183340085636581,1.1,24.1,18,0.101598148942839,5
"284","11.4","1",0.166666666666667,"a",0.0384615384615385,0.097066912709529,3.8,23,26,0.121484492805138,5
"285","12.8","1",0.166666666666667,"a",0.0384615384615385,0.100136177018528,4,25.3,26,0.148256093072167,5
"286","14.3","1",0.166666666666667,"a",0.037037037037037,0.0949156362893064,4.6,26.3,27,0.169071565339806,5
"287","15.7","1",0.166666666666667,"a",0.037037037037037,0.0964740125492659,4.6,28.2,27,0.191424223305194,5
"288","17.1","1",0.166666666666667,"a",0.04,0.11539967699602,4.3,31.8,25,0.216165370515567,5
"289","18.6","1",0.166666666666667,"a",0.03125,0.0665426245002226,7.9,27.5,32,0.21890984291903,5
"290","20","1",0.166666666666667,"a",0.0285714285714286,0.0554128423855536,9.3,25,35,0.218007493025617,5
"291","7.1","2",1,"a",0.25,0.0980559853272442,2.3,17.6,24,0.0581388249819421,5
"292","8.5","2",0.833333333333333,"a",0.238095238095238,0.136124243800693,1.6,20.4,21,0.0736545834223382,5
"293","10","2",0.833333333333333,"a",0.277777777777778,0.183340085636581,1.1,24.1,18,0.101598148942839,5
"294","11.4","2",0.833333333333333,"a",0.192307692307692,0.097066912709529,3.8,23,26,0.121484492805138,5
"295","12.8","2",0.833333333333333,"a",0.192307692307692,0.100136177018528,4,25.3,26,0.148256093072167,5
"296","14.3","2",0.833333333333333,"a",0.185185185185185,0.0949156362893064,4.6,26.3,27,0.169071565339806,5
"297","15.7","2",0.833333333333333,"a",0.185185185185185,0.0964740125492659,4.6,28.2,27,0.191424223305194,5
"298","17.1","2",0.833333333333333,"a",0.2,0.11539967699602,4.3,31.8,25,0.216165370515567,5
"299","18.6","2",0.833333333333333,"a",0.15625,0.0665426245002226,7.9,27.5,32,0.21890984291903,5
"300","20","2",0.833333333333333,"a",0.142857142857143,0.0554128423855536,9.3,25,35,0.218007493025617,5
