"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","seeds"
"51","7.1","2",1,"a",0.208333333333333,0.0989203269419862,2.3,17.6,24,0.0581388249819421,1
"52","8.5","2",1,"a",0.15,0.146421904542962,1.4,21.2,20,0.0786203689154736,1
"53","10","2",0.666666666666667,"a",0.105263157894737,0.165770478707071,1.1,24.1,19,0.104828335740565,1
"54","11.4","2",1,"a",0.111111111111111,0.0877406269739273,4.2,22.7,27,0.124208680632935,1
"55","12.8","2",1,"a",0.12,0.10711770591472,3.9,26.3,25,0.15642671783744,1
"56","14.3","2",1,"a",0.130434782608696,0.129430191417859,3.3,29.7,23,0.184258591645921,1
"57","15.7","2",0.666666666666667,"a",0.0689655172413793,0.0811353650406307,5.7,27.1,29,0.192587932536918,1
"58","17.1","2",0.75,"a",0.115384615384615,0.106738247744405,4.8,31.4,26,0.217550925851053,1
"59","18.6","2",1,"a",0.142857142857143,0.0538198960616797,9.5,24.5,35,0.21088187286358,1
"60","20","2",1,"a",0.075,0.0368805051294322,12.3,20.1,40,0.21088187286358,1
"61","7.1","0",0.611111111111111,"n",0.458333333333333,0.0977344855435927,2.3,17.6,24,0.0581388249819421,2
"62","8.5","0",0.375,"n",0.3,0.148455946702849,1.4,21.1,20,0.0774996901503023,2
"63","10","0",0.375,"n",0.3,0.154119997746325,1.4,23.5,20,0.101598148942839,2
"64","11.4","0",0.521739130434783,"n",0.444444444444444,0.0872851555193555,4.1,22.7,27,0.124208680632935,2
"65","12.8","0",0.523809523809524,"n",0.44,0.108510073771745,3.7,26.1,25,0.153715160504045,2
"66","14.3","0",0.473684210526316,"n",0.391304347826087,0.131104432984353,3.1,29.5,23,0.18180159202578,2
"67","15.7","0",0.6,"n",0.517241379310345,0.0816166124591625,5.6,27,29,0.191424223305194,2
"68","17.1","0",0.6,"n",0.517241379310345,0.0830562956474923,6.3,29,29,0.211866187738025,2
"69","18.6","0",0.67741935483871,"n",0.6,0.0536761834411463,9.6,24.5,35,0.21088187286358,2
"70","20","0",0.714285714285714,"n",0.641025641025641,0.0403373301221553,12.1,21,39,0.21088187286358,2
"71","7.1","1",0.0555555555555556,"n",0.0416666666666667,0.0977344855435927,2.3,17.6,24,0.0581388249819421,2
"72","8.5","1",0.1875,"n",0.15,0.148455946702849,1.4,21.1,20,0.0774996901503023,2
"73","10","1",0.125,"n",0.1,0.154119997746325,1.4,23.5,20,0.101598148942839,2
"74","11.4","1",0.173913043478261,"n",0.148148148148148,0.0872851555193555,4.1,22.7,27,0.124208680632935,2
"75","12.8","1",0.142857142857143,"n",0.12,0.108510073771745,3.7,26.1,25,0.153715160504045,2
"76","14.3","1",0.157894736842105,"n",0.130434782608696,0.131104432984353,3.1,29.5,23,0.18180159202578,2
"77","15.7","1",0.08,"n",0.0689655172413793,0.0816166124591625,5.6,27,29,0.191424223305194,2
"78","17.1","1",0.12,"n",0.103448275862069,0.0830562956474923,6.3,29,29,0.211866187738025,2
"79","18.6","1",0.0967741935483871,"n",0.0857142857142857,0.0536761834411463,9.6,24.5,35,0.21088187286358,2
"80","20","1",0.0857142857142857,"n",0.0769230769230769,0.0403373301221553,12.1,21,39,0.21088187286358,2
"81","7.1","2",0.333333333333333,"n",0.25,0.0977344855435927,2.3,17.6,24,0.0581388249819421,2
"82","8.5","2",0.4375,"n",0.35,0.148455946702849,1.4,21.1,20,0.0774996901503023,2
"83","10","2",0.5,"n",0.4,0.154119997746325,1.4,23.5,20,0.101598148942839,2
"84","11.4","2",0.304347826086957,"n",0.259259259259259,0.0872851555193555,4.1,22.7,27,0.124208680632935,2
"85","12.8","2",0.333333333333333,"n",0.28,0.108510073771745,3.7,26.1,25,0.153715160504045,2
"86","14.3","2",0.368421052631579,"n",0.304347826086957,0.131104432984353,3.1,29.5,23,0.18180159202578,2
"87","15.7","2",0.32,"n",0.275862068965517,0.0816166124591625,5.6,27,29,0.191424223305194,2
"88","17.1","2",0.28,"n",0.241379310344828,0.0830562956474923,6.3,29,29,0.211866187738025,2
"89","18.6","2",0.225806451612903,"n",0.2,0.0536761834411463,9.6,24.5,35,0.21088187286358,2
"90","20","2",0.2,"n",0.179487179487179,0.0403373301221553,12.1,21,39,0.21088187286358,2
"91","7.1","0",0,"a",0,0.0977344855435927,2.3,17.6,24,0.0581388249819421,2
"92","8.5","0",0,"a",0,0.148455946702849,1.4,21.1,20,0.0774996901503023,2
"93","10","0",0,"a",0,0.154119997746325,1.4,23.5,20,0.101598148942839,2
"94","11.4","0",0,"a",0,0.0872851555193555,4.1,22.7,27,0.124208680632935,2
"95","12.8","0",0,"a",0,0.108510073771745,3.7,26.1,25,0.153715160504045,2
"96","14.3","0",0,"a",0,0.131104432984353,3.1,29.5,23,0.18180159202578,2
"97","15.7","0",0,"a",0,0.0816166124591625,5.6,27,29,0.191424223305194,2
"98","17.1","0",0,"a",0,0.0830562956474923,6.3,29,29,0.211866187738025,2
"99","18.6","0",0,"a",0,0.0536761834411463,9.6,24.5,35,0.21088187286358,2
"100","20","0",0,"a",0,0.0403373301221553,12.1,21,39,0.21088187286358,2
