"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","ka"
"255","12.8","1",0.04,"n",0.0333333333333333,0.0734807024565158,6,23.5,30,0.153035207978953,1.3
"256","14.3","1",0.0434782608695652,"n",0.0357142857142857,0.0891714273953147,5.7,27.1,28,0.184258591645921,1.3
"257","15.7","1",0.0333333333333333,"n",0.0285714285714286,0.0527245128719696,9.7,22.9,35,0.191424223305194,1.3
"258","17.1","1",0.0545454545454545,"n",0.0508474576271186,0.00844894174837575,26.7,0,59,0.162498431717372,1.3
"259","18.6","1",0.0185185185185185,"n",0.0169491525423729,0.00890637306451266,28.1,0,59,0.179341165253211,1.3
"260","20","1",0.0185185185185185,"n",0.0169491525423729,0.0091132135123259,29.8,0,59,0.199404034954092,1.3
"261","7.1","2",0.212121212121212,"n",0.194444444444444,0.0351654643962397,5.6,12.8,36,0.0519611223828166,1.3
"262","8.5","2",0.25,"n",0.225806451612903,0.0574448132072585,4.8,17.4,31,0.0774996901503023,1.3
"263","10","2",0.291666666666667,"n",0.259259259259259,0.0851740197641718,4.3,22,27,0.112063315447455,1.3
"264","11.4","2",0.318181818181818,"n",0.269230769230769,0.0975313291495229,4.2,24.4,26,0.137256635097068,1.3
"265","12.8","2",0.28,"n",0.233333333333333,0.0734807024565158,6,23.5,30,0.153035207978953,1.3
"266","14.3","2",0.304347826086957,"n",0.25,0.0891714273953147,5.7,27.1,28,0.184258591645921,1.3
"267","15.7","2",0.233333333333333,"n",0.2,0.0527245128719696,9.7,22.9,35,0.191424223305194,1.3
"268","17.1","2",0.127272727272727,"n",0.11864406779661,0.00844894174837575,26.7,0,59,0.162498431717372,1.3
"269","18.6","2",0.12962962962963,"n",0.11864406779661,0.00890637306451266,28.1,0,59,0.179341165253211,1.3
"270","20","2",0.12962962962963,"n",0.11864406779661,0.0091132135123259,29.8,0,59,0.199404034954092,1.3
"271","7.1","0",0,"a",0,0.0351654643962397,5.6,12.8,36,0.0519611223828166,1.3
