"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","ya","yn","yn_ya"
"165","12.8","1",0.0555555555555556,"a",0.0508474576271186,0.0483063138930763,8.6,0,59,0.0386570823899577,0.5,1,2
"166","14.3","1",0.12962962962963,"a",0.11864406779661,0.0484332660179724,9.9,0,59,0.0473119984750308,0.5,1,2
"167","15.7","1",0.12962962962963,"a",0.11864406779661,0.049358903482084,10.6,0,59,0.0562195528653911,0.5,1,2
"168","17.1","1",0.12962962962963,"a",0.11864406779661,0.0502537619109113,11.3,0,59,0.0663383787318634,0.5,1,2
"169","18.6","1",0.12962962962963,"a",0.11864406779661,0.0511425888071682,11.5,0,59,0.0777594716106196,0.5,1,2
"170","20","1",0.12962962962963,"a",0.11864406779661,0.0529750563161173,11.8,0,59,0.0877523638826425,0.5,1,2
"171","7.1","2",0.0925925925925926,"a",0.0847457627118644,0.0387271061963275,5.4,0,59,0.0163581058374281,0.5,1,2
"172","8.5","2",0.0925925925925926,"a",0.0847457627118644,0.0411716321269777,6.8,0,59,0.0212754621715009,0.5,1,2
"173","10","2",0.0925925925925926,"a",0.0847457627118644,0.0437675334366427,8.3,0,59,0.0280168332118403,0.5,1,2
"174","11.4","2",0.111111111111111,"a",0.101694915254237,0.0472446377368834,8.6,0,59,0.0342029517147445,0.5,1,2
"175","12.8","2",0.111111111111111,"a",0.101694915254237,0.0483063138930763,8.6,0,59,0.0386570823899577,0.5,1,2
"176","14.3","2",0.0740740740740741,"a",0.0677966101694915,0.0484332660179724,9.9,0,59,0.0473119984750308,0.5,1,2
"177","15.7","2",0.0740740740740741,"a",0.0677966101694915,0.049358903482084,10.6,0,59,0.0562195528653911,0.5,1,2
"178","17.1","2",0.0740740740740741,"a",0.0677966101694915,0.0502537619109113,11.3,0,59,0.0663383787318634,0.5,1,2
"179","18.6","2",0.0740740740740741,"a",0.0677966101694915,0.0511425888071682,11.5,0,59,0.0777594716106196,0.5,1,2
"180","20","2",0.0740740740740741,"a",0.0677966101694915,0.0529750563161173,11.8,0,59,0.0877523638826425,0.5,1,2
"181","7.1","0",0.615384615384615,"n",0.363636363636364,0.150681612973004,1.8,18.2,22,0.0581388249819421,0.7,1,1.42857142857143
"182","8.5","0",0.6,"n",0.444444444444444,0.0958026661275446,2.8,18.4,27,0.0715144725738188,0.7,1,1.42857142857143
"183","10","0",0.384615384615385,"n",0.227272727272727,0.15613620981523,1.8,22.9,22,0.101598148942839,0.7,1,1.42857142857143
"184","11.4","0",0,"n",0,0.14962614978351,2.7,21.8,26,0.104828335740565,0.7,1,1.42857142857143
"185","12.8","0",0,"n",0,0.125412628462803,3.3,21.2,29,0.114064668269126,0.7,1,1.42857142857143
"186","14.3","0",0,"n",0,0.156356035120934,2.7,25.3,26,0.148256093072167,0.7,1,1.42857142857143
"187","15.7","0",0.444444444444444,"n",0.148148148148148,0.139713393184868,3.2,26.7,27,0.173605354280564,0.7,1,1.42857142857143
"188","17.1","0",0.6875,"n",0.323529411764706,0.0801057958062579,6.6,22.7,34,0.177426591361112,0.7,1,1.42857142857143
"189","18.6","0",0.642857142857143,"n",0.25,0.0738141827232398,7.5,21.8,36,0.186076914286697,0.7,1,1.42857142857143
"190","20","0",0.444444444444444,"n",0.111111111111111,0.0822549564887464,7,21.8,36,0.186076914286697,0.7,1,1.42857142857143
"191","7.1","1",0.0769230769230769,"n",0.0454545454545455,0.150681612973004,1.8,18.2,22,0.0581388249819421,0.7,1,1.42857142857143
"192","8.5","1",0,"n",0,0.0958026661275446,2.8,18.4,27,0.0715144725738188,0.7,1,1.42857142857143
"193","10","1",0,"n",0,0.15613620981523,1.8,22.9,22,0.101598148942839,0.7,1,1.42857142857143
"194","11.4","1",0,"n",0,0.14962614978351,2.7,21.8,26,0.104828335740565,0.7,1,1.42857142857143
"195","12.8","1",0,"n",0,0.125412628462803,3.3,21.2,29,0.114064668269126,0.7,1,1.42857142857143
"196","14.3","1",0,"n",0,0.156356035120934,2.7,25.3,26,0.148256093072167,0.7,1,1.42857142857143
"197","15.7","1",0,"n",0,0.139713393184868,3.2,26.7,27,0.173605354280564,0.7,1,1.42857142857143
"198","17.1","1",0,"n",0,0.0801057958062579,6.6,22.7,34,0.177426591361112,0.7,1,1.42857142857143
"199","18.6","1",0,"n",0,0.0738141827232398,7.5,21.8,36,0.186076914286697,0.7,1,1.42857142857143
"200","20","1",0,"n",0,0.0822549564887464,7,21.8,36,0.186076914286697,0.7,1,1.42857142857143
"201","7.1","2",0.307692307692308,"n",0.181818181818182,0.150681612973004,1.8,18.2,22,0.0581388249819421,0.7,1,1.42857142857143
"202","8.5","2",0.4,"n",0.296296296296296,0.0958026661275446,2.8,18.4,27,0.0715144725738188,0.7,1,1.42857142857143
"203","10","2",0.615384615384615,"n",0.363636363636364,0.15613620981523,1.8,22.9,22,0.101598148942839,0.7,1,1.42857142857143
"204","11.4","2",1,"n",0.192307692307692,0.14962614978351,2.7,21.8,26,0.104828335740565,0.7,1,1.42857142857143
"205","12.8","2",1,"n",0.172413793103448,0.125412628462803,3.3,21.2,29,0.114064668269126,0.7,1,1.42857142857143
"206","14.3","2",1,"n",0.192307692307692,0.156356035120934,2.7,25.3,26,0.148256093072167,0.7,1,1.42857142857143
"207","15.7","2",0.555555555555556,"n",0.185185185185185,0.139713393184868,3.2,26.7,27,0.173605354280564,0.7,1,1.42857142857143
"208","17.1","2",0.3125,"n",0.147058823529412,0.0801057958062579,6.6,22.7,34,0.177426591361112,0.7,1,1.42857142857143
"209","18.6","2",0.357142857142857,"n",0.138888888888889,0.0738141827232398,7.5,21.8,36,0.186076914286697,0.7,1,1.42857142857143
"210","20","2",0.555555555555556,"n",0.138888888888889,0.0822549564887464,7,21.8,36,0.186076914286697,0.7,1,1.42857142857143
"211","7.1","0",0.111111111111111,"a",0.0454545454545455,0.150681612973004,1.8,18.2,22,0.0581388249819421,0.7,1,1.42857142857143
"212","8.5","0",0,"a",0,0.0958026661275446,2.8,18.4,27,0.0715144725738188,0.7,1,1.42857142857143
"213","10","0",0.111111111111111,"a",0.0454545454545455,0.15613620981523,1.8,22.9,22,0.101598148942839,0.7,1,1.42857142857143
"214","11.4","0",0.619047619047619,"a",0.5,0.14962614978351,2.7,21.8,26,0.104828335740565,0.7,1,1.42857142857143
"215","12.8","0",0.666666666666667,"a",0.551724137931034,0.125412628462803,3.3,21.2,29,0.114064668269126,0.7,1,1.42857142857143
"216","14.3","0",0.619047619047619,"a",0.5,0.156356035120934,2.7,25.3,26,0.148256093072167,0.7,1,1.42857142857143
"217","15.7","0",0.555555555555556,"a",0.37037037037037,0.139713393184868,3.2,26.7,27,0.173605354280564,0.7,1,1.42857142857143
