"","Time","Wstart","A","h","S.day","Fit","Beh","S.cum","W"
"232",52,"11.4",26,"o",0.89903716559663,0.00642335059396634,0,0.00394854933374159,27.4
"233",53,"11.4",26,"o",0.89903716559663,0.0067143496151137,0,0.0035498926012255,27.8
"234",54,"11.4",26,"o",0.89903716559663,0.007015437771606,0,0.00319148538237822,28.2
"235",55,"11.4",26,"o",0.89903716559663,0.00756333308667456,0,0.0028692639722164,28.5
"236",56,"11.4",26,"o",0.89903716559663,0.00815744771820909,0,0.00257957494892996,28.8
"237",57,"11.4",26,"o",0.89903716559663,0.00880213764611248,0,0.00231913375053006,29.1
"238",58,"11.4",26,"o",0.89903716559663,0.00950223582289024,0,0.00208498743371602,29.4
"239",59,"11.4",26,"o",0.89903716559663,0.0102631153053862,0,0.00187448119271265,29.7
"240",60,"11.4",26,"o",NA,NA,NA,NA,30
"241",1,"12.8",1,"a",0.899208000325557,0.000726909357087508,0,0.899208000325557,12.8
"242",2,"12.8",1,"a",0.899208000325557,0.000798735836725642,0,0.808575027849487,13
"243",3,"12.8",1,"a",0.899208000325557,0.000879534911756248,0,0.727077133905718,13.2
"244",4,"12.8",1,"a",0.899208000325557,0.000965079904839479,0,0.653793575661798,13.4
"245",5,"12.8",1,"a",0.899208000325557,0.00106022132862045,0,0.587896413796541,13.6
"246",6,"12.8",1,"a",0.899208000325557,0.00116343118361683,2,0.528641158648554,13.8
"247",7,"12.8",3,"n",0.899208000325557,0.00128811723262873,2,0.475358359158152,13.9
"248",8,"12.8",5,"a",0.899208000325557,0.00142572970660353,0,0.42744603957664,14
"249",9,"12.8",5,"a",0.899208000325557,0.00156726445989485,2,0.384362898494789,14.2
"250",10,"12.8",7,"n",0.899208000325557,0.00173577871793312,2,0.345622193354834,14.3
"251",11,"12.8",9,"n",0.899208000325557,0.00191332566971765,2,0.310786241354733,14.4
"252",12,"12.8",11,"a",0.899208000325557,0.00211598872656797,2,0.279461474617286,14.5
"253",13,"12.8",13,"n",0.899208000325557,0.00234373822678968,2,0.251293993758641,14.6
"254",14,"12.8",15,"n",0.899208000325557,0.00258903367579657,2,0.22596556962153,14.7
"255",15,"12.8",17,"n",0.899208000325557,0.00285300406279098,2,0.203190048001802,14.8
"256",16,"12.8",19,"a",0.899208000325557,0.00313301653315585,2,0.182710116749754,14.9
"257",17,"12.8",21,"n",0.899208000325557,0.00335044867470828,0,0.164294398721795,15
"258",18,"12.8",21,"n",0.899208000325557,0.00365680956895948,2,0.147734837739315,15.2
"259",19,"12.8",23,"n",0.899208000325557,0.00389935087563096,2,0.13284434802199,15.3
"260",20,"12.8",25,"a",0.899208000325557,0.00422929268799642,2,0.119454700539406,15.4
"261",21,"12.8",26,"o",0.899208000325557,0.00463288987980834,0,0.107414622401528,15.5
"262",22,"12.8",26,"o",0.899208000325557,0.00487716087278287,0,0.0965880878154026,15.8
"263",23,"12.8",26,"o",0.899208000325557,0.00523224035060914,0,0.0868527812997575,16.1
"264",24,"12.8",26,"o",0.899208000325557,0.00512484336792002,0,0.0780987157952679,16.4
"265",25,"12.8",26,"o",0.899208000325557,0.00549518845645074,0,0.0702269900582568,16.7
"266",26,"12.8",26,"o",0.899208000325557,0.00549571615664127,0,0.0631486712991679,17
"267",27,"12.8",26,"o",0.899208000325557,0.00573687664031334,0,0.0567837904421406,17.3
"268",28,"12.8",26,"o",0.899208000325557,0.00580821014310914,0,0.0510604386543827,17.7
"269",29,"12.8",26,"o",0.899208000325557,0.0059381541459626,0,0.0459139549381533,18.1
"270",30,"12.8",26,"o",0.899208000325557,0.00584109450496406,0,0.0412861956069745,18.5
"271",31,"12.8",26,"o",0.899208000325557,0.00579087710185218,0,0.0371248773927974,18.9
"272",32,"12.8",26,"o",0.899208000325557,0.00580931768950654,0,0.0333829867627088,19.3
"273",33,"12.8",26,"o",0.899208000325557,0.00574543061645247,0,0.0300182487717899,19.8
"274",34,"12.8",26,"o",0.899208000325557,0.00549333627366867,0,0.0269926494513563,20.3
"275",35,"12.8",26,"o",0.899208000325557,0.00552206438337883,0,0.0242720063366428,20.8
"276",36,"12.8",26,"o",0.899208000325557,0.0051338673471134,0,0.0218255822818619,21.3
"277",37,"12.8",26,"o",0.899208000325557,0.00522875527142355,0,0.0196257381996139,21.8
"278",38,"12.8",26,"o",0.899208000325557,0.00518205964656911,0,0.0176476208013877,22.3
"279",39,"12.8",26,"o",0.899208000325557,0.00494447666050019,0,0.0158688818113196,22.8
"280",40,"12.8",26,"o",0.899208000325557,0.00501675441373006,0,0.0142694254809593,23.3
"281",41,"12.8",26,"o",0.899208000325557,0.00499693282259893,0,0.0128311815525279,23.8
"282",42,"12.8",26,"o",0.899208000325557,0.00487715958226195,0,0.0115379011056628,24.3
"283",43,"12.8",26,"o",0.899208000325557,0.00498638175132682,0,0.0103749729811771,24.8
"284",44,"12.8",26,"o",0.899208000325557,0.00505011271897091,0,0.00932925870783593,25.3
"285",45,"12.8",26,"o",0.899208000325557,0.00491631854903641,0,0.00838894406719294,25.8
"286",46,"12.8",26,"o",0.899208000325557,0.00512868205726634,0,0.0075434056195035,26.3
"287",47,"12.8",26,"o",0.899208000325557,0.00535051113063084,0,0.00678309068275831,26.8
"288",48,"12.8",26,"o",0.899208000325557,0.00558228956711129,0,0.00609940940887002,27.3
"289",49,"12.8",26,"o",0.899208000325557,0.00547425741002813,0,0.0054846377377169,27.8
"290",50,"12.8",26,"o",0.899208000325557,0.0058295807887923,0,0.0049318301326425,28.2
"291",51,"12.8",26,"o",0.899208000325557,0.00615155125822811,0,0.00443474111151879,28.6
"292",52,"12.8",26,"o",0.899208000325557,0.0064926344548838,0,0.00398775468685035,29
"293",53,"12.8",26,"o",0.899208000325557,0.0068540277140396,0,0.00358582091775157,29.4
"294",54,"12.8",26,"o",0.899208000325557,0.00708994484312377,0,0.00322439885697694,29.8
"295",55,"12.8",26,"o",0.899208000325557,0.00764262515429079,0,0.00289940524843425,30.1
"296",56,"12.8",26,"o",0.899208000325557,0.00824179232621312,0,0.00260716839557798,30.4
"297",57,"12.8",26,"o",0.899208000325557,0.00889180813462979,0,0.00234438667949967,30.7
"298",58,"12.8",26,"o",0.899208000325557,0.00959750885472403,0,0.00210809125806277,31
"299",59,"12.8",26,"o",0.899208000325557,0.0103642675006198,0,0.00189561252466641,31.3
"300",60,"12.8",26,"o",NA,NA,NA,NA,31.6
"301",1,"14.3",1,"a",0.899375772655235,0.000730387290211833,0,0.899375772655235,14.3
"302",2,"14.3",1,"a",0.899375772655235,0.000802857161346133,0,0.808876780439202,14.5
"303",3,"14.3",1,"a",0.899375772655235,0.000883632244767447,0,0.727484179390386,14.7
"304",4,"14.3",1,"a",0.899375772655235,0.000973710356593217,0,0.654281645933689,14.9
"305",5,"14.3",1,"a",0.899375772655235,0.00106721512673128,0,0.588445060845751,15.1
"306",6,"14.3",1,"a",0.899375772655235,0.00117106827525449,2,0.529233231263304,15.3
"307",7,"14.3",3,"n",0.899375772655235,0.00129383989376831,2,0.475979546282261,15.4
"308",8,"14.3",5,"a",0.899375772655235,0.00143250197080361,2,0.428084472205697,15.5
"309",9,"14.3",7,"n",0.899375772655235,0.00158524890749009,0,0.385008802951707,15.6
"310",10,"14.3",7,"n",0.899375772655235,0.00174293874090024,2,0.346267589633759,15.8
"311",11,"14.3",9,"n",0.899375772655235,0.00193034171994097,2,0.311424680972328,15.9
"312",12,"14.3",11,"a",0.899375772655235,0.002127789865109,2,0.280087813073398,16
"313",13,"14.3",13,"n",0.899375772655235,0.00235316937327279,2,0.251904193294202,16.1
"314",14,"14.3",15,"n",0.899375772655235,0.00260644725796605,2,0.226556528479067,16.2
"315",15,"14.3",17,"n",0.899375772655235,0.00287923781245186,2,0.203759452850949,16.3
"316",16,"14.3",19,"a",0.899375772655235,0.00317279657404967,2,0.18325631534363,16.4
"317",17,"14.3",21,"n",0.899375772655235,0.00348419557212742,2,0.164816290206129,16.5
"318",18,"14.3",23,"n",0.899375772655235,0.00372531699142037,0,0.148231778350307,16.6
"319",19,"14.3",23,"n",0.899375772655235,0.00406670043820288,2,0.133316070185867,16.8
"320",20,"14.3",25,"a",0.899375772655235,0.00433642813922831,2,0.119901243630773,16.9
"321",21,"14.3",26,"o",0.899375772655235,0.0047033530467536,0,0.10783627363275,17
"322",22,"14.3",26,"o",0.899375772655235,0.0049088047277211,0,0.0969853319187163,17.3
"323",23,"14.3",26,"o",0.899375772655235,0.00526657574166142,0,0.0872262578306199,17.6
"324",24,"14.3",26,"o",0.899375772655235,0.00535945558079287,0,0.0784491830322386,17.9
"325",25,"14.3",26,"o",0.899375772655235,0.00553487212254467,0,0.0705552946037916,18.2
"326",26,"14.3",26,"o",0.899375772655235,0.00582353713807329,0,0.0634557225992028,18.5
"327",27,"14.3",26,"o",0.899375772655235,0.00588093503735327,0,0.0570705395420543,18.9
"328",28,"14.3",26,"o",0.899375772655235,0.00589790624177217,0,0.0513278605964863,19.3
"329",29,"14.3",26,"o",0.899375772655235,0.00610401271380046,0,0.0461630342827051,19.7
"330",30,"14.3",26,"o",0.899375772655235,0.00597496869774059,0,0.041517914626118,20.1
"331",31,"14.3",26,"o",0.899375772655235,0.00605773783084482,0,0.037340206545899,20.5
"332",32,"14.3",26,"o",0.899375772655235,0.00586304490329956,0,0.033582877113324,20.9
"333",33,"14.3",26,"o",0.899375772655235,0.00594202956019813,0,0.0302036260517816,21.4
"334",34,"14.3",26,"o",0.899375772655235,0.00554726883575526,0,0.0271644095173109,21.9
"335",35,"14.3",26,"o",0.899375772655235,0.00567638130955618,0,0.0244310117983547,22.4
"336",36,"14.3",26,"o",0.899375772655235,0.00560464825914306,0,0.0219726601128944,22.9
"337",37,"14.3",26,"o",0.899375772655235,0.00538686146618583,0,0.0197616781663253,23.4
"338",38,"14.3",26,"o",0.899375772655235,0.00543705236651178,0,0.0177731745698029,23.9
"339",39,"14.3",26,"o",0.899375772655235,0.00504896455451045,0,0.0159847626112529,24.4
"340",40,"14.3",26,"o",0.899375772655235,0.00521990971101697,0,0.0143763082242061,24.9
"341",41,"14.3",26,"o",0.899375772655235,0.00524745032551922,0,0.0129297033170751,25.4
"342",42,"14.3",26,"o",0.899375772655235,0.00493055736530764,0,0.0116286619109974,25.9
"343",43,"14.3",26,"o",0.899375772655235,0.00509369744514202,0,0.0104585367911498,26.4
"344",44,"14.3",26,"o",0.899375772655235,0.00520717501933596,0,0.00940615460738357,26.9
"345",45,"14.3",26,"o",0.899375772655235,0.004970785165638,0,0.0084596675677302,27.4
"346",46,"14.3",26,"o",0.899375772655235,0.0051853235627446,0,0.00760842005513379,27.9
"347",47,"14.3",26,"o",0.899375772655235,0.00540939168123021,0,0.00684282866577154,28.4
"348",48,"14.3",26,"o",0.899375772655235,0.00564347542193264,0,0.00615427431842567,28.9
"349",49,"14.3",26,"o",0.899375772655235,0.00553458845644479,0,0.00553500522026636,29.4
"350",50,"14.3",26,"o",0.899375772655235,0.00589333847459013,0,0.00497804959662782,29.8
"351",51,"14.3",26,"o",0.899375772655235,0.00621830835290227,0,0.00447713720228323,30.2
"352",52,"14.3",26,"o",0.899375772655235,0.00656250866699473,0,0.00402662873058698,30.6
"353",53,"14.3",26,"o",0.899375772655235,0.00692714069890197,0,0.00362145232576744,31
"354",54,"14.3",26,"o",0.899375772655235,0.00723956238820641,0,0.00325704648362119,31.4
"355",55,"14.3",26,"o",0.899375772655235,0.00772260470945678,0,0.00292930869778082,31.8
"356",56,"14.3",26,"o",0.899375772655235,0.0083268750644472,0,0.00263454927341233,32.1
"357",57,"14.3",26,"o",0.899375772655235,0.00898227223131714,0,0.0023694497883735,32.4
"358",58,"14.3",26,"o",0.899375772655235,0.0096936365613414,0,0.0021310257341862,32.7
"359",59,"14.3",26,"o",0.899375772655235,0.0104663419582044,0,0.00191659291623191,33
"360",60,"14.3",26,"o",NA,NA,NA,NA,33.3
"361",1,"15.7",1,"a",0.899540576564082,0.000734958435933752,0,0.899540576564082,15.7
"362",2,"15.7",1,"a",0.899540576564082,0.00080838844496972,0,0.809173248885242,15.9
"363",3,"15.7",1,"a",0.899540576564082,0.000888265936731502,0,0.727884170842462,16.1
"364",4,"15.7",1,"a",0.899540576564082,0.000978121759857357,0,0.654761346711498,16.3
"365",5,"15.7",1,"a",0.899540576564082,0.0010732554698024,0,0.588984399332736,16.5
"366",6,"15.7",1,"a",0.899540576564082,0.00117906127195998,2,0.529815366163019,16.7
"367",7,"15.7",3,"n",0.899540576564082,0.00130209008387799,2,0.476590419950792,16.8
"368",8,"15.7",5,"a",0.899540576564082,0.00143859767308218,2,0.428712421147454,16.9
"369",9,"15.7",7,"n",0.899540576564082,0.00159277358180822,2,0.385644218499165,17
"370",10,"15.7",9,"n",0.899540576564082,0.00176229296801611,0,0.346902622657344,17.1
"371",11,"15.7",9,"n",0.899540576564082,0.00193794273082823,2,0.312052985196779,17.3
"372",12,"15.7",11,"a",0.899540576564082,0.00214631278563576,2,0.280704322222454,17.4
"373",13,"15.7",13,"n",0.899540576564082,0.00236585188283103,2,0.252504927856016,17.5
"374",14,"15.7",15,"n",0.899540576564082,0.00261644736807342,2,0.227138428388873,17.6
"375",15,"15.7",17,"n",0.899540576564082,0.00289806256429503,2,0.204320232832786,17.7
"376",16,"15.7",19,"a",0.899540576564082,0.00320137355262691,2,0.183794340046112,17.8
"377",17,"15.7",21,"n",0.899540576564082,0.00352777634278784,2,0.165330466614295,17.9
"378",18,"15.7",23,"n",0.888750755891937,0.00387401537606577,1,0.146937577175421,18
"379",19,"15.7",24,"a",0.899540576564082,0.00414136852994619,0,0.132176312891308,18.2
"380",20,"15.7",24,"a",0.899540576564082,0.00451914218949789,2,0.118897956706361,18.4
"381",21,"15.7",26,"o",0.899540576564082,0.00482159768038429,0,0.106953536527932,18.5
"382",22,"15.7",26,"o",0.899540576564082,0.00494038234647916,0,0.0962090459139033,18.8
"383",23,"15.7",26,"o",0.899540576564082,0.00536509820181046,0,0.0865439406320728,19.1
"384",24,"15.7",26,"o",0.899540576564082,0.00552964764044721,0,0.0778497862543025,19.4
"385",25,"15.7",26,"o",0.899540576564082,0.00565948405674489,0,0.0700290416125859,19.7
"386",26,"15.7",26,"o",0.899540576564082,0.0060370514184011,0,0.0629939644684156,20
"387",27,"15.7",26,"o",0.899540576564082,0.00602378730230993,0,0.0566656271179759,20.4
"388",28,"15.7",26,"o",0.899540576564082,0.00628282286751914,0,0.0509730308890693,20.8
"389",29,"15.7",26,"o",0.899540576564082,0.00627979311692288,0,0.0458523095951722,21.2
"390",30,"15.7",26,"o",0.899540576564082,0.00607423061238324,0,0.041246013010036,21.6
"391",31,"15.7",26,"o",0.899540576564082,0.00620192846616464,0,0.0371024623240175,22
"392",32,"15.7",26,"o",0.899540576564082,0.00596228794861064,0,0.0333751703508938,22.4
