"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","ya"
"103","10","1",0.166666666666667,"a",0.152542372881356,0.107236457925881,5.5,0,59,0.3
"104","11.4","1",0.166666666666667,"a",0.152542372881356,0.107677361262291,5.5,0,59,0.3
"105","12.8","1",0.166666666666667,"a",0.152542372881356,0.108111935595046,5.5,0,59,0.3
"106","14.3","1",0.166666666666667,"a",0.152542372881356,0.108540345854922,5.5,0,59,0.3
"107","15.7","1",0.28,"a",0.233333333333333,0.275703275713529,2.6,12.8,30,0.3
"108","17.1","1",0.269230769230769,"a",0.225806451612903,0.267700135878884,2.6,12.5,31,0.3
"109","18.6","1",0.291666666666667,"a",0.241379310344828,0.285842077646701,2.5,13.4,29,0.3
"110","20","1",0.269230769230769,"a",0.225806451612903,0.268904272357684,2.7,12.5,31,0.3
"111","7.1","2",0.0555555555555556,"a",0.0508474576271186,0.106334971388147,5.5,0,59,0.3
"112","8.5","2",0.0555555555555556,"a",0.0508474576271186,0.106789054098693,5.5,0,59,0.3
"113","10","2",0.0555555555555556,"a",0.0508474576271186,0.107236457925881,5.5,0,59,0.3
"114","11.4","2",0.0555555555555556,"a",0.0508474576271186,0.107677361262291,5.5,0,59,0.3
"115","12.8","2",0.0555555555555556,"a",0.0508474576271186,0.108111935595046,5.5,0,59,0.3
"116","14.3","2",0.0555555555555556,"a",0.0508474576271186,0.108540345854922,5.5,0,59,0.3
"117","15.7","2",0.16,"a",0.133333333333333,0.275703275713529,2.6,12.8,30,0.3
"118","17.1","2",0.153846153846154,"a",0.129032258064516,0.267700135878884,2.6,12.5,31,0.3
"119","18.6","2",0.166666666666667,"a",0.137931034482759,0.285842077646701,2.5,13.4,29,0.3
"120","20","2",0.153846153846154,"a",0.129032258064516,0.268904272357684,2.7,12.5,31,0.3
"121","7.1","0",0,"n",0,0.188216682122283,2.1,13.4,27,0.5
"122","8.5","0",0,"n",0,0.186557920155855,2.1,13.6,27,0.5
"123","10","0",0,"n",0,0.166202143577835,2.5,12.8,29,0.5
"124","11.4","0",0,"n",0,0.166749889711567,2.4,12.9,29,0.5
"125","12.8","0",0,"n",0,0.18072570480596,2.2,13.5,28,0.5
"126","14.3","0",0,"n",0,0.179108336010396,2.2,13.6,28,0.5
"127","15.7","0",0,"n",0,0.15966459820595,2.6,12.8,30,0.5
"128","17.1","0",0,"n",0,0.160168288524527,2.5,13,30,0.5
"129","18.6","0",0,"n",0,0.16936853851779,2.4,13.4,29,0.5
"130","20","0",0,"n",0,0.203807605631511,2,14.6,26,0.5
"131","7.1","1",0,"n",0,0.188216682122283,2.1,13.4,27,0.5
"132","8.5","1",0,"n",0,0.186557920155855,2.1,13.6,27,0.5
"133","10","1",0,"n",0,0.166202143577835,2.5,12.8,29,0.5
"134","11.4","1",0,"n",0,0.166749889711567,2.4,12.9,29,0.5
"135","12.8","1",0,"n",0,0.18072570480596,2.2,13.5,28,0.5
"136","14.3","1",0,"n",0,0.179108336010396,2.2,13.6,28,0.5
"137","15.7","1",0,"n",0,0.15966459820595,2.6,12.8,30,0.5
"138","17.1","1",0,"n",0,0.160168288524527,2.5,13,30,0.5
"139","18.6","1",0,"n",0,0.16936853851779,2.4,13.4,29,0.5
"140","20","1",0,"n",0,0.203807605631511,2,14.6,26,0.5
"141","7.1","2",1,"n",0.185185185185185,0.188216682122283,2.1,13.4,27,0.5
"142","8.5","2",1,"n",0.185185185185185,0.186557920155855,2.1,13.6,27,0.5
"143","10","2",1,"n",0.172413793103448,0.166202143577835,2.5,12.8,29,0.5
"144","11.4","2",1,"n",0.172413793103448,0.166749889711567,2.4,12.9,29,0.5
"145","12.8","2",1,"n",0.178571428571429,0.18072570480596,2.2,13.5,28,0.5
"146","14.3","2",1,"n",0.178571428571429,0.179108336010396,2.2,13.6,28,0.5
"147","15.7","2",1,"n",0.166666666666667,0.15966459820595,2.6,12.8,30,0.5
"148","17.1","2",1,"n",0.166666666666667,0.160168288524527,2.5,13,30,0.5
"149","18.6","2",1,"n",0.172413793103448,0.16936853851779,2.4,13.4,29,0.5
"150","20","2",1,"n",0.192307692307692,0.203807605631511,2,14.6,26,0.5
"151","7.1","0",0.590909090909091,"a",0.481481481481481,0.188216682122283,2.1,13.4,27,0.5
"152","8.5","0",0.545454545454545,"a",0.444444444444444,0.186557920155855,2.1,13.6,27,0.5
"153","10","0",0.541666666666667,"a",0.448275862068966,0.166202143577835,2.5,12.8,29,0.5
"154","11.4","0",0.541666666666667,"a",0.448275862068966,0.166749889711567,2.4,12.9,29,0.5
