"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","ka","kn","kn_ka"
"40","20","0",0,"a",0,0.0890400375614523,6.1,34.8,26,0.242195078873512,0.9,1.3,1.44444444444444
"41","7.1","1",0,"a",0,0.202794793464586,0.4,19.6,15,0.0590637549557212,0.9,1.3,1.44444444444444
"42","8.5","1",0,"a",0,0.122501738726578,1.4,21.1,20,0.0774996901503023,0.9,1.3,1.44444444444444
"43","10","1",0,"a",0,0.09333622520455,3,23.6,23,0.112729240671452,0.9,1.3,1.44444444444444
"44","11.4","1",0,"a",0,0.120224563558313,2.6,26.5,21,0.138634548269411,0.9,1.3,1.44444444444444
"45","12.8","1",0,"a",0,0.149002813797138,2,29,19,0.161135256529652,0.9,1.3,1.44444444444444
"46","14.3","1",0,"a",0,0.107119135764599,3.4,29.7,23,0.184258591645921,0.9,1.3,1.44444444444444
"47","15.7","1",0,"a",0,0.132115240585531,3.1,33,21,0.208881854681059,0.9,1.3,1.44444444444444
"48","17.1","1",0,"a",0,0.179344600014668,1.9,35.8,18,0.222425196947694,0.9,1.3,1.44444444444444
"49","18.6","1",0.2,"a",0.0434782608695652,0.113665473850418,4.3,35.8,23,0.236538023744143,0.9,1.3,1.44444444444444
"50","20","1",0,"a",0,0.0890400375614523,6.1,34.8,26,0.242195078873512,0.9,1.3,1.44444444444444
"51","7.1","2",1,"a",0.333333333333333,0.202794793464586,0.4,19.6,15,0.0590637549557212,0.9,1.3,1.44444444444444
"52","8.5","2",1,"a",0.2,0.122501738726578,1.4,21.1,20,0.0774996901503023,0.9,1.3,1.44444444444444
"53","10","2",1,"a",0.130434782608696,0.09333622520455,3,23.6,23,0.112729240671452,0.9,1.3,1.44444444444444
"54","11.4","2",1,"a",0.19047619047619,0.120224563558313,2.6,26.5,21,0.138634548269411,0.9,1.3,1.44444444444444
"55","12.8","2",1,"a",0.210526315789474,0.149002813797138,2,29,19,0.161135256529652,0.9,1.3,1.44444444444444
"56","14.3","2",1,"a",0.217391304347826,0.107119135764599,3.4,29.7,23,0.184258591645921,0.9,1.3,1.44444444444444
"57","15.7","2",1,"a",0.238095238095238,0.132115240585531,3.1,33,21,0.208881854681059,0.9,1.3,1.44444444444444
"58","17.1","2",1,"a",0.277777777777778,0.179344600014668,1.9,35.8,18,0.222425196947694,0.9,1.3,1.44444444444444
"59","18.6","2",0.8,"a",0.173913043478261,0.113665473850418,4.3,35.8,23,0.236538023744143,0.9,1.3,1.44444444444444
"60","20","2",1,"a",0.192307692307692,0.0890400375614523,6.1,34.8,26,0.242195078873512,0.9,1.3,1.44444444444444
"61","7.1","0",0.6,"n",0.409090909090909,0.0988401335587552,1.9,18.2,22,0.0595301993804354,1,1.3,1.3
"62","8.5","0",0.5,"n",0.315789473684211,0.139311428537956,1.3,21.9,19,0.0831983826400026,1,1.3,1.3
"63","10","0",0.529411764705882,"n",0.391304347826087,0.097116619592455,2.9,23.6,23,0.112063315447455,1,1.3,1.3
"64","11.4","0",0.411764705882353,"n",0.333333333333333,0.120224563558313,2.6,26.5,21,0.138634548269411,1,1.3,1.3
"65","12.8","0",0.333333333333333,"n",0.263157894736842,0.149002813797138,2,29,19,0.161135256529652,1,1.3,1.3
"66","14.3","0",0.555555555555556,"n",0.434782608695652,0.107119135764599,3.4,29.7,23,0.184258591645921,1,1.3,1.3
"67","15.7","0",0.5,"n",0.380952380952381,0.132115240585531,3.1,33,21,0.208881854681059,1,1.3,1.3
"68","17.1","0",0.466666666666667,"n",0.35,0.149111570738717,2.8,35,20,0.222425196947694,1,1.3,1.3
"69","18.6","0",0.578947368421053,"n",0.458333333333333,0.105133593033134,4.8,35.2,24,0.236538023744143,1,1.3,1.3
"70","20","0",0.619047619047619,"n",0.5,0.0891261941738952,6.1,34.8,26,0.242487949169602,1,1.3,1.3
"71","7.1","1",0.0666666666666667,"n",0.0454545454545455,0.0988401335587552,1.9,18.2,22,0.0595301993804354,1,1.3,1.3
"72","8.5","1",0.0833333333333333,"n",0.0526315789473684,0.139311428537956,1.3,21.9,19,0.0831983826400026,1,1.3,1.3
"73","10","1",0.0588235294117647,"n",0.0434782608695652,0.097116619592455,2.9,23.6,23,0.112063315447455,1,1.3,1.3
"74","11.4","1",0.176470588235294,"n",0.142857142857143,0.120224563558313,2.6,26.5,21,0.138634548269411,1,1.3,1.3
"75","12.8","1",0.2,"n",0.157894736842105,0.149002813797138,2,29,19,0.161135256529652,1,1.3,1.3
"76","14.3","1",0.0555555555555556,"n",0.0434782608695652,0.107119135764599,3.4,29.7,23,0.184258591645921,1,1.3,1.3
"77","15.7","1",0.0625,"n",0.0476190476190476,0.132115240585531,3.1,33,21,0.208881854681059,1,1.3,1.3
"78","17.1","1",0,"n",0,0.149111570738717,2.8,35,20,0.222425196947694,1,1.3,1.3
"79","18.6","1",0,"n",0,0.105133593033134,4.8,35.2,24,0.236538023744143,1,1.3,1.3
"80","20","1",0,"n",0,0.0891261941738952,6.1,34.8,26,0.242487949169602,1,1.3,1.3
"81","7.1","2",0.333333333333333,"n",0.227272727272727,0.0988401335587552,1.9,18.2,22,0.0595301993804354,1,1.3,1.3
