"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","Ba"
"36","14.3","0",0.636363636363636,"a",0.518518518518518,0.160428280752166,2.9,24.4,27,0.143453824747416,0.1
"37","15.7","0",0.68,"a",0.566666666666667,0.137961649051751,3.2,23.3,30,0.149624696786734,0.1
"38","17.1","0",0.714285714285714,"a",0.606060606060606,0.117298981238044,3.5,21.6,33,0.150990919346264,0.1
"39","18.6","0",0.851851851851852,"a",0.779661016949153,0.0289248832704067,11,0,59,0.0725266478087706,0.1
"40","20","0",0.851851851851852,"a",0.779661016949153,0.0302878915095933,11.3,0,59,0.0821199360446525,0.1
"41","7.1","1",0.0925925925925926,"a",0.0847457627118644,0.0154832830088376,5.4,0,59,0.0161326521034949,0.1
"42","8.5","1",0.0925925925925926,"a",0.0847457627118644,0.0174143010717634,6.8,0,59,0.0210070146870457,0.1
"43","10","1",0.0185185185185185,"a",0.0169491525423729,0.0208307190222117,7.9,0,59,0.0262179971602608,0.1
"44","11.4","1",0.0333333333333333,"a",0.0285714285714286,0.093719783362586,4.5,15.5,35,0.0774996901503023,0.1
"45","12.8","1",0.0384615384615385,"a",0.032258064516129,0.123118465386362,3.7,19.8,31,0.107437993537192,0.1
"46","14.3","1",0.0454545454545455,"a",0.037037037037037,0.160428280752166,2.9,24.4,27,0.143453824747416,0.1
"47","15.7","1",0.04,"a",0.0333333333333333,0.137961649051751,3.2,23.3,30,0.149624696786734,0.1
"48","17.1","1",0.0357142857142857,"a",0.0303030303030303,0.117298981238044,3.5,21.6,33,0.150990919346264,0.1
"49","18.6","1",0.0185185185185185,"a",0.0169491525423729,0.0289248832704067,11,0,59,0.0725266478087706,0.1
"50","20","1",0.0185185185185185,"a",0.0169491525423729,0.0302878915095933,11.3,0,59,0.0821199360446525,0.1
"51","7.1","2",0.0925925925925926,"a",0.0847457627118644,0.0154832830088376,5.4,0,59,0.0161326521034949,0.1
"52","8.5","2",0.0925925925925926,"a",0.0847457627118644,0.0174143010717634,6.8,0,59,0.0210070146870457,0.1
"53","10","2",0.12962962962963,"a",0.11864406779661,0.0208307190222117,7.9,0,59,0.0262179971602608,0.1
"54","11.4","2",0.233333333333333,"a",0.2,0.093719783362586,4.5,15.5,35,0.0774996901503023,0.1
"55","12.8","2",0.269230769230769,"a",0.225806451612903,0.123118465386362,3.7,19.8,31,0.107437993537192,0.1
"56","14.3","2",0.318181818181818,"a",0.259259259259259,0.160428280752166,2.9,24.4,27,0.143453824747416,0.1
"57","15.7","2",0.28,"a",0.233333333333333,0.137961649051751,3.2,23.3,30,0.149624696786734,0.1
"58","17.1","2",0.25,"a",0.212121212121212,0.117298981238044,3.5,21.6,33,0.150990919346264,0.1
"59","18.6","2",0.12962962962963,"a",0.11864406779661,0.0289248832704067,11,0,59,0.0725266478087706,0.1
"60","20","2",0.12962962962963,"a",0.11864406779661,0.0302878915095933,11.3,0,59,0.0821199360446525,0.1
"61","7.1","0",0,"n",0,0.132197840849642,1.2,16.5,24,0.0486627661746853,0.3
"62","8.5","0",0.583333333333333,"n",0.35,0.156801132319104,1.4,20.5,20,0.0720462380582391,0.3
"63","10","0",0.166666666666667,"n",0.037037037037037,0.108346337612229,1.9,19,27,0.0774996901503023,0.3
"64","11.4","0",0,"n",0,0.135573467001608,2.7,21.8,26,0.104828335740565,0.3
"65","12.8","0",0,"n",0,0.18324839829602,1.9,26,22,0.137256635097068,0.3
"66","14.3","0",0,"n",0,0.143721330464885,2.7,25.3,26,0.148256093072167,0.3
"67","15.7","0",0,"n",0,0.157066531894411,2.5,27.5,25,0.171024081496852,0.3
"68","17.1","0",0,"n",0,0.139607238025958,2.3,27.5,27,0.18180159202578,0.3
"69","18.6","0",0,"n",0,0.115691082931266,2.9,25.9,30,0.184867744064211,0.3
"70","20","0",0,"n",0,0.0802329674512407,6.1,21.3,36,0.177426591361112,0.3
"71","7.1","1",0.2,"n",0.0416666666666667,0.132197840849642,1.2,16.5,24,0.0486627661746853,0.3
"72","8.5","1",0,"n",0,0.156801132319104,1.4,20.5,20,0.0720462380582391,0.3
"73","10","1",0,"n",0,0.108346337612229,1.9,19,27,0.0774996901503023,0.3
"74","11.4","1",0,"n",0,0.135573467001608,2.7,21.8,26,0.104828335740565,0.3
"75","12.8","1",0,"n",0,0.18324839829602,1.9,26,22,0.137256635097068,0.3
"76","14.3","1",0,"n",0,0.143721330464885,2.7,25.3,26,0.148256093072167,0.3
"77","15.7","1",0,"n",0,0.157066531894411,2.5,27.5,25,0.171024081496852,0.3
"78","17.1","1",0,"n",0,0.139607238025958,2.3,27.5,27,0.18180159202578,0.3
"79","18.6","1",0,"n",0,0.115691082931266,2.9,25.9,30,0.184867744064211,0.3
"80","20","1",0,"n",0,0.0802329674512407,6.1,21.3,36,0.177426591361112,0.3
"81","7.1","2",0.8,"n",0.166666666666667,0.132197840849642,1.2,16.5,24,0.0486627661746853,0.3
"82","8.5","2",0.416666666666667,"n",0.25,0.156801132319104,1.4,20.5,20,0.0720462380582391,0.3
"83","10","2",0.833333333333333,"n",0.185185185185185,0.108346337612229,1.9,19,27,0.0774996901503023,0.3
"84","11.4","2",1,"n",0.192307692307692,0.135573467001608,2.7,21.8,26,0.104828335740565,0.3
"85","12.8","2",1,"n",0.227272727272727,0.18324839829602,1.9,26,22,0.137256635097068,0.3
"86","14.3","2",1,"n",0.192307692307692,0.143721330464885,2.7,25.3,26,0.148256093072167,0.3
"87","15.7","2",1,"n",0.2,0.157066531894411,2.5,27.5,25,0.171024081496852,0.3
"88","17.1","2",1,"n",0.185185185185185,0.139607238025958,2.3,27.5,27,0.18180159202578,0.3
"89","18.6","2",1,"n",0.166666666666667,0.115691082931266,2.9,25.9,30,0.184867744064211,0.3
"90","20","2",1,"n",0.138888888888889,0.0802329674512407,6.1,21.3,36,0.177426591361112,0.3
"91","7.1","0",0.578947368421053,"a",0.458333333333333,0.132197840849642,1.2,16.5,24,0.0486627661746853,0.3
"92","8.5","0",0,"a",0,0.156801132319104,1.4,20.5,20,0.0720462380582391,0.3
"93","10","0",0.476190476190476,"a",0.37037037037037,0.108346337612229,1.9,19,27,0.0774996901503023,0.3
"94","11.4","0",0.619047619047619,"a",0.5,0.135573467001608,2.7,21.8,26,0.104828335740565,0.3
"95","12.8","0",0.529411764705882,"a",0.409090909090909,0.18324839829602,1.9,26,22,0.137256635097068,0.3
"96","14.3","0",0.619047619047619,"a",0.5,0.143721330464885,2.7,25.3,26,0.148256093072167,0.3
"97","15.7","0",0.6,"a",0.48,0.157066531894411,2.5,27.5,25,0.171024081496852,0.3
"98","17.1","0",0.636363636363636,"a",0.518518518518518,0.139607238025958,2.3,27.5,27,0.18180159202578,0.3
"99","18.6","0",0.68,"a",0.566666666666667,0.115691082931266,2.9,25.9,30,0.184867744064211,0.3
"100","20","0",0.709677419354839,"a",0.611111111111111,0.0802329674512407,6.1,21.3,36,0.177426591361112,0.3
"101","7.1","1",0,"a",0,0.132197840849642,1.2,16.5,24,0.0486627661746853,0.3
"102","8.5","1",0.125,"a",0.05,0.156801132319104,1.4,20.5,20,0.0720462380582391,0.3
"103","10","1",0.333333333333333,"a",0.259259259259259,0.108346337612229,1.9,19,27,0.0774996901503023,0.3
"104","11.4","1",0.0476190476190476,"a",0.0384615384615385,0.135573467001608,2.7,21.8,26,0.104828335740565,0.3
"105","12.8","1",0.0588235294117647,"a",0.0454545454545455,0.18324839829602,1.9,26,22,0.137256635097068,0.3
"106","14.3","1",0.0476190476190476,"a",0.0384615384615385,0.143721330464885,2.7,25.3,26,0.148256093072167,0.3
"107","15.7","1",0.05,"a",0.04,0.157066531894411,2.5,27.5,25,0.171024081496852,0.3
"108","17.1","1",0.0454545454545455,"a",0.037037037037037,0.139607238025958,2.3,27.5,27,0.18180159202578,0.3
"109","18.6","1",0.04,"a",0.0333333333333333,0.115691082931266,2.9,25.9,30,0.184867744064211,0.3
"110","20","1",0.0967741935483871,"a",0.0833333333333333,0.0802329674512407,6.1,21.3,36,0.177426591361112,0.3
"111","7.1","2",0.421052631578947,"a",0.333333333333333,0.132197840849642,1.2,16.5,24,0.0486627661746853,0.3
"112","8.5","2",0.875,"a",0.35,0.156801132319104,1.4,20.5,20,0.0720462380582391,0.3
"113","10","2",0.19047619047619,"a",0.148148148148148,0.108346337612229,1.9,19,27,0.0774996901503023,0.3
"114","11.4","2",0.333333333333333,"a",0.269230769230769,0.135573467001608,2.7,21.8,26,0.104828335740565,0.3
"115","12.8","2",0.411764705882353,"a",0.318181818181818,0.18324839829602,1.9,26,22,0.137256635097068,0.3
"116","14.3","2",0.333333333333333,"a",0.269230769230769,0.143721330464885,2.7,25.3,26,0.148256093072167,0.3
"117","15.7","2",0.35,"a",0.28,0.157066531894411,2.5,27.5,25,0.171024081496852,0.3
"118","17.1","2",0.318181818181818,"a",0.259259259259259,0.139607238025958,2.3,27.5,27,0.18180159202578,0.3
"119","18.6","2",0.28,"a",0.233333333333333,0.115691082931266,2.9,25.9,30,0.184867744064211,0.3
"120","20","2",0.193548387096774,"a",0.166666666666667,0.0802329674512407,6.1,21.3,36,0.177426591361112,0.3
"121","7.1","0",0,"n",0,0.224615449866546,0.4,19.4,16,0.0581388249819421,0.5
"122","8.5","0",0.538461538461538,"n",0.35,0.14432722889064,1.5,20.7,20,0.0736545834223382,0.5
"123","10","0",0.416666666666667,"n",0.263157894736842,0.161460153511031,1.2,23.8,19,0.101598148942839,0.5
"124","11.4","0",0,"n",0,0.144087046037335,2.1,23.6,23,0.112729240671452,0.5
"125","12.8","0",0,"n",0,0.172481148416563,1.7,26.6,21,0.140012256199518,0.5
"126","14.3","0",0,"n",0,0.205306791369029,1.3,29.8,19,0.169071565339806,0.5
"127","15.7","0",0,"n",0,0.167143312682073,1.9,30,22,0.183034129130455,0.5
"128","17.1","0",0,"n",0,0.183199275054957,1.7,32.4,21,0.203700559964864,0.5
"129","18.6","0",0,"n",0,0.147620694241034,1.7,31.8,24,0.21088187286358,0.5
"130","20","0",0.285714285714286,"n",0.0689655172413793,0.101124542779912,3.4,28.9,29,0.21088187286358,0.5
"131","7.1","1",0.2,"n",0.0625,0.224615449866546,0.4,19.4,16,0.0581388249819421,0.5
"132","8.5","1",0.0769230769230769,"n",0.05,0.14432722889064,1.5,20.7,20,0.0736545834223382,0.5
"133","10","1",0,"n",0,0.161460153511031,1.2,23.8,19,0.101598148942839,0.5
"134","11.4","1",0,"n",0,0.144087046037335,2.1,23.6,23,0.112729240671452,0.5
"135","12.8","1",0,"n",0,0.172481148416563,1.7,26.6,21,0.140012256199518,0.5
"136","14.3","1",0,"n",0,0.205306791369029,1.3,29.8,19,0.169071565339806,0.5
"137","15.7","1",0,"n",0,0.167143312682073,1.9,30,22,0.183034129130455,0.5
"138","17.1","1",0,"n",0,0.183199275054957,1.7,32.4,21,0.203700559964864,0.5
"139","18.6","1",0,"n",0,0.147620694241034,1.7,31.8,24,0.21088187286358,0.5
"140","20","1",0,"n",0,0.101124542779912,3.4,28.9,29,0.21088187286358,0.5
"141","7.1","2",0.8,"n",0.25,0.224615449866546,0.4,19.4,16,0.0581388249819421,0.5
"142","8.5","2",0.384615384615385,"n",0.25,0.14432722889064,1.5,20.7,20,0.0736545834223382,0.5
"143","10","2",0.583333333333333,"n",0.368421052631579,0.161460153511031,1.2,23.8,19,0.101598148942839,0.5
"144","11.4","2",1,"n",0.217391304347826,0.144087046037335,2.1,23.6,23,0.112729240671452,0.5
"145","12.8","2",1,"n",0.238095238095238,0.172481148416563,1.7,26.6,21,0.140012256199518,0.5
"146","14.3","2",1,"n",0.263157894736842,0.205306791369029,1.3,29.8,19,0.169071565339806,0.5
"147","15.7","2",1,"n",0.227272727272727,0.167143312682073,1.9,30,22,0.183034129130455,0.5
"148","17.1","2",1,"n",0.238095238095238,0.183199275054957,1.7,32.4,21,0.203700559964864,0.5
"149","18.6","2",1,"n",0.208333333333333,0.147620694241034,1.7,31.8,24,0.21088187286358,0.5
"150","20","2",0.714285714285714,"n",0.172413793103448,0.101124542779912,3.4,28.9,29,0.21088187286358,0.5
"151","7.1","0",0.272727272727273,"a",0.1875,0.224615449866546,0.4,19.4,16,0.0581388249819421,0.5
"152","8.5","0",0,"a",0,0.14432722889064,1.5,20.7,20,0.0736545834223382,0.5
"153","10","0",0,"a",0,0.161460153511031,1.2,23.8,19,0.101598148942839,0.5
"154","11.4","0",0.555555555555556,"a",0.434782608695652,0.144087046037335,2.1,23.6,23,0.112729240671452,0.5
"155","12.8","0",0.5,"a",0.380952380952381,0.172481148416563,1.7,26.6,21,0.140012256199518,0.5
"156","14.3","0",0.428571428571429,"a",0.315789473684211,0.205306791369029,1.3,29.8,19,0.169071565339806,0.5
"157","15.7","0",0.529411764705882,"a",0.409090909090909,0.167143312682073,1.9,30,22,0.183034129130455,0.5
"158","17.1","0",0.5,"a",0.380952380952381,0.183199275054957,1.7,32.4,21,0.203700559964864,0.5
"159","18.6","0",0.578947368421053,"a",0.458333333333333,0.147620694241034,1.7,31.8,24,0.21088187286358,0.5
"160","20","0",0.636363636363636,"a",0.482758620689655,0.101124542779912,3.4,28.9,29,0.21088187286358,0.5
"161","7.1","1",0,"a",0,0.224615449866546,0.4,19.4,16,0.0581388249819421,0.5
"162","8.5","1",0,"a",0,0.14432722889064,1.5,20.7,20,0.0736545834223382,0.5
"163","10","1",0.428571428571429,"a",0.157894736842105,0.161460153511031,1.2,23.8,19,0.101598148942839,0.5
"164","11.4","1",0.0555555555555556,"a",0.0434782608695652,0.144087046037335,2.1,23.6,23,0.112729240671452,0.5
"165","12.8","1",0.0625,"a",0.0476190476190476,0.172481148416563,1.7,26.6,21,0.140012256199518,0.5
"166","14.3","1",0.0714285714285714,"a",0.0526315789473684,0.205306791369029,1.3,29.8,19,0.169071565339806,0.5
"167","15.7","1",0.0588235294117647,"a",0.0454545454545455,0.167143312682073,1.9,30,22,0.183034129130455,0.5
"168","17.1","1",0.0625,"a",0.0476190476190476,0.183199275054957,1.7,32.4,21,0.203700559964864,0.5
"169","18.6","1",0.0526315789473684,"a",0.0416666666666667,0.147620694241034,1.7,31.8,24,0.21088187286358,0.5
"170","20","1",0.0454545454545455,"a",0.0344827586206897,0.101124542779912,3.4,28.9,29,0.21088187286358,0.5
"171","7.1","2",0.727272727272727,"a",0.5,0.224615449866546,0.4,19.4,16,0.0581388249819421,0.5
"172","8.5","2",1,"a",0.35,0.14432722889064,1.5,20.7,20,0.0736545834223382,0.5
"173","10","2",0.571428571428571,"a",0.210526315789474,0.161460153511031,1.2,23.8,19,0.101598148942839,0.5
"174","11.4","2",0.388888888888889,"a",0.304347826086957,0.144087046037335,2.1,23.6,23,0.112729240671452,0.5
"175","12.8","2",0.4375,"a",0.333333333333333,0.172481148416563,1.7,26.6,21,0.140012256199518,0.5
"176","14.3","2",0.5,"a",0.368421052631579,0.205306791369029,1.3,29.8,19,0.169071565339806,0.5
"177","15.7","2",0.411764705882353,"a",0.318181818181818,0.167143312682073,1.9,30,22,0.183034129130455,0.5
"178","17.1","2",0.4375,"a",0.333333333333333,0.183199275054957,1.7,32.4,21,0.203700559964864,0.5
"179","18.6","2",0.368421052631579,"a",0.291666666666667,0.147620694241034,1.7,31.8,24,0.21088187286358,0.5
"180","20","2",0.318181818181818,"a",0.241379310344828,0.101124542779912,3.4,28.9,29,0.21088187286358,0.5
"181","7.1","0",0,"n",0,0.205612095988725,0.4,19.4,16,0.0581388249819421,0.7
"182","8.5","0",0.466666666666667,"n",0.35,0.133151752296706,1.4,20.9,20,0.0758369562434244,0.7
"183","10","0",0.363636363636364,"n",0.235294117647059,0.18803159884567,0.799999999999999,24.4,17,0.101598148942839,0.7
"184","11.4","0",0.5,"n",0.227272727272727,0.128329917285701,2.3,24.6,22,0.121484492805138,0.7
"185","12.8","0",0.375,"n",0.15,0.159462592823482,1.7,27.8,20,0.148940675893818,0.7
"186","14.3","0",0.5,"n",0.277777777777778,0.188460817620084,1.6,31.5,18,0.18180159202578,0.7
"187","15.7","0",0,"n",0,0.202911427195813,1.1,32.5,18,0.193166338484406,0.7
"188","17.1","0",0.444444444444444,"n",0.2,0.167098704245374,1.8,34.3,20,0.216165370515567,0.7
"189","18.6","0",0,"n",0,0.226135940830384,0.299999999999997,37.6,17,0.230483447571069,0.7
"190","20","0",0.444444444444444,"n",0.19047619047619,0.158738551878116,2.7,36.8,21,0.236538023744143,0.7
"191","7.1","1",0.2,"n",0.0625,0.205612095988725,0.4,19.4,16,0.0581388249819421,0.7
"192","8.5","1",0.0666666666666667,"n",0.05,0.133151752296706,1.4,20.9,20,0.0758369562434244,0.7
"193","10","1",0.0909090909090909,"n",0.0588235294117647,0.18803159884567,0.799999999999999,24.4,17,0.101598148942839,0.7
"194","11.4","1",0,"n",0,0.128329917285701,2.3,24.6,22,0.121484492805138,0.7
"195","12.8","1",0,"n",0,0.159462592823482,1.7,27.8,20,0.148940675893818,0.7
"196","14.3","1",0,"n",0,0.188460817620084,1.6,31.5,18,0.18180159202578,0.7
"197","15.7","1",0,"n",0,0.202911427195813,1.1,32.5,18,0.193166338484406,0.7
"198","17.1","1",0,"n",0,0.167098704245374,1.8,34.3,20,0.216165370515567,0.7
"199","18.6","1",0,"n",0,0.226135940830384,0.299999999999997,37.6,17,0.230483447571069,0.7
"200","20","1",0,"n",0,0.158738551878116,2.7,36.8,21,0.236538023744143,0.7
"201","7.1","2",0.8,"n",0.25,0.205612095988725,0.4,19.4,16,0.0581388249819421,0.7
"202","8.5","2",0.466666666666667,"n",0.35,0.133151752296706,1.4,20.9,20,0.0758369562434244,0.7
"203","10","2",0.545454545454545,"n",0.352941176470588,0.18803159884567,0.799999999999999,24.4,17,0.101598148942839,0.7
"204","11.4","2",0.5,"n",0.227272727272727,0.128329917285701,2.3,24.6,22,0.121484492805138,0.7
"205","12.8","2",0.625,"n",0.25,0.159462592823482,1.7,27.8,20,0.148940675893818,0.7
"206","14.3","2",0.5,"n",0.277777777777778,0.188460817620084,1.6,31.5,18,0.18180159202578,0.7
"207","15.7","2",1,"n",0.277777777777778,0.202911427195813,1.1,32.5,18,0.193166338484406,0.7
"208","17.1","2",0.555555555555556,"n",0.25,0.167098704245374,1.8,34.3,20,0.216165370515567,0.7
"209","18.6","2",1,"n",0.294117647058824,0.226135940830384,0.299999999999997,37.6,17,0.230483447571069,0.7
"210","20","2",0.555555555555556,"n",0.238095238095238,0.158738551878116,2.7,36.8,21,0.236538023744143,0.7
"211","7.1","0",0.272727272727273,"a",0.1875,0.205612095988725,0.4,19.4,16,0.0581388249819421,0.7
"212","8.5","0",0,"a",0,0.133151752296706,1.4,20.9,20,0.0758369562434244,0.7
"213","10","0",0,"a",0,0.18803159884567,0.799999999999999,24.4,17,0.101598148942839,0.7
"214","11.4","0",0.333333333333333,"a",0.181818181818182,0.128329917285701,2.3,24.6,22,0.121484492805138,0.7
"215","12.8","0",0.333333333333333,"a",0.2,0.159462592823482,1.7,27.8,20,0.148940675893818,0.7
"216","14.3","0",0,"a",0,0.188460817620084,1.6,31.5,18,0.18180159202578,0.7
"217","15.7","0",0.384615384615385,"a",0.277777777777778,0.202911427195813,1.1,32.5,18,0.193166338484406,0.7
"218","17.1","0",0.272727272727273,"a",0.15,0.167098704245374,1.8,34.3,20,0.216165370515567,0.7
"219","18.6","0",0.333333333333333,"a",0.235294117647059,0.226135940830384,0.299999999999997,37.6,17,0.230483447571069,0.7
"220","20","0",0.333333333333333,"a",0.19047619047619,0.158738551878116,2.7,36.8,21,0.236538023744143,0.7
"221","7.1","1",0,"a",0,0.205612095988725,0.4,19.4,16,0.0581388249819421,0.7
"222","8.5","1",0,"a",0,0.133151752296706,1.4,20.9,20,0.0758369562434244,0.7
"223","10","1",0,"a",0,0.18803159884567,0.799999999999999,24.4,17,0.101598148942839,0.7
"224","11.4","1",0.0833333333333333,"a",0.0454545454545455,0.128329917285701,2.3,24.6,22,0.121484492805138,0.7
"225","12.8","1",0.0833333333333333,"a",0.05,0.159462592823482,1.7,27.8,20,0.148940675893818,0.7
"226","14.3","1",0.125,"a",0.0555555555555556,0.188460817620084,1.6,31.5,18,0.18180159202578,0.7
"227","15.7","1",0.0769230769230769,"a",0.0555555555555556,0.202911427195813,1.1,32.5,18,0.193166338484406,0.7
"228","17.1","1",0.0909090909090909,"a",0.05,0.167098704245374,1.8,34.3,20,0.216165370515567,0.7
"229","18.6","1",0.0833333333333333,"a",0.0588235294117647,0.226135940830384,0.299999999999997,37.6,17,0.230483447571069,0.7
"230","20","1",0.0833333333333333,"a",0.0476190476190476,0.158738551878116,2.7,36.8,21,0.236538023744143,0.7
"231","7.1","2",0.727272727272727,"a",0.5,0.205612095988725,0.4,19.4,16,0.0581388249819421,0.7
"232","8.5","2",1,"a",0.25,0.133151752296706,1.4,20.9,20,0.0758369562434244,0.7
"233","10","2",1,"a",0.352941176470588,0.18803159884567,0.799999999999999,24.4,17,0.101598148942839,0.7
"234","11.4","2",0.583333333333333,"a",0.318181818181818,0.128329917285701,2.3,24.6,22,0.121484492805138,0.7
"235","12.8","2",0.583333333333333,"a",0.35,0.159462592823482,1.7,27.8,20,0.148940675893818,0.7
"236","14.3","2",0.875,"a",0.388888888888889,0.188460817620084,1.6,31.5,18,0.18180159202578,0.7
"237","15.7","2",0.538461538461538,"a",0.388888888888889,0.202911427195813,1.1,32.5,18,0.193166338484406,0.7
"238","17.1","2",0.636363636363636,"a",0.35,0.167098704245374,1.8,34.3,20,0.216165370515567,0.7
"239","18.6","2",0.583333333333333,"a",0.411764705882353,0.226135940830384,0.299999999999997,37.6,17,0.230483447571069,0.7
"240","20","2",0.583333333333333,"a",0.333333333333333,0.158738551878116,2.7,36.8,21,0.236538023744143,0.7
"241","7.1","0",0.166666666666667,"n",0.0714285714285714,0.229535627503102,0.300000000000001,19.8,14,0.0595301993804354,0.9
"242","8.5","0",0.466666666666667,"n",0.35,0.127906413179334,1.4,20.9,20,0.0758369562434244,0.9
"243","10","0",0.333333333333333,"n",0.235294117647059,0.180561673078271,0.799999999999999,24.4,17,0.101598148942839,0.9
"244","11.4","0",0.4,"n",0.285714285714286,0.119452629544212,2.2,25.9,21,0.133124415177566,0.9
"245","12.8","0",0.428571428571429,"n",0.315789473684211,0.155406379655228,1.8,28.7,19,0.157777095007979,0.9
"246","14.3","0",0.384615384615385,"n",0.277777777777778,0.174644929675606,1.5,31.7,18,0.184867744064211,0.9
"247","15.7","0",0.272727272727273,"n",0.1875,0.214441110324189,0.9,34.7,16,0.20632335512795,0.9
"248","17.1","0",0.454545454545455,"n",0.263157894736842,0.166274138127748,1.8,35.3,19,0.220688593180983,0.9
"249","18.6","0",0.384615384615385,"n",0.277777777777778,0.181994864464138,1.7,38.7,18,0.239461205615086,0.9
"250","20","0",0.384615384615385,"n",0.263157894736842,0.171645543315921,2.3,38.7,19,0.242195078873512,0.9
"251","7.1","1",0.166666666666667,"n",0.0714285714285714,0.229535627503102,0.300000000000001,19.8,14,0.0595301993804354,0.9
"252","8.5","1",0.0666666666666667,"n",0.05,0.127906413179334,1.4,20.9,20,0.0758369562434244,0.9
"253","10","1",0,"n",0,0.180561673078271,0.799999999999999,24.4,17,0.101598148942839,0.9
"254","11.4","1",0.0666666666666667,"n",0.0476190476190476,0.119452629544212,2.2,25.9,21,0.133124415177566,0.9
"255","12.8","1",0,"n",0,0.155406379655228,1.8,28.7,19,0.157777095007979,0.9
"256","14.3","1",0.0769230769230769,"n",0.0555555555555556,0.174644929675606,1.5,31.7,18,0.184867744064211,0.9
"257","15.7","1",0.0909090909090909,"n",0.0625,0.214441110324189,0.9,34.7,16,0.20632335512795,0.9
"258","17.1","1",0.0909090909090909,"n",0.0526315789473684,0.166274138127748,1.8,35.3,19,0.220688593180983,0.9
"259","18.6","1",0,"n",0,0.181994864464138,1.7,38.7,18,0.239461205615086,0.9
"260","20","1",0,"n",0,0.171645543315921,2.3,38.7,19,0.242195078873512,0.9
"261","7.1","2",0.666666666666667,"n",0.285714285714286,0.229535627503102,0.300000000000001,19.8,14,0.0595301993804354,0.9
"262","8.5","2",0.466666666666667,"n",0.35,0.127906413179334,1.4,20.9,20,0.0758369562434244,0.9
