"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","dn0","d","dn0_d"
"73","10","1",0.0909090909090909,"n",0.0769230769230769,0.0933885398496496,3.6,21.8,26,0.104828335740565,0.3,1,0.3
"74","11.4","1",0.107142857142857,"n",0.09375,0.05891369940328,6.5,20.1,32,0.121484492805138,0.3,1,0.3
"75","12.8","1",0.115384615384615,"n",0.1,0.072290603020477,6.1,23.4,30,0.150990919346264,0.3,1,0.3
"76","14.3","1",0,"n",0,0.09622479744883,4.9,27.5,27,0.18180159202578,0.3,1,0.3
"77","15.7","1",0,"n",0,0.0083981190922782,24,0,59,0.132227226453356,0.3,1,0.3
"78","17.1","1",0.0545454545454545,"n",0.0508474576271186,0.00849629146280105,26,0,59,0.155108054166416,0.3,1,0.3
"79","18.6","1",0.0545454545454545,"n",0.0508474576271186,0.00882757400241867,27.5,0,59,0.174922404948068,0.3,1,0.3
"80","20","1",0.0545454545454545,"n",0.0508474576271186,0.00906190570711345,29.1,0,59,0.192627584392453,0.3,1,0.3
"81","7.1","2",0.368421052631579,"n",0.291666666666667,0.0989203269419862,2.3,17.6,24,0.0581388249819421,0.3,1,0.3
"82","8.5","2",0.333333333333333,"n",0.285714285714286,0.0743876451252072,3.5,18.2,28,0.0736545834223382,0.3,1,0.3
"83","10","2",0.363636363636364,"n",0.307692307692308,0.0933885398496496,3.6,21.8,26,0.104828335740565,0.3,1,0.3
"84","11.4","2",0.25,"n",0.21875,0.05891369940328,6.5,20.1,32,0.121484492805138,0.3,1,0.3
"85","12.8","2",0.269230769230769,"n",0.233333333333333,0.072290603020477,6.1,23.4,30,0.150990919346264,0.3,1,0.3
"86","14.3","2",0.363636363636364,"n",0.296296296296296,0.09622479744883,4.9,27.5,27,0.18180159202578,0.3,1,0.3
"87","15.7","2",0.148148148148148,"n",0.135593220338983,0.0083981190922782,24,0,59,0.132227226453356,0.3,1,0.3
"88","17.1","2",0.127272727272727,"n",0.11864406779661,0.00849629146280105,26,0,59,0.155108054166416,0.3,1,0.3
"89","18.6","2",0.127272727272727,"n",0.11864406779661,0.00882757400241867,27.5,0,59,0.174922404948068,0.3,1,0.3
"90","20","2",0.127272727272727,"n",0.11864406779661,0.00906190570711345,29.1,0,59,0.192627584392453,0.3,1,0.3
"91","7.1","0",0,"a",0,0.0989203269419862,2.3,17.6,24,0.0581388249819421,0.3,1,0.3
"92","8.5","0",0,"a",0,0.0743876451252072,3.5,18.2,28,0.0736545834223382,0.3,1,0.3
"93","10","0",0,"a",0,0.0933885398496496,3.6,21.8,26,0.104828335740565,0.3,1,0.3
"94","11.4","0",0,"a",0,0.05891369940328,6.5,20.1,32,0.121484492805138,0.3,1,0.3
"95","12.8","0",0,"a",0,0.072290603020477,6.1,23.4,30,0.150990919346264,0.3,1,0.3
"96","14.3","0",0,"a",0,0.09622479744883,4.9,27.5,27,0.18180159202578,0.3,1,0.3
"97","15.7","0",0,"a",0,0.0083981190922782,24,0,59,0.132227226453356,0.3,1,0.3
"98","17.1","0",0,"a",0,0.00849629146280105,26,0,59,0.155108054166416,0.3,1,0.3
"99","18.6","0",0,"a",0,0.00882757400241867,27.5,0,59,0.174922404948068,0.3,1,0.3
"100","20","0",0,"a",0,0.00906190570711345,29.1,0,59,0.192627584392453,0.3,1,0.3
"101","7.1","1",0,"a",0,0.0989203269419862,2.3,17.6,24,0.0581388249819421,0.3,1,0.3
"102","8.5","1",0.25,"a",0.0357142857142857,0.0743876451252072,3.5,18.2,28,0.0736545834223382,0.3,1,0.3
"103","10","1",0.25,"a",0.0384615384615385,0.0933885398496496,3.6,21.8,26,0.104828335740565,0.3,1,0.3
"104","11.4","1",0,"a",0,0.05891369940328,6.5,20.1,32,0.121484492805138,0.3,1,0.3
"105","12.8","1",0,"a",0,0.072290603020477,6.1,23.4,30,0.150990919346264,0.3,1,0.3
"106","14.3","1",0.2,"a",0.037037037037037,0.09622479744883,4.9,27.5,27,0.18180159202578,0.3,1,0.3
"107","15.7","1",0.2,"a",0.0169491525423729,0.0083981190922782,24,0,59,0.132227226453356,0.3,1,0.3
"108","17.1","1",0,"a",0,0.00849629146280105,26,0,59,0.155108054166416,0.3,1,0.3
"109","18.6","1",0,"a",0,0.00882757400241867,27.5,0,59,0.174922404948068,0.3,1,0.3
"110","20","1",0,"a",0,0.00906190570711345,29.1,0,59,0.192627584392453,0.3,1,0.3
"111","7.1","2",1,"a",0.208333333333333,0.0989203269419862,2.3,17.6,24,0.0581388249819421,0.3,1,0.3
"112","8.5","2",0.75,"a",0.107142857142857,0.0743876451252072,3.5,18.2,28,0.0736545834223382,0.3,1,0.3
"113","10","2",0.75,"a",0.115384615384615,0.0933885398496496,3.6,21.8,26,0.104828335740565,0.3,1,0.3
"114","11.4","2",1,"a",0.125,0.05891369940328,6.5,20.1,32,0.121484492805138,0.3,1,0.3
"115","12.8","2",1,"a",0.133333333333333,0.072290603020477,6.1,23.4,30,0.150990919346264,0.3,1,0.3
"116","14.3","2",0.8,"a",0.148148148148148,0.09622479744883,4.9,27.5,27,0.18180159202578,0.3,1,0.3
"117","15.7","2",0.8,"a",0.0677966101694915,0.0083981190922782,24,0,59,0.132227226453356,0.3,1,0.3
"118","17.1","2",1,"a",0.0677966101694915,0.00849629146280105,26,0,59,0.155108054166416,0.3,1,0.3
"119","18.6","2",1,"a",0.0677966101694915,0.00882757400241867,27.5,0,59,0.174922404948068,0.3,1,0.3
"120","20","2",1,"a",0.0677966101694915,0.00906190570711345,29.1,0,59,0.192627584392453,0.3,1,0.3
"121","7.1","0",0.578947368421053,"n",0.458333333333333,0.0989203269419862,2.3,17.6,24,0.0581388249819421,0.5,1,0.5
"122","8.5","0",0.294117647058824,"n",0.25,0.146421904542962,1.4,21.2,20,0.0786203689154736,0.5,1,0.5
"123","10","0",0.523809523809524,"n",0.44,0.100758886371729,3,21.9,25,0.101598148942839,0.5,1,0.5
"124","11.4","0",0.5,"n",0.444444444444444,0.0883159411455698,4.5,22.9,27,0.127628576374016,0.5,1,0.5
"125","12.8","0",0.615384615384615,"n",0.533333333333333,0.0716737163555772,5.8,23.3,30,0.148256093072167,0.5,1,0.5
"126","14.3","0",0.5,"n",0.444444444444444,0.092813235648735,4.9,27.5,27,0.18180159202578,0.5,1,0.5
"127","15.7","0",0.478260869565217,"n",0.423076923076923,0.103633297104308,4.9,29.9,26,0.203700559964864,0.5,1,0.5
"128","17.1","0",0.68,"n",0.566666666666667,0.0784007566069161,7.2,28.2,30,0.21088187286358,0.5,1,0.5
"129","18.6","0",0.818181818181818,"n",0.76271186440678,0.00872676065152144,25.2,0,59,0.159830863255132,0.5,1,0.5
"130","20","0",0.851851851851852,"n",0.779661016949153,0.00909083264648674,26.2,0,59,0.174922404948068,0.5,1,0.5
"131","7.1","1",0.0526315789473684,"n",0.0416666666666667,0.0989203269419862,2.3,17.6,24,0.0581388249819421,0.5,1,0.5
"132","8.5","1",0.294117647058824,"n",0.25,0.146421904542962,1.4,21.2,20,0.0786203689154736,0.5,1,0.5
"133","10","1",0.0952380952380952,"n",0.08,0.100758886371729,3,21.9,25,0.101598148942839,0.5,1,0.5
"134","11.4","1",0.208333333333333,"n",0.185185185185185,0.0883159411455698,4.5,22.9,27,0.127628576374016,0.5,1,0.5
"135","12.8","1",0.115384615384615,"n",0.1,0.0716737163555772,5.8,23.3,30,0.148256093072167,0.5,1,0.5
"136","14.3","1",0.166666666666667,"n",0.148148148148148,0.092813235648735,4.9,27.5,27,0.18180159202578,0.5,1,0.5
"137","15.7","1",0.173913043478261,"n",0.153846153846154,0.103633297104308,4.9,29.9,26,0.203700559964864,0.5,1,0.5
"138","17.1","1",0.04,"n",0.0333333333333333,0.0784007566069161,7.2,28.2,30,0.21088187286358,0.5,1,0.5
"139","18.6","1",0.0545454545454545,"n",0.0508474576271186,0.00872676065152144,25.2,0,59,0.159830863255132,0.5,1,0.5
"140","20","1",0.0185185185185185,"n",0.0169491525423729,0.00909083264648674,26.2,0,59,0.174922404948068,0.5,1,0.5
"141","7.1","2",0.368421052631579,"n",0.291666666666667,0.0989203269419862,2.3,17.6,24,0.0581388249819421,0.5,1,0.5
"142","8.5","2",0.411764705882353,"n",0.35,0.146421904542962,1.4,21.2,20,0.0786203689154736,0.5,1,0.5
"143","10","2",0.380952380952381,"n",0.32,0.100758886371729,3,21.9,25,0.101598148942839,0.5,1,0.5
"144","11.4","2",0.291666666666667,"n",0.259259259259259,0.0883159411455698,4.5,22.9,27,0.127628576374016,0.5,1,0.5
"145","12.8","2",0.269230769230769,"n",0.233333333333333,0.0716737163555772,5.8,23.3,30,0.148256093072167,0.5,1,0.5
"146","14.3","2",0.333333333333333,"n",0.296296296296296,0.092813235648735,4.9,27.5,27,0.18180159202578,0.5,1,0.5
"147","15.7","2",0.347826086956522,"n",0.307692307692308,0.103633297104308,4.9,29.9,26,0.203700559964864,0.5,1,0.5
"148","17.1","2",0.28,"n",0.233333333333333,0.0784007566069161,7.2,28.2,30,0.21088187286358,0.5,1,0.5
"149","18.6","2",0.127272727272727,"n",0.11864406779661,0.00872676065152144,25.2,0,59,0.159830863255132,0.5,1,0.5
"150","20","2",0.12962962962963,"n",0.11864406779661,0.00909083264648674,26.2,0,59,0.174922404948068,0.5,1,0.5
"151","7.1","0",0,"a",0,0.0989203269419862,2.3,17.6,24,0.0581388249819421,0.5,1,0.5
"152","8.5","0",0,"a",0,0.146421904542962,1.4,21.2,20,0.0786203689154736,0.5,1,0.5
"153","10","0",0,"a",0,0.100758886371729,3,21.9,25,0.101598148942839,0.5,1,0.5
"154","11.4","0",0,"a",0,0.0883159411455698,4.5,22.9,27,0.127628576374016,0.5,1,0.5
"155","12.8","0",0,"a",0,0.0716737163555772,5.8,23.3,30,0.148256093072167,0.5,1,0.5
"156","14.3","0",0,"a",0,0.092813235648735,4.9,27.5,27,0.18180159202578,0.5,1,0.5
"157","15.7","0",0,"a",0,0.103633297104308,4.9,29.9,26,0.203700559964864,0.5,1,0.5
"158","17.1","0",0,"a",0,0.0784007566069161,7.2,28.2,30,0.21088187286358,0.5,1,0.5
"159","18.6","0",0,"a",0,0.00872676065152144,25.2,0,59,0.159830863255132,0.5,1,0.5
"160","20","0",0,"a",0,0.00909083264648674,26.2,0,59,0.174922404948068,0.5,1,0.5
"161","7.1","1",0,"a",0,0.0989203269419862,2.3,17.6,24,0.0581388249819421,0.5,1,0.5
"162","8.5","1",0,"a",0,0.146421904542962,1.4,21.2,20,0.0786203689154736,0.5,1,0.5
"163","10","1",0.25,"a",0.04,0.100758886371729,3,21.9,25,0.101598148942839,0.5,1,0.5
"164","11.4","1",0,"a",0,0.0883159411455698,4.5,22.9,27,0.127628576374016,0.5,1,0.5
"165","12.8","1",0,"a",0,0.0716737163555772,5.8,23.3,30,0.148256093072167,0.5,1,0.5
"166","14.3","1",0.333333333333333,"a",0.037037037037037,0.092813235648735,4.9,27.5,27,0.18180159202578,0.5,1,0.5
"167","15.7","1",0.333333333333333,"a",0.0384615384615385,0.103633297104308,4.9,29.9,26,0.203700559964864,0.5,1,0.5
"168","17.1","1",0,"a",0,0.0784007566069161,7.2,28.2,30,0.21088187286358,0.5,1,0.5
"169","18.6","1",0,"a",0,0.00872676065152144,25.2,0,59,0.159830863255132,0.5,1,0.5
"170","20","1",0,"a",0,0.00909083264648674,26.2,0,59,0.174922404948068,0.5,1,0.5
"171","7.1","2",1,"a",0.208333333333333,0.0989203269419862,2.3,17.6,24,0.0581388249819421,0.5,1,0.5
"172","8.5","2",1,"a",0.15,0.146421904542962,1.4,21.2,20,0.0786203689154736,0.5,1,0.5
"173","10","2",0.75,"a",0.12,0.100758886371729,3,21.9,25,0.101598148942839,0.5,1,0.5
"174","11.4","2",1,"a",0.111111111111111,0.0883159411455698,4.5,22.9,27,0.127628576374016,0.5,1,0.5
"175","12.8","2",1,"a",0.133333333333333,0.0716737163555772,5.8,23.3,30,0.148256093072167,0.5,1,0.5
"176","14.3","2",0.666666666666667,"a",0.0740740740740741,0.092813235648735,4.9,27.5,27,0.18180159202578,0.5,1,0.5
"177","15.7","2",0.666666666666667,"a",0.0769230769230769,0.103633297104308,4.9,29.9,26,0.203700559964864,0.5,1,0.5
"178","17.1","2",1,"a",0.166666666666667,0.0784007566069161,7.2,28.2,30,0.21088187286358,0.5,1,0.5
"179","18.6","2",1,"a",0.0677966101694915,0.00872676065152144,25.2,0,59,0.159830863255132,0.5,1,0.5
"180","20","2",1,"a",0.0847457627118644,0.00909083264648674,26.2,0,59,0.174922404948068,0.5,1,0.5
"181","7.1","0",0.578947368421053,"n",0.458333333333333,0.0989203269419862,2.3,17.6,24,0.0581388249819421,0.7,1,0.7
"182","8.5","0",0.294117647058824,"n",0.25,0.146421904542962,1.4,21.2,20,0.0786203689154736,0.7,1,0.7
"183","10","0",0.25,"n",0.210526315789474,0.165770478707071,1.1,24.1,19,0.104828335740565,0.7,1,0.7
"184","11.4","0",0.5,"n",0.444444444444444,0.0877406269739273,4.2,22.7,27,0.124208680632935,0.7,1,0.7
"185","12.8","0",0.454545454545455,"n",0.4,0.10711770591472,3.9,26.3,25,0.15642671783744,0.7,1,0.7
"186","14.3","0",0.4,"n",0.347826086956522,0.129430191417859,3.3,29.7,23,0.184258591645921,0.7,1,0.7
"187","15.7","0",0.538461538461538,"n",0.482758620689655,0.0811353650406307,5.7,27.1,29,0.192587932536918,0.7,1,0.7
"188","17.1","0",0.545454545454545,"n",0.461538461538462,0.106738247744405,4.8,31.4,26,0.217550925851053,0.7,1,0.7
"189","18.6","0",0.733333333333333,"n",0.628571428571429,0.0538198960616797,9.5,24.5,35,0.21088187286358,0.7,1,0.7
"190","20","0",0.675675675675676,"n",0.625,0.0368805051294322,12.3,20.1,40,0.21088187286358,0.7,1,0.7
"191","7.1","1",0.0526315789473684,"n",0.0416666666666667,0.0989203269419862,2.3,17.6,24,0.0581388249819421,0.7,1,0.7
"192","8.5","1",0.294117647058824,"n",0.25,0.146421904542962,1.4,21.2,20,0.0786203689154736,0.7,1,0.7
"193","10","1",0.25,"n",0.210526315789474,0.165770478707071,1.1,24.1,19,0.104828335740565,0.7,1,0.7
"194","11.4","1",0.208333333333333,"n",0.185185185185185,0.0877406269739273,4.2,22.7,27,0.124208680632935,0.7,1,0.7
"195","12.8","1",0.227272727272727,"n",0.2,0.10711770591472,3.9,26.3,25,0.15642671783744,0.7,1,0.7
"196","14.3","1",0.25,"n",0.217391304347826,0.129430191417859,3.3,29.7,23,0.184258591645921,0.7,1,0.7
"197","15.7","1",0.153846153846154,"n",0.137931034482759,0.0811353650406307,5.7,27.1,29,0.192587932536918,0.7,1,0.7
"198","17.1","1",0.0909090909090909,"n",0.0769230769230769,0.106738247744405,4.8,31.4,26,0.217550925851053,0.7,1,0.7
"199","18.6","1",0.0333333333333333,"n",0.0285714285714286,0.0538198960616797,9.5,24.5,35,0.21088187286358,0.7,1,0.7
"200","20","1",0.135135135135135,"n",0.125,0.0368805051294322,12.3,20.1,40,0.21088187286358,0.7,1,0.7
"201","7.1","2",0.368421052631579,"n",0.291666666666667,0.0989203269419862,2.3,17.6,24,0.0581388249819421,0.7,1,0.7
"202","8.5","2",0.411764705882353,"n",0.35,0.146421904542962,1.4,21.2,20,0.0786203689154736,0.7,1,0.7
"203","10","2",0.5,"n",0.421052631578947,0.165770478707071,1.1,24.1,19,0.104828335740565,0.7,1,0.7
"204","11.4","2",0.291666666666667,"n",0.259259259259259,0.0877406269739273,4.2,22.7,27,0.124208680632935,0.7,1,0.7
"205","12.8","2",0.318181818181818,"n",0.28,0.10711770591472,3.9,26.3,25,0.15642671783744,0.7,1,0.7
"206","14.3","2",0.35,"n",0.304347826086957,0.129430191417859,3.3,29.7,23,0.184258591645921,0.7,1,0.7
"207","15.7","2",0.307692307692308,"n",0.275862068965517,0.0811353650406307,5.7,27.1,29,0.192587932536918,0.7,1,0.7
"208","17.1","2",0.363636363636364,"n",0.307692307692308,0.106738247744405,4.8,31.4,26,0.217550925851053,0.7,1,0.7
"209","18.6","2",0.233333333333333,"n",0.2,0.0538198960616797,9.5,24.5,35,0.21088187286358,0.7,1,0.7
"210","20","2",0.189189189189189,"n",0.175,0.0368805051294322,12.3,20.1,40,0.21088187286358,0.7,1,0.7
"211","7.1","0",0,"a",0,0.0989203269419862,2.3,17.6,24,0.0581388249819421,0.7,1,0.7
"212","8.5","0",0,"a",0,0.146421904542962,1.4,21.2,20,0.0786203689154736,0.7,1,0.7
"213","10","0",0,"a",0,0.165770478707071,1.1,24.1,19,0.104828335740565,0.7,1,0.7
"214","11.4","0",0,"a",0,0.0877406269739273,4.2,22.7,27,0.124208680632935,0.7,1,0.7
"215","12.8","0",0,"a",0,0.10711770591472,3.9,26.3,25,0.15642671783744,0.7,1,0.7
"216","14.3","0",0,"a",0,0.129430191417859,3.3,29.7,23,0.184258591645921,0.7,1,0.7
"217","15.7","0",0,"a",0,0.0811353650406307,5.7,27.1,29,0.192587932536918,0.7,1,0.7
"218","17.1","0",0,"a",0,0.106738247744405,4.8,31.4,26,0.217550925851053,0.7,1,0.7
"219","18.6","0",0,"a",0,0.0538198960616797,9.5,24.5,35,0.21088187286358,0.7,1,0.7
"220","20","0",0,"a",0,0.0368805051294322,12.3,20.1,40,0.21088187286358,0.7,1,0.7
"221","7.1","1",0,"a",0,0.0989203269419862,2.3,17.6,24,0.0581388249819421,0.7,1,0.7
"222","8.5","1",0,"a",0,0.146421904542962,1.4,21.2,20,0.0786203689154736,0.7,1,0.7
"223","10","1",0.333333333333333,"a",0.0526315789473684,0.165770478707071,1.1,24.1,19,0.104828335740565,0.7,1,0.7
"224","11.4","1",0,"a",0,0.0877406269739273,4.2,22.7,27,0.124208680632935,0.7,1,0.7
"225","12.8","1",0,"a",0,0.10711770591472,3.9,26.3,25,0.15642671783744,0.7,1,0.7
"226","14.3","1",0,"a",0,0.129430191417859,3.3,29.7,23,0.184258591645921,0.7,1,0.7
"227","15.7","1",0.333333333333333,"a",0.0344827586206897,0.0811353650406307,5.7,27.1,29,0.192587932536918,0.7,1,0.7
"228","17.1","1",0.25,"a",0.0384615384615385,0.106738247744405,4.8,31.4,26,0.217550925851053,0.7,1,0.7
"229","18.6","1",0,"a",0,0.0538198960616797,9.5,24.5,35,0.21088187286358,0.7,1,0.7
"230","20","1",0,"a",0,0.0368805051294322,12.3,20.1,40,0.21088187286358,0.7,1,0.7
"231","7.1","2",1,"a",0.208333333333333,0.0989203269419862,2.3,17.6,24,0.0581388249819421,0.7,1,0.7
"232","8.5","2",1,"a",0.15,0.146421904542962,1.4,21.2,20,0.0786203689154736,0.7,1,0.7
"233","10","2",0.666666666666667,"a",0.105263157894737,0.165770478707071,1.1,24.1,19,0.104828335740565,0.7,1,0.7
"234","11.4","2",1,"a",0.111111111111111,0.0877406269739273,4.2,22.7,27,0.124208680632935,0.7,1,0.7
"235","12.8","2",1,"a",0.12,0.10711770591472,3.9,26.3,25,0.15642671783744,0.7,1,0.7
"236","14.3","2",1,"a",0.130434782608696,0.129430191417859,3.3,29.7,23,0.184258591645921,0.7,1,0.7
