"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","kn"
"55","12.8","2",0.625,"a",0.25,0.159485331782494,1.7,27.8,20,0.148940675893818,0.9
"56","14.3","2",0.5,"a",0.277777777777778,0.188538796742828,1.5,31.5,18,0.18180159202578,0.9
"57","15.7","2",1,"a",0.277777777777778,0.202544412447105,1,32.5,18,0.193166338484406,0.9
"58","17.1","2",0.625,"a",0.217391304347826,0.131830030895508,2.5,32.3,23,0.21088187286358,0.9
"59","18.6","2",1,"a",0.25,0.176486033403072,1.5,36.3,20,0.230483447571069,0.9
"60","20","2",1,"a",0.217391304347826,0.141873172078979,3,34.9,23,0.231232929986498,0.9
"61","7.1","0",0.384615384615385,"n",0.2,0.0857228775746146,2.5,17.3,25,0.0581388249819421,1
"62","8.5","0",0.428571428571429,"n",0.315789473684211,0.16478102360433,1.3,21.9,19,0.0831983826400026,1
"63","10","0",0.333333333333333,"n",0.235294117647059,0.201505065105907,0.9,25.4,17,0.112063315447455,1
"64","11.4","0",0,"n",0,0.125785129221045,2.4,26.4,21,0.137256635097068,1
"65","12.8","0",0.333333333333333,"n",0.2,0.159485331782494,1.7,27.8,20,0.148940675893818,1
"66","14.3","0",0.466666666666667,"n",0.291666666666667,0.11652211825414,3.3,28,24,0.171024081496852,1
"67","15.7","0",0.636363636363636,"n",0.518518518518518,0.0977824520532233,4.2,27.6,27,0.183034129130455,1
"68","17.1","0",0.529411764705882,"n",0.409090909090909,0.149287407772518,2.7,32.9,22,0.211866187738025,1
"69","18.6","0",0.578947368421053,"n",0.458333333333333,0.130814731853824,3.3,32.9,24,0.220688593180983,1
"70","20","0",0.619047619047619,"n",0.5,0.111879383794625,3.7,33.1,26,0.231603900063934,1
"71","7.1","1",0.0769230769230769,"n",0.04,0.0857228775746146,2.5,17.3,25,0.0581388249819421,1
"72","8.5","1",0.0714285714285714,"n",0.0526315789473684,0.16478102360433,1.3,21.9,19,0.0831983826400026,1
"73","10","1",0.0833333333333333,"n",0.0588235294117647,0.201505065105907,0.9,25.4,17,0.112063315447455,1
"74","11.4","1",0.333333333333333,"n",0.0952380952380952,0.125785129221045,2.4,26.4,21,0.137256635097068,1
"75","12.8","1",0.0833333333333333,"n",0.05,0.159485331782494,1.7,27.8,20,0.148940675893818,1
"76","14.3","1",0.0666666666666667,"n",0.0416666666666667,0.11652211825414,3.3,28,24,0.171024081496852,1
"77","15.7","1",0.0454545454545455,"n",0.037037037037037,0.0977824520532233,4.2,27.6,27,0.183034129130455,1
"78","17.1","1",0.0588235294117647,"n",0.0454545454545455,0.149287407772518,2.7,32.9,22,0.211866187738025,1
"79","18.6","1",0,"n",0,0.130814731853824,3.3,32.9,24,0.220688593180983,1
"80","20","1",0,"n",0,0.111879383794625,3.7,33.1,26,0.231603900063934,1
