"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","seeds"
"465","12.8","1",0.25,"a",0.04,0.0883115320658153,3.2,14.6,25,8
"466","14.3","1",0.25,"a",0.0357142857142857,0.0669234910894902,3.8,13.6,28,8
"467","15.7","1",0,"a",0,0.0967247586810597,3.1,15.1,24,8
"468","17.1","1",0,"a",0,0.097143317560145,3.1,15.3,24,8
"469","18.6","1",0,"a",0,0.0975563491529079,3.1,15.3,24,8
"470","20","1",0,"a",0,0.0991525591308881,3.1,15.3,24,8
"471","7.1","2",0.75,"a",0.115384615384615,0.0787574520711064,3.4,13.8,26,8
"472","8.5","2",0.75,"a",0.12,0.0870391389081885,3.2,14.3,25,8
"473","10","2",0.75,"a",0.12,0.0874691537794986,3.2,14.3,25,8
"474","11.4","2",0.75,"a",0.12,0.0878932347270126,3.2,14.4,25,8
"475","12.8","2",0.75,"a",0.12,0.0883115320658153,3.2,14.6,25,8
"476","14.3","2",0.75,"a",0.107142857142857,0.0669234910894902,3.8,13.6,28,8
"477","15.7","2",1,"a",0.166666666666667,0.0967247586810597,3.1,15.1,24,8
"478","17.1","2",1,"a",0.166666666666667,0.097143317560145,3.1,15.3,24,8
"479","18.6","2",1,"a",0.166666666666667,0.0975563491529079,3.1,15.3,24,8
"480","20","2",1,"a",0.166666666666667,0.0991525591308881,3.1,15.3,24,8
"481","7.1","0",0.666666666666667,"n",0.461538461538462,0.0750476039405477,3.1,13.8,26,9
"482","8.5","0",0.647058823529412,"n",0.44,0.0829392244106521,2.9,14.3,25,9
"483","10","0",0.647058823529412,"n",0.44,0.0833490233994632,2.9,14.3,25,9
"484","11.4","0",0.647058823529412,"n",0.44,0.0837531676205144,2.9,14.4,25,9
"485","12.8","0",0.647058823529412,"n",0.44,0.0841518003136175,2.9,14.6,25,9
"486","14.3","0",0.647058823529412,"n",0.44,0.0845450594304364,2.9,14.8,25,9
"487","15.7","0",0.625,"n",0.416666666666667,0.0921694922097661,2.7,15.1,24,9
"488","17.1","0",0.625,"n",0.416666666666667,0.0925683791737858,2.7,15.3,24,9
"489","18.6","0",0.625,"n",0.416666666666667,0.0929619987982819,2.7,15.3,24,9
"490","20","0",0.625,"n",0.416666666666667,0.0944830759443569,2.7,15.3,24,9
"491","7.1","1",0,"n",0,0.0750476039405477,3.1,13.8,26,9
"492","8.5","1",0,"n",0,0.0829392244106521,2.9,14.3,25,9
"493","10","1",0,"n",0,0.0833490233994632,2.9,14.3,25,9
"494","11.4","1",0,"n",0,0.0837531676205144,2.9,14.4,25,9
"495","12.8","1",0,"n",0,0.0841518003136175,2.9,14.6,25,9
"496","14.3","1",0,"n",0,0.0845450594304364,2.9,14.8,25,9
"497","15.7","1",0.1875,"n",0.125,0.0921694922097661,2.7,15.1,24,9
"498","17.1","1",0.1875,"n",0.125,0.0925683791737858,2.7,15.3,24,9
"499","18.6","1",0.1875,"n",0.125,0.0929619987982819,2.7,15.3,24,9
"500","20","1",0.125,"n",0.0833333333333333,0.0944830759443569,2.7,15.3,24,9
"501","7.1","2",0.333333333333333,"n",0.230769230769231,0.0750476039405477,3.1,13.8,26,9
"502","8.5","2",0.352941176470588,"n",0.24,0.0829392244106521,2.9,14.3,25,9
"503","10","2",0.352941176470588,"n",0.24,0.0833490233994632,2.9,14.3,25,9
