"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","N"
"233","10","2",0.45,"a",0.36,0.101647663190564,2.8,21.9,25,0.101598148942839,0.7
"234","11.4","2",0.5625,"a",0.428571428571429,0.14906795796314,2.2,26.4,21,0.137256635097068,0.7
"235","12.8","2",0.35,"a",0.28,0.113081006125774,3.8,26.1,25,0.153715160504045,0.7
"236","14.3","2",0.35,"a",0.25,0.0906440749767478,4.8,26,28,0.171671818550309,0.7
"237","15.7","2",0.32,"a",0.266666666666667,0.0794715129010736,5.8,26.1,30,0.187280491497631,0.7
"238","17.1","2",0.380952380952381,"a",0.307692307692308,0.111948448715234,4.7,31.2,26,0.216165370515567,0.7
"239","18.6","2",0.258064516129032,"a",0.222222222222222,0.0513913734776008,10.3,23.7,36,0.21088187286358,0.7
"240","20","2",0.148148148148148,"a",0.135593220338983,0.00931282989546078,24,0,59,0.165145077782046,0.7
"241","7.1","0",0.588235294117647,"n",0.4,0.0967693381856984,2.5,17.3,25,0.0581388249819421,0.9
"242","8.5","0",0,"n",0,0.170988207293193,1.3,21.9,19,0.0831983826400026,0.9
"243","10","0",0,"n",0,0.117135299854535,2.5,22.3,24,0.101598148942839,0.9
"244","11.4","0",0,"n",0,0.156830234502475,2.3,26.4,21,0.137256635097068,0.9
"245","12.8","0",0,"n",0,0.124271934769413,3.6,27,24,0.16046578081793,0.9
"246","14.3","0",0.2,"n",0.0769230769230769,0.108119161157869,4.4,28,26,0.18180159202578,0.9
"247","15.7","0",0,"n",0,0.0884005784041819,5.9,27.1,29,0.192587932536918,0.9
"248","17.1","0",0.5,"n",0.241379310344828,0.0893530779961461,6.3,29.1,29,0.21332296355735,0.9
"249","18.6","0",0.5,"n",0.2,0.0560436101172308,9.9,25,35,0.217550925851053,0.9
"250","20","0",0.880952380952381,"n",0.627118644067797,0.009491368739885,24.6,0,59,0.169162279131406,0.9
"251","7.1","1",0,"n",0,0.0967693381856984,2.5,17.3,25,0.0581388249819421,0.9
"252","8.5","1",0.125,"n",0.0526315789473684,0.170988207293193,1.3,21.9,19,0.0831983826400026,0.9
"253","10","1",0,"n",0,0.117135299854535,2.5,22.3,24,0.101598148942839,0.9
"254","11.4","1",0,"n",0,0.156830234502475,2.3,26.4,21,0.137256635097068,0.9
"255","12.8","1",0.125,"n",0.0416666666666667,0.124271934769413,3.6,27,24,0.16046578081793,0.9
"256","14.3","1",0.1,"n",0.0384615384615385,0.108119161157869,4.4,28,26,0.18180159202578,0.9
"257","15.7","1",0,"n",0,0.0884005784041819,5.9,27.1,29,0.192587932536918,0.9
"258","17.1","1",0,"n",0,0.0893530779961461,6.3,29.1,29,0.21332296355735,0.9
"259","18.6","1",0,"n",0,0.0560436101172308,9.9,25,35,0.217550925851053,0.9
"260","20","1",0,"n",0,0.009491368739885,24.6,0,59,0.169162279131406,0.9
"261","7.1","2",0.411764705882353,"n",0.28,0.0967693381856984,2.5,17.3,25,0.0581388249819421,0.9
"262","8.5","2",0.875,"n",0.368421052631579,0.170988207293193,1.3,21.9,19,0.0831983826400026,0.9
"263","10","2",1,"n",0.208333333333333,0.117135299854535,2.5,22.3,24,0.101598148942839,0.9
"264","11.4","2",1,"n",0.238095238095238,0.156830234502475,2.3,26.4,21,0.137256635097068,0.9
"265","12.8","2",0.875,"n",0.291666666666667,0.124271934769413,3.6,27,24,0.16046578081793,0.9
"266","14.3","2",0.7,"n",0.269230769230769,0.108119161157869,4.4,28,26,0.18180159202578,0.9
"267","15.7","2",1,"n",0.172413793103448,0.0884005784041819,5.9,27.1,29,0.192587932536918,0.9
"268","17.1","2",0.5,"n",0.241379310344828,0.0893530779961461,6.3,29.1,29,0.21332296355735,0.9
"269","18.6","2",0.5,"n",0.2,0.0560436101172308,9.9,25,35,0.217550925851053,0.9
"270","20","2",0.119047619047619,"n",0.0847457627118644,0.009491368739885,24.6,0,59,0.169162279131406,0.9
"271","7.1","0",0.25,"a",0.08,0.0967693381856984,2.5,17.3,25,0.0581388249819421,0.9
"272","8.5","0",0.454545454545455,"a",0.263157894736842,0.170988207293193,1.3,21.9,19,0.0831983826400026,0.9
"273","10","0",0.578947368421053,"a",0.458333333333333,0.117135299854535,2.5,22.3,24,0.101598148942839,0.9
"274","11.4","0",0.5,"a",0.380952380952381,0.156830234502475,2.3,26.4,21,0.137256635097068,0.9
"275","12.8","0",0.625,"a",0.416666666666667,0.124271934769413,3.6,27,24,0.16046578081793,0.9
"276","14.3","0",0.625,"a",0.384615384615385,0.108119161157869,4.4,28,26,0.18180159202578,0.9
"277","15.7","0",0.666666666666667,"a",0.551724137931034,0.0884005784041819,5.9,27.1,29,0.192587932536918,0.9
"278","17.1","0",0.6,"a",0.310344827586207,0.0893530779961461,6.3,29.1,29,0.21332296355735,0.9
"279","18.6","0",0.714285714285714,"a",0.428571428571429,0.0560436101172308,9.9,25,35,0.217550925851053,0.9
"280","20","0",0.529411764705882,"a",0.152542372881356,0.009491368739885,24.6,0,59,0.169162279131406,0.9
"281","7.1","1",0.125,"a",0.04,0.0967693381856984,2.5,17.3,25,0.0581388249819421,0.9
"282","8.5","1",0.181818181818182,"a",0.105263157894737,0.170988207293193,1.3,21.9,19,0.0831983826400026,0.9
"283","10","1",0.0526315789473684,"a",0.0416666666666667,0.117135299854535,2.5,22.3,24,0.101598148942839,0.9
"284","11.4","1",0.0625,"a",0.0476190476190476,0.156830234502475,2.3,26.4,21,0.137256635097068,0.9
"285","12.8","1",0.125,"a",0.0833333333333333,0.124271934769413,3.6,27,24,0.16046578081793,0.9
"286","14.3","1",0.125,"a",0.0769230769230769,0.108119161157869,4.4,28,26,0.18180159202578,0.9
"287","15.7","1",0.0416666666666667,"a",0.0344827586206897,0.0884005784041819,5.9,27.1,29,0.192587932536918,0.9
"288","17.1","1",0.0666666666666667,"a",0.0344827586206897,0.0893530779961461,6.3,29.1,29,0.21332296355735,0.9
"289","18.6","1",0.0476190476190476,"a",0.0285714285714286,0.0560436101172308,9.9,25,35,0.217550925851053,0.9
"290","20","1",0.0588235294117647,"a",0.0169491525423729,0.009491368739885,24.6,0,59,0.169162279131406,0.9
"291","7.1","2",0.625,"a",0.2,0.0967693381856984,2.5,17.3,25,0.0581388249819421,0.9
"292","8.5","2",0.363636363636364,"a",0.210526315789474,0.170988207293193,1.3,21.9,19,0.0831983826400026,0.9
"293","10","2",0.368421052631579,"a",0.291666666666667,0.117135299854535,2.5,22.3,24,0.101598148942839,0.9
"294","11.4","2",0.4375,"a",0.333333333333333,0.156830234502475,2.3,26.4,21,0.137256635097068,0.9
"295","12.8","2",0.25,"a",0.166666666666667,0.124271934769413,3.6,27,24,0.16046578081793,0.9
"296","14.3","2",0.25,"a",0.153846153846154,0.108119161157869,4.4,28,26,0.18180159202578,0.9
"297","15.7","2",0.291666666666667,"a",0.241379310344828,0.0884005784041819,5.9,27.1,29,0.192587932536918,0.9
"298","17.1","2",0.333333333333333,"a",0.172413793103448,0.0893530779961461,6.3,29.1,29,0.21332296355735,0.9
"299","18.6","2",0.238095238095238,"a",0.142857142857143,0.0560436101172308,9.9,25,35,0.217550925851053,0.9
"300","20","2",0.411764705882353,"a",0.11864406779661,0.009491368739885,24.6,0,59,0.169162279131406,0.9
