"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","Ba","Bn","Bn_Ba"
"96","14.3","0",0.619047619047619,"a",0.5,0.143426363255294,2.7,24.6,26,0.140012256199518,0.3,1,3.33333333333333
"97","15.7","0",0.692307692307692,"a",0.580645161290323,0.106176637283824,4.4,22.7,31,0.148256093072167,0.3,1,3.33333333333333
"98","17.1","0",0.741935483870968,"a",0.638888888888889,0.0795294359305904,6.6,19.7,36,0.15235449509957,0.3,1,3.33333333333333
"99","18.6","0",0.714285714285714,"a",0.606060606060606,0.0987459818743208,5.1,24.1,33,0.187280491497631,0.3,1,3.33333333333333
"100","20","0",0.741935483870968,"a",0.638888888888889,0.0823232544282891,5.9,21.9,36,0.187280491497631,0.3,1,3.33333333333333
"101","7.1","1",0.277777777777778,"a",0.217391304347826,0.138283636880251,1.3,17.3,23,0.0528119323547036,0.3,1,3.33333333333333
"102","8.5","1",0.428571428571429,"a",0.333333333333333,0.100325415305565,2.8,18.6,27,0.0736545834223382,0.3,1,3.33333333333333
"103","10","1",0.166666666666667,"a",0.130434782608696,0.15418895482732,2,22.6,23,0.101598148942839,0.3,1,3.33333333333333
"104","11.4","1",0.157894736842105,"a",0.125,0.151581793438641,2.2,22.6,24,0.104828335740565,0.3,1,3.33333333333333
"105","12.8","1",0.0434782608695652,"a",0.0357142857142857,0.121920310458511,3.1,21.6,28,0.112063315447455,0.3,1,3.33333333333333
"106","14.3","1",0.0476190476190476,"a",0.0384615384615385,0.143426363255294,2.7,24.6,26,0.140012256199518,0.3,1,3.33333333333333
"107","15.7","1",0.0384615384615385,"a",0.032258064516129,0.106176637283824,4.4,22.7,31,0.148256093072167,0.3,1,3.33333333333333
"108","17.1","1",0.032258064516129,"a",0.0277777777777778,0.0795294359305904,6.6,19.7,36,0.15235449509957,0.3,1,3.33333333333333
"109","18.6","1",0.0357142857142857,"a",0.0303030303030303,0.0987459818743208,5.1,24.1,33,0.187280491497631,0.3,1,3.33333333333333
"110","20","1",0,"a",0,0.0823232544282891,5.9,21.9,36,0.187280491497631,0.3,1,3.33333333333333
"111","7.1","2",0.277777777777778,"a",0.217391304347826,0.138283636880251,1.3,17.3,23,0.0528119323547036,0.3,1,3.33333333333333
"112","8.5","2",0.142857142857143,"a",0.111111111111111,0.100325415305565,2.8,18.6,27,0.0736545834223382,0.3,1,3.33333333333333
"113","10","2",0.333333333333333,"a",0.260869565217391,0.15418895482732,2,22.6,23,0.101598148942839,0.3,1,3.33333333333333
"114","11.4","2",0.315789473684211,"a",0.25,0.151581793438641,2.2,22.6,24,0.104828335740565,0.3,1,3.33333333333333
"115","12.8","2",0.304347826086957,"a",0.25,0.121920310458511,3.1,21.6,28,0.112063315447455,0.3,1,3.33333333333333
"116","14.3","2",0.333333333333333,"a",0.269230769230769,0.143426363255294,2.7,24.6,26,0.140012256199518,0.3,1,3.33333333333333
"117","15.7","2",0.269230769230769,"a",0.225806451612903,0.106176637283824,4.4,22.7,31,0.148256093072167,0.3,1,3.33333333333333
"118","17.1","2",0.225806451612903,"a",0.194444444444444,0.0795294359305904,6.6,19.7,36,0.15235449509957,0.3,1,3.33333333333333
"119","18.6","2",0.25,"a",0.212121212121212,0.0987459818743208,5.1,24.1,33,0.187280491497631,0.3,1,3.33333333333333
"120","20","2",0.258064516129032,"a",0.222222222222222,0.0823232544282891,5.9,21.9,36,0.187280491497631,0.3,1,3.33333333333333
"121","7.1","0",0,"n",0,0.202104543431828,0.600000000000001,19.2,17,0.0581388249819421,0.5,1,2
