"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","qn"
"75","12.8","1",0.0833333333333333,"n",0.05,0.136401163207502,1.5,16.1,20,0.6
"76","14.3","1",0.0714285714285714,"n",0.05,0.140253370369263,1.3,16.3,20,0.6
"77","15.7","1",0.0666666666666667,"n",0.05,0.142476020572097,1.2,16.3,20,0.6
"78","17.1","1",0.0714285714285714,"n",0.05,0.141275530469039,1.3,16.5,20,0.6
"79","18.6","1",0.0666666666666667,"n",0.0476190476190476,0.129126614769805,1.4,16.2,21,0.6
"80","20","1",0.0666666666666667,"n",0.05,0.143995569718019,1.2,16.5,20,0.6
"81","7.1","2",0.444444444444444,"n",0.19047619047619,0.116368825036374,2,15.3,21,0.6
"82","8.5","2",0.4,"n",0.19047619047619,0.118278926537477,1.9,15.5,21,0.6
"83","10","2",0.363636363636364,"n",0.2,0.133736466596882,1.6,15.7,20,0.6
"84","11.4","2",0.416666666666667,"n",0.25,0.135883989213905,1.5,15.9,20,0.6
"85","12.8","2",0.416666666666667,"n",0.25,0.136401163207502,1.5,16.1,20,0.6
"86","14.3","2",0.428571428571429,"n",0.3,0.140253370369263,1.3,16.3,20,0.6
"87","15.7","2",0.466666666666667,"n",0.35,0.142476020572097,1.2,16.3,20,0.6
"88","17.1","2",0.5,"n",0.35,0.141275530469039,1.3,16.5,20,0.6
"89","18.6","2",0.4,"n",0.285714285714286,0.129126614769805,1.4,16.2,21,0.6
"90","20","2",0.466666666666667,"n",0.35,0.143995569718019,1.2,16.5,20,0.6
"91","7.1","0",0.333333333333333,"a",0.19047619047619,0.116368825036374,2,15.3,21,0.6
"92","8.5","0",0.272727272727273,"a",0.142857142857143,0.118278926537477,1.9,15.5,21,0.6
"93","10","0",0.111111111111111,"a",0.05,0.133736466596882,1.6,15.7,20,0.6
"94","11.4","0",0.125,"a",0.05,0.135883989213905,1.5,15.9,20,0.6
"95","12.8","0",0.125,"a",0.05,0.136401163207502,1.5,16.1,20,0.6
"96","14.3","0",0,"a",0,0.140253370369263,1.3,16.3,20,0.6
"97","15.7","0",0,"a",0,0.142476020572097,1.2,16.3,20,0.6
"98","17.1","0",0.166666666666667,"a",0.05,0.141275530469039,1.3,16.5,20,0.6
"99","18.6","0",0,"a",0,0.129126614769805,1.4,16.2,21,0.6
"100","20","0",0,"a",0,0.143995569718019,1.2,16.5,20,0.6
"101","7.1","1",0,"a",0,0.116368825036374,2,15.3,21,0.6
"102","8.5","1",0,"a",0,0.118278926537477,1.9,15.5,21,0.6
"103","10","1",0,"a",0,0.133736466596882,1.6,15.7,20,0.6
"104","11.4","1",0,"a",0,0.135883989213905,1.5,15.9,20,0.6
"105","12.8","1",0,"a",0,0.136401163207502,1.5,16.1,20,0.6
"106","14.3","1",0,"a",0,0.140253370369263,1.3,16.3,20,0.6
"107","15.7","1",0,"a",0,0.142476020572097,1.2,16.3,20,0.6
"108","17.1","1",0,"a",0,0.141275530469039,1.3,16.5,20,0.6
"109","18.6","1",0,"a",0,0.129126614769805,1.4,16.2,21,0.6
"110","20","1",0,"a",0,0.143995569718019,1.2,16.5,20,0.6
"111","7.1","2",0.666666666666667,"a",0.380952380952381,0.116368825036374,2,15.3,21,0.6
"112","8.5","2",0.727272727272727,"a",0.380952380952381,0.118278926537477,1.9,15.5,21,0.6
"113","10","2",0.888888888888889,"a",0.4,0.133736466596882,1.6,15.7,20,0.6
"114","11.4","2",0.875,"a",0.35,0.135883989213905,1.5,15.9,20,0.6
"115","12.8","2",0.875,"a",0.35,0.136401163207502,1.5,16.1,20,0.6
"116","14.3","2",1,"a",0.3,0.140253370369263,1.3,16.3,20,0.6
"117","15.7","2",1,"a",0.25,0.142476020572097,1.2,16.3,20,0.6
"118","17.1","2",0.833333333333333,"a",0.25,0.141275530469039,1.3,16.5,20,0.6
"119","18.6","2",1,"a",0.285714285714286,0.129126614769805,1.4,16.2,21,0.6
"120","20","2",1,"a",0.25,0.143995569718019,1.2,16.5,20,0.6
"121","7.1","0",0.444444444444444,"n",0.19047619047619,0.116368825036374,2,15.3,21,0.7
"122","8.5","0",0.5,"n",0.238095238095238,0.118278926537477,1.9,15.5,21,0.7
"123","10","0",0.545454545454545,"n",0.3,0.133736466596882,1.6,15.7,20,0.7
"124","11.4","0",0.5,"n",0.3,0.135883989213905,1.5,15.9,20,0.7
"125","12.8","0",0.5,"n",0.3,0.136401163207502,1.5,16.1,20,0.7
"126","14.3","0",0.461538461538462,"n",0.3,0.138572050499249,1.4,16.3,20,0.7
"127","15.7","0",0.384615384615385,"n",0.25,0.139080597104346,1.4,16.3,20,0.7
"128","17.1","0",0.333333333333333,"n",0.2,0.137908746460288,1.5,16.5,20,0.7
"129","18.6","0",0.416666666666667,"n",0.238095238095238,0.124538376757262,1.7,16.2,21,0.7
"130","20","0",0.272727272727273,"n",0.15,0.137214253152647,1.6,16.5,20,0.7
"131","7.1","1",0.111111111111111,"n",0.0476190476190476,0.116368825036374,2,15.3,21,0.7
"132","8.5","1",0.1,"n",0.0476190476190476,0.118278926537477,1.9,15.5,21,0.7
"133","10","1",0.0909090909090909,"n",0.05,0.133736466596882,1.6,15.7,20,0.7
"134","11.4","1",0.0833333333333333,"n",0.05,0.135883989213905,1.5,15.9,20,0.7
"135","12.8","1",0.0833333333333333,"n",0.05,0.136401163207502,1.5,16.1,20,0.7
"136","14.3","1",0.0769230769230769,"n",0.05,0.138572050499249,1.4,16.3,20,0.7
"137","15.7","1",0.0769230769230769,"n",0.05,0.139080597104346,1.4,16.3,20,0.7
"138","17.1","1",0.0833333333333333,"n",0.05,0.137908746460288,1.5,16.5,20,0.7
"139","18.6","1",0.0833333333333333,"n",0.0476190476190476,0.124538376757262,1.7,16.2,21,0.7
"140","20","1",0.0909090909090909,"n",0.05,0.137214253152647,1.6,16.5,20,0.7
"141","7.1","2",0.444444444444444,"n",0.19047619047619,0.116368825036374,2,15.3,21,0.7
"142","8.5","2",0.4,"n",0.19047619047619,0.118278926537477,1.9,15.5,21,0.7
"143","10","2",0.363636363636364,"n",0.2,0.133736466596882,1.6,15.7,20,0.7
"144","11.4","2",0.416666666666667,"n",0.25,0.135883989213905,1.5,15.9,20,0.7
"145","12.8","2",0.416666666666667,"n",0.25,0.136401163207502,1.5,16.1,20,0.7
"146","14.3","2",0.461538461538462,"n",0.3,0.138572050499249,1.4,16.3,20,0.7
"147","15.7","2",0.538461538461538,"n",0.35,0.139080597104346,1.4,16.3,20,0.7
"148","17.1","2",0.583333333333333,"n",0.35,0.137908746460288,1.5,16.5,20,0.7
"149","18.6","2",0.5,"n",0.285714285714286,0.124538376757262,1.7,16.2,21,0.7
"150","20","2",0.636363636363636,"n",0.35,0.137214253152647,1.6,16.5,20,0.7
"151","7.1","0",0.333333333333333,"a",0.19047619047619,0.116368825036374,2,15.3,21,0.7
"152","8.5","0",0.272727272727273,"a",0.142857142857143,0.118278926537477,1.9,15.5,21,0.7
"153","10","0",0.111111111111111,"a",0.05,0.133736466596882,1.6,15.7,20,0.7
"154","11.4","0",0.125,"a",0.05,0.135883989213905,1.5,15.9,20,0.7
"155","12.8","0",0.125,"a",0.05,0.136401163207502,1.5,16.1,20,0.7
"156","14.3","0",0.142857142857143,"a",0.05,0.138572050499249,1.4,16.3,20,0.7
"157","15.7","0",0.285714285714286,"a",0.1,0.139080597104346,1.4,16.3,20,0.7
"158","17.1","0",0.375,"a",0.15,0.137908746460288,1.5,16.5,20,0.7
"159","18.6","0",0.333333333333333,"a",0.142857142857143,0.124538376757262,1.7,16.2,21,0.7
"160","20","0",0.444444444444444,"a",0.2,0.137214253152647,1.6,16.5,20,0.7
"161","7.1","1",0,"a",0,0.116368825036374,2,15.3,21,0.7
"162","8.5","1",0,"a",0,0.118278926537477,1.9,15.5,21,0.7
"163","10","1",0,"a",0,0.133736466596882,1.6,15.7,20,0.7
"164","11.4","1",0,"a",0,0.135883989213905,1.5,15.9,20,0.7
"165","12.8","1",0,"a",0,0.136401163207502,1.5,16.1,20,0.7
"166","14.3","1",0,"a",0,0.138572050499249,1.4,16.3,20,0.7
"167","15.7","1",0,"a",0,0.139080597104346,1.4,16.3,20,0.7
"168","17.1","1",0,"a",0,0.137908746460288,1.5,16.5,20,0.7
"169","18.6","1",0,"a",0,0.124538376757262,1.7,16.2,21,0.7
"170","20","1",0,"a",0,0.137214253152647,1.6,16.5,20,0.7
"171","7.1","2",0.666666666666667,"a",0.380952380952381,0.116368825036374,2,15.3,21,0.7
"172","8.5","2",0.727272727272727,"a",0.380952380952381,0.118278926537477,1.9,15.5,21,0.7
"173","10","2",0.888888888888889,"a",0.4,0.133736466596882,1.6,15.7,20,0.7
"174","11.4","2",0.875,"a",0.35,0.135883989213905,1.5,15.9,20,0.7
"175","12.8","2",0.875,"a",0.35,0.136401163207502,1.5,16.1,20,0.7
"176","14.3","2",0.857142857142857,"a",0.3,0.138572050499249,1.4,16.3,20,0.7
"177","15.7","2",0.714285714285714,"a",0.25,0.139080597104346,1.4,16.3,20,0.7
"178","17.1","2",0.625,"a",0.25,0.137908746460288,1.5,16.5,20,0.7
"179","18.6","2",0.666666666666667,"a",0.285714285714286,0.124538376757262,1.7,16.2,21,0.7
"180","20","2",0.555555555555556,"a",0.25,0.137214253152647,1.6,16.5,20,0.7
"181","7.1","0",0.166666666666667,"n",0.0476190476190476,0.112233601616312,2.3,15.3,21,0.8
"182","8.5","0",0,"n",0,0.111357136566345,2.4,15.5,21,0.8
"183","10","0",0,"n",0,0.100510201457987,2.6,15.2,22,0.8
"184","11.4","0",0.5,"n",0.227272727272727,0.107213150016103,2.1,15.3,22,0.8
"185","12.8","0",0.583333333333333,"n",0.35,0.136401163207502,1.5,16.1,20,0.8
"186","14.3","0",0.705882352941177,"n",0.48,0.0855721053674775,3.2,14.8,25,0.8
"187","15.7","0",0.705882352941177,"n",0.48,0.085964202391257,3.2,14.8,25,0.8
"188","17.1","0",0.666666666666667,"n",0.48,0.0874000858591923,3.1,15,25,0.8
"189","18.6","0",0.75,"n",0.535714285714286,0.0655285212935328,3.8,13.8,28,0.8
"190","20","0",0.722222222222222,"n",0.481481481481481,0.0697165181924295,3.7,14.2,27,0.8
"191","7.1","1",0.166666666666667,"n",0.0476190476190476,0.112233601616312,2.3,15.3,21,0.8
"192","8.5","1",0.2,"n",0.0476190476190476,0.111357136566345,2.4,15.5,21,0.8
"193","10","1",0.2,"n",0.0454545454545455,0.100510201457987,2.6,15.2,22,0.8
"194","11.4","1",0.1,"n",0.0454545454545455,0.107213150016103,2.1,15.3,22,0.8
"195","12.8","1",0.0833333333333333,"n",0.05,0.136401163207502,1.5,16.1,20,0.8
"196","14.3","1",0.0588235294117647,"n",0.04,0.0855721053674775,3.2,14.8,25,0.8
"197","15.7","1",0,"n",0,0.085964202391257,3.2,14.8,25,0.8
"198","17.1","1",0.0555555555555556,"n",0.04,0.0874000858591923,3.1,15,25,0.8
"199","18.6","1",0,"n",0,0.0655285212935328,3.8,13.8,28,0.8
"200","20","1",0,"n",0,0.0697165181924295,3.7,14.2,27,0.8
"201","7.1","2",0.666666666666667,"n",0.19047619047619,0.112233601616312,2.3,15.3,21,0.8
"202","8.5","2",0.8,"n",0.19047619047619,0.111357136566345,2.4,15.5,21,0.8
"203","10","2",0.8,"n",0.181818181818182,0.100510201457987,2.6,15.2,22,0.8
"204","11.4","2",0.4,"n",0.181818181818182,0.107213150016103,2.1,15.3,22,0.8
