"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","ya","yn","yn_ya"
"136","14.3","1",0,"n",0,0.179108336010396,2.2,13.6,28,0.5,1,2
"137","15.7","1",0,"n",0,0.15966459820595,2.6,12.8,30,0.5,1,2
"138","17.1","1",0,"n",0,0.160168288524527,2.5,13,30,0.5,1,2
"139","18.6","1",0,"n",0,0.16936853851779,2.4,13.4,29,0.5,1,2
"140","20","1",0,"n",0,0.203807605631511,2,14.6,26,0.5,1,2
"141","7.1","2",1,"n",0.185185185185185,0.188216682122283,2.1,13.4,27,0.5,1,2
"142","8.5","2",1,"n",0.185185185185185,0.186557920155855,2.1,13.6,27,0.5,1,2
"143","10","2",1,"n",0.172413793103448,0.166202143577835,2.5,12.8,29,0.5,1,2
"144","11.4","2",1,"n",0.172413793103448,0.166749889711567,2.4,12.9,29,0.5,1,2
"145","12.8","2",1,"n",0.178571428571429,0.18072570480596,2.2,13.5,28,0.5,1,2
"146","14.3","2",1,"n",0.178571428571429,0.179108336010396,2.2,13.6,28,0.5,1,2
"147","15.7","2",1,"n",0.166666666666667,0.15966459820595,2.6,12.8,30,0.5,1,2
"148","17.1","2",1,"n",0.166666666666667,0.160168288524527,2.5,13,30,0.5,1,2
"149","18.6","2",1,"n",0.172413793103448,0.16936853851779,2.4,13.4,29,0.5,1,2
"150","20","2",1,"n",0.192307692307692,0.203807605631511,2,14.6,26,0.5,1,2
"151","7.1","0",0.590909090909091,"a",0.481481481481481,0.188216682122283,2.1,13.4,27,0.5,1,2
"152","8.5","0",0.545454545454545,"a",0.444444444444444,0.186557920155855,2.1,13.6,27,0.5,1,2
"153","10","0",0.541666666666667,"a",0.448275862068966,0.166202143577835,2.5,12.8,29,0.5,1,2
"154","11.4","0",0.541666666666667,"a",0.448275862068966,0.166749889711567,2.4,12.9,29,0.5,1,2
"155","12.8","0",0.608695652173913,"a",0.5,0.18072570480596,2.2,13.5,28,0.5,1,2
"156","14.3","0",0.565217391304348,"a",0.464285714285714,0.179108336010396,2.2,13.6,28,0.5,1,2
"157","15.7","0",0.56,"a",0.466666666666667,0.15966459820595,2.6,12.8,30,0.5,1,2
"158","17.1","0",0.56,"a",0.466666666666667,0.160168288524527,2.5,13,30,0.5,1,2
"159","18.6","0",0.541666666666667,"a",0.448275862068966,0.16936853851779,2.4,13.4,29,0.5,1,2
"160","20","0",0.571428571428571,"a",0.461538461538462,0.203807605631511,2,14.6,26,0.5,1,2
"161","7.1","1",0.136363636363636,"a",0.111111111111111,0.188216682122283,2.1,13.4,27,0.5,1,2
"162","8.5","1",0.227272727272727,"a",0.185185185185185,0.186557920155855,2.1,13.6,27,0.5,1,2
"163","10","1",0.291666666666667,"a",0.241379310344828,0.166202143577835,2.5,12.8,29,0.5,1,2
"164","11.4","1",0.291666666666667,"a",0.241379310344828,0.166749889711567,2.4,12.9,29,0.5,1,2
"165","12.8","1",0.130434782608696,"a",0.107142857142857,0.18072570480596,2.2,13.5,28,0.5,1,2
"166","14.3","1",0.217391304347826,"a",0.178571428571429,0.179108336010396,2.2,13.6,28,0.5,1,2
"167","15.7","1",0.28,"a",0.233333333333333,0.15966459820595,2.6,12.8,30,0.5,1,2
"168","17.1","1",0.28,"a",0.233333333333333,0.160168288524527,2.5,13,30,0.5,1,2
"169","18.6","1",0.291666666666667,"a",0.241379310344828,0.16936853851779,2.4,13.4,29,0.5,1,2
"170","20","1",0.142857142857143,"a",0.115384615384615,0.203807605631511,2,14.6,26,0.5,1,2
"171","7.1","2",0.272727272727273,"a",0.222222222222222,0.188216682122283,2.1,13.4,27,0.5,1,2
"172","8.5","2",0.227272727272727,"a",0.185185185185185,0.186557920155855,2.1,13.6,27,0.5,1,2
"173","10","2",0.166666666666667,"a",0.137931034482759,0.166202143577835,2.5,12.8,29,0.5,1,2
"174","11.4","2",0.166666666666667,"a",0.137931034482759,0.166749889711567,2.4,12.9,29,0.5,1,2
"175","12.8","2",0.260869565217391,"a",0.214285714285714,0.18072570480596,2.2,13.5,28,0.5,1,2
"176","14.3","2",0.217391304347826,"a",0.178571428571429,0.179108336010396,2.2,13.6,28,0.5,1,2
"177","15.7","2",0.16,"a",0.133333333333333,0.15966459820595,2.6,12.8,30,0.5,1,2
"178","17.1","2",0.16,"a",0.133333333333333,0.160168288524527,2.5,13,30,0.5,1,2
"179","18.6","2",0.166666666666667,"a",0.137931034482759,0.16936853851779,2.4,13.4,29,0.5,1,2
"180","20","2",0.285714285714286,"a",0.230769230769231,0.203807605631511,2,14.6,26,0.5,1,2
"181","7.1","0",0,"n",0,0.135255750364501,2.1,14.4,24,0.7,1,1.42857142857143
"182","8.5","0",0,"n",0,0.131540362024314,2,14.3,25,0.7,1,1.42857142857143
"183","10","0",0,"n",0,0.173756870364671,1.5,15.2,22,0.7,1,1.42857142857143
"184","11.4","0",0,"n",0,0.126979616802463,2.2,14.4,25,0.7,1,1.42857142857143
"185","12.8","0",0,"n",0,0.118671109242303,2.3,14.3,26,0.7,1,1.42857142857143
"186","14.3","0",0,"n",0,0.160157555404957,1.7,15.4,23,0.7,1,1.42857142857143
"187","15.7","0",0,"n",0,0.120064517539141,2.5,14.8,25,0.7,1,1.42857142857143
"188","17.1","0",0,"n",0,0.131419381811858,2.2,15,25,0.7,1,1.42857142857143
"189","18.6","0",0,"n",0,0.150175176697418,1.8,15.3,24,0.7,1,1.42857142857143
"190","20","0",0,"n",0,0.149713213783154,1.8,15.3,24,0.7,1,1.42857142857143
"191","7.1","1",0,"n",0,0.135255750364501,2.1,14.4,24,0.7,1,1.42857142857143
"192","8.5","1",0,"n",0,0.131540362024314,2,14.3,25,0.7,1,1.42857142857143
"193","10","1",0,"n",0,0.173756870364671,1.5,15.2,22,0.7,1,1.42857142857143
"194","11.4","1",0,"n",0,0.126979616802463,2.2,14.4,25,0.7,1,1.42857142857143
"195","12.8","1",0,"n",0,0.118671109242303,2.3,14.3,26,0.7,1,1.42857142857143
"196","14.3","1",0,"n",0,0.160157555404957,1.7,15.4,23,0.7,1,1.42857142857143
