"","Wstart","S.cum.riv","G.riv","G.ocean","dur","p0.n","p1.n","p2.n","p0.a","p1.a"," p2.a","seeds"
"29","18.6",0.0975556392990267,3,15.3,24,0.611111111111111,0,0.388888888888889,0,0.166666666666667,0.833333333333333,3
"30","20",0.0979632741374501,3,15.3,24,0.611111111111111,0,0.388888888888889,0,0.166666666666667,0.833333333333333,3
"31","7.1",0.0816598480848423,3.5,13.8,26,0.565217391304348,0,0.434782608695652,0,0,1,4
"32","8.5",0.0902467015983286,3.3,14.3,25,0.545454545454545,0,0.454545454545455,0,0,1,4
"33","10",0.0906925309978837,3.3,14.3,25,0.545454545454545,0,0.454545454545455,0,0,1,4
"34","11.4",0.0911322080883865,3.3,14.4,25,0.545454545454545,0,0.454545454545455,0,0,1,4
"35","12.8",0.0915658887200752,3.3,14.6,25,0.545454545454545,0,0.454545454545455,0,0,1,4
"36","14.3",0.0919937229892482,3.3,14.8,25,0.545454545454545,0,0.454545454545455,0,0,1,4
"37","15.7",0.100288353183228,3.1,15.1,24,0.523809523809524,0.0476190476190476,0.428571428571429,0,0,1,4
"38","17.1",0.100722300086251,3.1,15.3,24,0.523809523809524,0.0476190476190476,0.428571428571429,0,0,1,4
"39","18.6",0.101150516358257,3.1,15.3,24,0.523809523809524,0.0476190476190476,0.428571428571429,0,0,1,4
"40","20",0.102805501526936,3.1,15.3,24,0.523809523809524,0,0.476190476190476,0,0,1,4
"41","7.1",0.0940885205547914,3,14.4,24,0.611111111111111,0,0.388888888888889,0,0.166666666666667,0.833333333333333,5
"42","8.5",0.0859956972239847,3.2,14.3,25,0.631578947368421,0,0.368421052631579,0,0.166666666666667,0.833333333333333,5
"43","10",0.0864205672705489,3.2,14.3,25,0.631578947368421,0,0.368421052631579,0,0.166666666666667,0.833333333333333,5
"44","11.4",0.0868395744377862,3.2,14.4,25,0.631578947368421,0,0.368421052631579,0,0.166666666666667,0.833333333333333,5
"45","12.8",0.0872528672401257,3.2,14.6,25,0.631578947368421,0,0.368421052631579,0,0.166666666666667,0.833333333333333,5
"46","14.3",0.0876605887090218,3.2,14.8,25,0.631578947368421,0,0.368421052631579,0,0.166666666666667,0.833333333333333,5
"47","15.7",0.0880628766582852,3.2,14.8,25,0.631578947368421,0,0.368421052631579,0,0.166666666666667,0.833333333333333,5
"48","17.1",0.0971426106991242,3,15.3,24,0.611111111111111,0,0.388888888888889,0,0.166666666666667,0.833333333333333,5
"49","18.6",0.0975556392990267,3,15.3,24,0.611111111111111,0,0.388888888888889,0,0.166666666666667,0.833333333333333,5
"50","20",0.0979632741374501,3,15.3,24,0.611111111111111,0,0.388888888888889,0,0.166666666666667,0.833333333333333,5
"51","7.1",0.0806808845809321,3.6,13.8,26,0.565217391304348,0.0434782608695652,0.391304347826087,0,0,1,6
"52","8.5",0.0811034392676126,3.6,14,26,0.565217391304348,0.0434782608695652,0.391304347826087,0,0,1,6
"53","10",0.0815201759258545,3.6,14,26,0.565217391304348,0.0434782608695652,0.391304347826087,0,0,1,6
"54","11.4",0.0819312420543453,3.6,14.1,26,0.565217391304348,0.0434782608695652,0.391304347826087,0,0,1,6
"55","12.8",0.0823367796940113,3.6,14.3,26,0.565217391304348,0.0434782608695652,0.391304347826087,0,0,1,6
"56","14.3",0.0908909268569973,3.4,14.8,25,0.545454545454545,0.0454545454545455,0.409090909090909,0,0,1,6
"57","15.7",0.091308009057923,3.5,14.8,25,0.545454545454545,0.0454545454545455,0.409090909090909,0,0,1,6
"58","17.1",0.100722300086251,3.3,15.3,24,0.523809523809524,0.0476190476190476,0.428571428571429,0,0,1,6
"59","18.6",0.0921258190610507,3.5,15,25,0.545454545454545,0.0454545454545455,0.409090909090909,0,0,1,6
"60","20",0.0925268078435809,3.5,15,25,0.545454545454545,0.0454545454545455,0.409090909090909,0,0,1,6
"61","7.1",0.0778127171059922,3.4,13.8,26,0.571428571428571,0,0.428571428571429,0,0.4,0.6,7
"62","8.5",0.0859950714076082,3.2,14.3,25,0.55,0,0.45,0,0.4,0.6,7
"63","10",0.0864199383746693,3.2,14.3,25,0.55,0,0.45,0,0.4,0.6,7
"64","11.4",0.086838942504958,3.2,14.4,25,0.55,0,0.45,0,0.4,0.6,7
"65","12.8",0.0872522323118234,3.2,14.6,25,0.55,0,0.45,0,0.4,0.6,7
"66","14.3",0.0876599508256816,3.2,14.8,25,0.55,0,0.45,0,0.4,0.6,7
"67","15.7",0.0870078451919822,3.3,14.8,25,0.55,0.15,0.3,0,0,1,7
"68","17.1",0.0959788104814027,3.1,15.3,24,0.526315789473684,0.157894736842105,0.315789473684211,0,0,1,7
"69","18.6",0.0963869011273017,3,15.3,24,0.526315789473684,0.157894736842105,0.315789473684211,0,0,1,7
"70","20",0.0967896625391423,3.1,15.3,24,0.526315789473684,0.157894736842105,0.315789473684211,0,0,1,7
"71","7.1",0.0787574520711064,3.4,13.8,26,0.545454545454545,0.0454545454545455,0.409090909090909,0,0.25,0.75,8
"72","8.5",0.0870391389081885,3.2,14.3,25,0.523809523809524,0.0476190476190476,0.428571428571429,0,0.25,0.75,8
"73","10",0.0874691537794986,3.2,14.3,25,0.523809523809524,0.0476190476190476,0.428571428571429,0,0.25,0.75,8
"74","11.4",0.0878932347270126,3.2,14.4,25,0.523809523809524,0.0476190476190476,0.428571428571429,0,0.25,0.75,8
"75","12.8",0.0883115320658153,3.2,14.6,25,0.523809523809524,0.0476190476190476,0.428571428571429,0,0.25,0.75,8
"76","14.3",0.0669234910894902,3.8,13.6,28,0.583333333333333,0.0416666666666667,0.375,0,0.25,0.75,8
"77","15.7",0.0967247586810597,3.1,15.1,24,0.5,0.15,0.35,0,0,1,8
"78","17.1",0.097143317560145,3.1,15.3,24,0.5,0.15,0.35,0,0,1,8
"79","18.6",0.0975563491529079,3.1,15.3,24,0.5,0.15,0.35,0,0,1,8
"80","20",0.0991525591308881,3.1,15.3,24,0.5,0.1,0.4,0,0,1,8
"81","7.1",0.0750476039405477,3.1,13.8,26,0.666666666666667,0,0.333333333333333,0,0.25,0.75,9
"82","8.5",0.0829392244106521,2.9,14.3,25,0.647058823529412,0,0.352941176470588,0,0.25,0.75,9
"83","10",0.0833490233994632,2.9,14.3,25,0.647058823529412,0,0.352941176470588,0,0.25,0.75,9
"84","11.4",0.0837531676205144,2.9,14.4,25,0.647058823529412,0,0.352941176470588,0,0.25,0.75,9
"85","12.8",0.0841518003136175,2.9,14.6,25,0.647058823529412,0,0.352941176470588,0,0.25,0.75,9
"86","14.3",0.0845450594304364,2.9,14.8,25,0.647058823529412,0,0.352941176470588,0,0.25,0.75,9
"87","15.7",0.0921694922097661,2.7,15.1,24,0.625,0.1875,0.1875,0,0,1,9
"88","17.1",0.0925683791737858,2.7,15.3,24,0.625,0.1875,0.1875,0,0,1,9
"89","18.6",0.0929619987982819,2.7,15.3,24,0.625,0.1875,0.1875,0,0,1,9
"90","20",0.0944830759443569,2.7,15.3,24,0.625,0.125,0.25,0,0,1,9
"91","7.1",0.0759582144983684,3.4,13.8,26,0.6,0.05,0.35,0,0.333333333333333,0.666666666666667,10
"92","8.5",0.0849647645163401,3.1,14.3,25,0.666666666666667,0,0.333333333333333,0,0.142857142857143,0.857142857142857,10
"93","10",0.0843603412400092,3.2,14.3,25,0.578947368421053,0.0526315789473684,0.368421052631579,0,0.333333333333333,0.666666666666667,10
"94","11.4",0.086840206375213,3.1,14.4,25,0.631578947368421,0.0526315789473684,0.315789473684211,0,0,1,10
"95","12.8",0.0872535021730483,3.1,14.6,25,0.631578947368421,0.0526315789473684,0.315789473684211,0,0,1,10
"96","14.3",0.0876612265970038,3.1,14.8,25,0.631578947368421,0.0526315789473684,0.315789473684211,0,0,1,10
"97","15.7",0.0880635174618924,3.2,14.8,25,0.631578947368421,0.0526315789473684,0.315789473684211,0,0,1,10
"98","17.1",0.097143317560145,3,15.3,24,0.611111111111111,0.0555555555555556,0.333333333333333,0,0,1,10
"99","18.6",0.0975563491529079,3,15.3,24,0.611111111111111,0.0555555555555556,0.333333333333333,0,0,1,10
"100","20",0.0979639869450555,3,15.3,24,0.611111111111111,0.0555555555555556,0.333333333333333,0,0,1,10
