"","Time","Wstart","A","h","S.day","Fit","Beh","S.cum","W"
"116",56,"8.5",26,"o",0.896094844360371,0.00798305095968341,0,0.00269993569103827,25
"117",57,"8.5",26,"o",0.896094844360371,0.00859767196176069,0,0.00241939845284395,25.3
"118",58,"8.5",26,"o",0.896094844360371,0.00927812817232922,0,0.00216801048004692,25.6
"119",59,"8.5",26,"o",0.896094844360371,0.00993837535524954,0,0.0019427430136893,25.9
"120",60,"8.5",26,"o",NA,NA,NA,NA,26.1
"121",1,"10",1,"a",0.896859170173494,0.00183666009978072,2,0.896859170173494,10
"122",2,"10",3,"n",0.907742458902302,0.00204788015873822,0,0.814117148422366,10
"123",3,"10",3,"n",0.907742458902302,0.00216958968217026,0,0.739008702143449,10.2
"124",4,"10",3,"n",0.907742458902302,0.00230580669588642,0,0.670829576433893,10.4
"125",5,"10",3,"n",0.907742458902302,0.00243583628917429,0,0.608940489216492,10.6
"126",6,"10",3,"n",0.907742458902302,0.00257477933742911,0,0.55276113700655,10.8
"127",7,"10",3,"n",0.907742458902302,0.00273032463261349,0,0.501764753691958,11
"128",8,"10",3,"n",0.907742458902302,0.00289623563089338,0,0.455473171306846,11.2
"129",9,"10",3,"n",0.907742458902302,0.00299546379620286,0,0.413452336486106,11.4
"130",10,"10",3,"n",0.907742458902302,0.00311183093385212,0,0.3753082405608,11.6
"131",11,"10",3,"n",0.907742458902302,0.0031684817899423,2,0.340683225132958,11.8
"132",12,"10",5,"a",0.896859170173494,0.00337064344858021,2,0.305544874584774,11.9
"133",13,"10",7,"n",0.907742458902302,0.00375827505663813,0,0.277356055760578,11.9
"134",14,"10",7,"n",0.907742458902302,0.00388148985354967,2,0.251767868047551,12.1
"135",15,"10",9,"n",0.907742458902302,0.00414817817792807,0,0.228540383614075,12.2
"136",16,"10",9,"n",0.907742458902302,0.00419097443034405,2,0.207455809780316,12.4
"137",17,"10",11,"a",0.896859170173494,0.0044266693638417,2,0.186058645407244,12.5
"138",18,"10",13,"n",0.907742458902302,0.00493574633683611,2,0.168893332282003,12.5
"139",19,"10",15,"n",0.907742458902302,0.00517272948988624,0,0.153311648737869,12.6
"140",20,"10",15,"n",0.907742458902302,0.00544614613680312,2,0.139167493003679,12.8
