"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","yo"
"161","7.1","1",0,"a",0,0.120047698538713,1.8,18.2,22,0.0591418068395686,0.9
"162","8.5","1",0,"a",0,0.146421904542962,1.4,21.2,20,0.0793381117687019,0.9
"163","10","1",0,"a",0,0.199976122097846,0.799999999999999,24.7,17,0.105773758897414,0.9
"164","11.4","1",0.6,"a",0.142857142857143,0.141430555214629,2.2,25.9,21,0.134313183764487,0.9
"165","12.8","1",0,"a",0,0.13724022551097,3,27.8,22,0.161886922283072,0.9
"166","14.3","1",0,"a",0,0.212197490247693,1.5,32.7,17,0.193104500331215,0.9
"167","15.7","1",0,"a",0,0.234153181429516,1.2,35.4,16,0.213714280481563,0.9
"168","17.1","1",0.25,"a",0.05,0.173374675507704,2.5,35.2,20,0.226067080768585,0.9
"169","18.6","1",0.2,"a",0.0476190476190476,0.164873281098115,3.1,36.8,21,0.238583607637189,0.9
"170","20","1",0,"a",0,0.182826922501768,2.2,38.2,20,0.244284829464863,0.9
"171","7.1","2",1,"a",0.227272727272727,0.120047698538713,1.8,18.2,22,0.0591418068395686,0.9
"172","8.5","2",1,"a",0.15,0.146421904542962,1.4,21.2,20,0.0793381117687019,0.9
"173","10","2",1,"a",0.235294117647059,0.199976122097846,0.799999999999999,24.7,17,0.105773758897414,0.9
"174","11.4","2",0.4,"a",0.0952380952380952,0.141430555214629,2.2,25.9,21,0.134313183764487,0.9
"175","12.8","2",1,"a",0.136363636363636,0.13724022551097,3,27.8,22,0.161886922283072,0.9
"176","14.3","2",1,"a",0.176470588235294,0.212197490247693,1.5,32.7,17,0.193104500331215,0.9
"177","15.7","2",1,"a",0.1875,0.234153181429516,1.2,35.4,16,0.213714280481563,0.9
"178","17.1","2",0.75,"a",0.15,0.173374675507704,2.5,35.2,20,0.226067080768585,0.9
"179","18.6","2",0.8,"a",0.19047619047619,0.164873281098115,3.1,36.8,21,0.238583607637189,0.9
