"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","Ba","Bn","Bn_Ba"
"87","15.7","2",1,"n",0.0847457627118644,0.10759691227057,15,0,59,0.0823532628134629,0.3,1,3.33333333333333
"88","17.1","2",1,"n",0.0847457627118644,0.108867816737274,16,0,59,0.0958608489448495,0.3,1,3.33333333333333
"89","18.6","2",1,"n",0.0847457627118644,0.110537912784023,17,0,59,0.112584224169401,0.3,1,3.33333333333333
"90","20","2",1,"n",0.0847457627118644,0.113689960284989,17.7,0,59,0.127402822962291,0.3,1,3.33333333333333
"91","7.1","0",0.814814814814815,"a",0.745762711864407,0.0805090145344949,9.1,0,59,0.0243316533237438,0.3,1,3.33333333333333
"92","8.5","0",0.851851851851852,"a",0.779661016949153,0.0893773895294347,10.6,0,59,0.0316512264338271,0.3,1,3.33333333333333
"93","10","0",0.833333333333333,"a",0.76271186440678,0.0913974309593768,11.2,0,59,0.0388653229275321,0.3,1,3.33333333333333
"94","11.4","0",0.851851851851852,"a",0.779661016949153,0.0951868497697982,12.1,0,59,0.0463963711113204,0.3,1,3.33333333333333
"95","12.8","0",0.851851851851852,"a",0.779661016949153,0.0977702725436507,13.5,0,59,0.0584046086905178,0.3,1,3.33333333333333
"96","14.3","0",0.833333333333333,"a",0.76271186440678,0.0992234769498872,14.9,0,59,0.0743481059630651,0.3,1,3.33333333333333
"97","15.7","0",0.833333333333333,"a",0.76271186440678,0.10759691227057,15,0,59,0.0823532628134629,0.3,1,3.33333333333333
"98","17.1","0",0.833333333333333,"a",0.76271186440678,0.108867816737274,16,0,59,0.0958608489448495,0.3,1,3.33333333333333
"99","18.6","0",0.833333333333333,"a",0.76271186440678,0.110537912784023,17,0,59,0.112584224169401,0.3,1,3.33333333333333
"100","20","0",0.851851851851852,"a",0.779661016949153,0.113689960284989,17.7,0,59,0.127402822962291,0.3,1,3.33333333333333
"101","7.1","1",0.0925925925925926,"a",0.0847457627118644,0.0805090145344949,9.1,0,59,0.0243316533237438,0.3,1,3.33333333333333
"102","8.5","1",0.0185185185185185,"a",0.0169491525423729,0.0893773895294347,10.6,0,59,0.0316512264338271,0.3,1,3.33333333333333
"103","10","1",0.0555555555555556,"a",0.0508474576271186,0.0913974309593768,11.2,0,59,0.0388653229275321,0.3,1,3.33333333333333
"104","11.4","1",0.0185185185185185,"a",0.0169491525423729,0.0951868497697982,12.1,0,59,0.0463963711113204,0.3,1,3.33333333333333
"105","12.8","1",0.0185185185185185,"a",0.0169491525423729,0.0977702725436507,13.5,0,59,0.0584046086905178,0.3,1,3.33333333333333
"106","14.3","1",0.0555555555555556,"a",0.0508474576271186,0.0992234769498872,14.9,0,59,0.0743481059630651,0.3,1,3.33333333333333
"107","15.7","1",0.0555555555555556,"a",0.0508474576271186,0.10759691227057,15,0,59,0.0823532628134629,0.3,1,3.33333333333333
"108","17.1","1",0.0555555555555556,"a",0.0508474576271186,0.108867816737274,16,0,59,0.0958608489448495,0.3,1,3.33333333333333
"109","18.6","1",0.0555555555555556,"a",0.0508474576271186,0.110537912784023,17,0,59,0.112584224169401,0.3,1,3.33333333333333
"110","20","1",0.0185185185185185,"a",0.0169491525423729,0.113689960284989,17.7,0,59,0.127402822962291,0.3,1,3.33333333333333
"111","7.1","2",0.0925925925925926,"a",0.0847457627118644,0.0805090145344949,9.1,0,59,0.0243316533237438,0.3,1,3.33333333333333
"112","8.5","2",0.12962962962963,"a",0.11864406779661,0.0893773895294347,10.6,0,59,0.0316512264338271,0.3,1,3.33333333333333
"113","10","2",0.111111111111111,"a",0.101694915254237,0.0913974309593768,11.2,0,59,0.0388653229275321,0.3,1,3.33333333333333
"114","11.4","2",0.12962962962963,"a",0.11864406779661,0.0951868497697982,12.1,0,59,0.0463963711113204,0.3,1,3.33333333333333
"115","12.8","2",0.12962962962963,"a",0.11864406779661,0.0977702725436507,13.5,0,59,0.0584046086905178,0.3,1,3.33333333333333
"116","14.3","2",0.111111111111111,"a",0.101694915254237,0.0992234769498872,14.9,0,59,0.0743481059630651,0.3,1,3.33333333333333
"117","15.7","2",0.111111111111111,"a",0.101694915254237,0.10759691227057,15,0,59,0.0823532628134629,0.3,1,3.33333333333333
"118","17.1","2",0.111111111111111,"a",0.101694915254237,0.108867816737274,16,0,59,0.0958608489448495,0.3,1,3.33333333333333
"119","18.6","2",0.111111111111111,"a",0.101694915254237,0.110537912784023,17,0,59,0.112584224169401,0.3,1,3.33333333333333
"120","20","2",0.12962962962963,"a",0.11864406779661,0.113689960284989,17.7,0,59,0.127402822962291,0.3,1,3.33333333333333
"121","7.1","0",0,"n",0,0.0648139879539391,9.1,0,59,0.0242341681943026,0.5,1,2
"122","8.5","0",0,"n",0,0.07195586921275,10.6,0,59,0.0315244260424192,0.5,1,2
"123","10","0",0,"n",0,0.0735828114471668,11.2,0,59,0.038709535911206,0.5,1,2
"124","11.4","0",0,"n",0,0.0766348704528518,12.1,0,59,0.0462105175300214,0.5,1,2
"125","12.8","0",0,"n",0,0.0787156288164054,13.5,0,59,0.0581706646584914,0.5,1,2
"126","14.3","0",0,"n",0,0.0798861007732619,14.9,0,59,0.0740501335417468,0.5,1,2
"127","15.7","0",0,"n",0,0.0866292209586766,15,0,59,0.0820232138360468,0.5,1,2
"128","17.1","0",0,"n",0,0.0876529582435664,16,0,59,0.095476908555013,0.5,1,2
